season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2019-20,8243394,1,1,Manchester_United,Home,10589,18892,Ashley Young,ashley-young,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243394,1,1,Manchester_United,Home,25566,42899,Sergio Romero,sergio-romero,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243394,1,1,Manchester_United,Home,28367,43670,Juan Mata,juan-mata,M,True,,,,5.0,,5.0,,,1.0,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,6.4,,,,,,,,,,5.0,,5.0,0,,5.0,,,,
2019-20,8243394,1,1,Manchester_United,Home,44241,62398,Nemanja Matić,nemanja-matic,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243394,1,1,Manchester_United,Home,69378,51940,David De Gea,david-de-gea,G,False,,,3.0,2.0,15.0,17.0,,,8.0,,,,,,,,,,,,,,,,,,90.0,,,,,,,,5.0,,8.6,3.0,7.0,,,,,,8.0,,6.0,16.0,22.0,0,,35.0,,,,
2019-20,8243394,1,1,Manchester_United,Home,111802,74208,Paul Pogba,paul-pogba,M,False,,,6.0,20.0,28.0,48.0,2.0,4.0,10.0,1.0,,,1.0,4.0,11.0,6.0,,,2.0,2.0,,,,,4.0,,90.0,,,,,,,,28.0,,7.5,,,1.0,1.0,3.0,1.0,,7.0,,29.0,35.0,63.0,1,1.0,84.0,5.0,,1.0,1.0
2019-20,8243394,1,1,Manchester_United,Home,143334,184667,Victor Lindelöf,victor-lindelof,D,False,,,4.0,5.0,48.0,53.0,2.0,1.0,7.0,,,,,,2.0,3.0,,,,,,,,1.0,,,90.0,,1.0,,,,,,10.0,,7.2,,,,3.0,1.0,,,10.0,,8.0,55.0,63.0,0,1.0,72.0,,,1.0,
2019-20,8243394,1,1,Manchester_United,Home,149380,95658,Harry Maguire,harry-maguire,D,False,,,3.0,5.0,44.0,49.0,2.0,4.0,2.0,,,,,,2.0,5.0,,,,,,,,4.0,1.0,,90.0,,2.0,,,,,,8.0,,7.7,,,,7.0,,,,6.0,,12.0,45.0,57.0,0,,72.0,,1.0,,
2019-20,8243394,1,1,Manchester_United,Home,190839,106760,Luke Shaw,luke-shaw,D,False,,,1.0,22.0,23.0,45.0,2.0,2.0,5.0,,,,,,3.0,5.0,,,1.0,,,,,2.0,,,90.0,,1.0,,,,,,10.0,,7.3,,,,1.0,2.0,,,3.0,,28.0,26.0,54.0,0,1.0,67.0,,,2.0,1.0
2019-20,8243394,1,1,Manchester_United,Home,191176,148225,Anthony Martial,anthony-martial,M,False,1.0,,1.0,19.0,3.0,21.0,1.0,,3.0,,,1.0,1.0,3.0,9.0,5.0,,,3.0,,1.0,,,,1.0,,90.0,2.0,,,,,,,14.0,,7.7,,,1.0,,5.0,2.0,,1.0,1.0,25.0,4.0,27.0,4,,48.0,3.0,1.0,4.0,
2019-20,8243394,1,1,Manchester_United,Home,205508,109322,Jesse Lingard,jesse-lingard,F,False,,,,10.0,13.0,23.0,,,3.0,,,,2.0,2.0,8.0,5.0,,,4.0,,,,,,1.0,,86.0,,,,,,,,5.0,,6.3,,,,,4.0,,,2.0,,10.0,16.0,26.0,0,,36.0,,1.0,4.0,
2019-20,8243394,1,1,Manchester_United,Home,285949,156689,Andreas Pereira,andreas-pereira,M,False,2.0,,2.0,7.0,6.0,11.0,,1.0,1.0,1.0,,,5.0,,7.0,4.0,,,1.0,1.0,,,,,1.0,,74.0,,,,,,,,9.0,,6.7,,,,,1.0,4.0,,4.0,,12.0,7.0,15.0,0,2.0,26.0,2.0,1.0,,2.0
2019-20,8243394,1,1,Manchester_United,Home,814590,176297,Marcus Rashford,marcus-rashford,F,False,,,1.0,9.0,4.0,13.0,,,5.0,,,2.0,1.0,3.0,5.0,6.0,,,1.0,,2.0,,,,,,86.0,2.0,,,,,,1.0,17.0,,8.1,,,,1.0,,1.0,,3.0,1.0,18.0,5.0,22.0,4,3.0,44.0,3.0,3.0,,
