season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballCarriesCount,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,metersCoveredHighSpeedRunningKm,metersCoveredJoggingKm,metersCoveredRunningKm,metersCoveredSprintingKm,metersCoveredWalkingKm,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,progressiveBallCarriesCount,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalBallCarriesDistance,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalProgression,totalProgressiveBallCarriesDistance,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2025-26,14025028,1,94,Brentford,Away,42694,56979,Jordan Henderson,jordan-henderson,M,True,,,,2.0,9.0,11.0,,,,3.0,,,,,,,2.0,,,,0.00040278,,,1.0,0.0,,,,,,,,0.16,1.21,0.79,0.04,0.78,21.0,,,,,,,,,8.0,,,6.4,,,,,,,1.0,3.0,,2.0,,6.0,9.0,15.0,,,0,,19.0,,,,
2025-26,14025028,1,94,Brentford,Away,576384,191866,Kristoffer Ajer,kristoffer-ajer,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025028,1,94,Brentford,Away,599128,194010,Rico Henry,rico-henry,D,False,,,,6.0,10.0,16.0,2.0,2.0,,2.0,,,,,,,2.0,6.0,,,0.0426351,,,,0.0,,,,,1.0,1.0,,0.6,4.82,1.23,0.31,2.69,88.0,,,,,,,,,24.0,,,5.7,,,,,,1.0,3.0,4.0,,2.0,,16.0,13.0,29.0,,,0,1.0,52.0,4.0,,3.0,1.0
2025-26,14025028,1,94,Brentford,Away,799251,207283,Mathias Jensen,mathias-jensen,M,False,1.0,,2.0,10.0,11.0,21.0,,1.0,,1.0,,,,1.0,,,1.0,4.0,,,0.0303072,0.1298,,,0.0,,,,,,2.0,,0.56,4.54,1.97,0.04,1.87,69.0,,,,,,,,,8.0,,,6.5,,,1.0,,,2.0,,2.0,,3.0,,14.0,11.0,25.0,,,1,3.0,42.0,1.0,,,1.0
2025-26,14025028,1,94,Brentford,Away,826057,226956,Mads Roerslev,mads-roerslev,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025028,1,94,Brentford,Away,827362,200720,Caoimhin Kelleher,caoimhin-kelleher,G,False,,1.0,6.0,5.0,12.0,17.0,,,,14.0,,,,1.0,,,1.0,,,,0.00285763,,,,0.0,,-0.5683,,,,,,0.03,1.22,0.1,0.01,4.05,90.0,,,,,,,,,13.0,,3.0,6.1,,2.0,,,,4.0,,,1.0,18.0,,15.0,15.0,30.0,,,0,,48.0,,,,
2025-26,14025028,1,94,Brentford,Away,885864,428580,Frank Onyeka,frank-onyeka,M,True,,,1.0,1.0,3.0,4.0,,,,1.0,,,,1.0,,,4.0,,,,0.00025252,,,2.0,0.0,,,,,,,,0.27,1.22,0.62,0.05,0.74,21.0,,,,,,,,,3.0,,,6.3,,,,,,,1.0,,,2.0,,2.0,4.0,6.0,,,0,,9.0,,,,
2025-26,14025028,1,94,Brentford,Away,924378,444765,Sepp van den Berg,sepp-van-den-berg,D,False,,,2.0,16.0,41.0,57.0,2.0,4.0,,4.0,,,1.0,1.0,,,3.0,6.0,1.0,,0.00459668,0.2112,0.5275,,0.0,,,,,1.0,,1.0,0.37,4.71,1.44,0.03,3.13,90.0,1.0,2.0,,,,,,,8.0,,,6.3,,,,,,9.0,,,,4.0,,20.0,44.0,64.0,,,2,2.0,83.0,1.0,,,1.0
2025-26,14025028,1,94,Brentford,Away,958916,432830,Nathan Collins,nathan-collins,D,False,,,1.0,7.0,38.0,45.0,1.0,1.0,,5.0,,,1.0,,,,2.0,2.0,,,0.00215827,0.0181,,1.0,0.0,,,,,1.0,,,0.35,4.37,1.34,0.08,3.19,90.0,,,,,,,,,4.0,,,5.8,,,,,,4.0,,,,4.0,,10.0,38.0,48.0,,,1,,58.0,1.0,1.0,,
2025-26,14025028,1,94,Brentford,Away,966869,472713,Aaron Hickey,aaron-hickey,D,True,,,,,,,,1.0,,,,,,1.0,,,2.0,4.0,,,4.453e-05,,,1.0,0.0,,,,,,,,0.09,0.36,0.17,0.04,0.21,8.0,,,,,,,,,3.0,,,6.8,,,,,,1.0,,,,,,,,,,,0,1.0,8.0,2.0,2.0,,
