playerId,playerName,position,team_name,team_id,nationality,season,straightRedCards,totalRedCards,yellowCards,duelsLost,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,throughBalls,gamesPlayed,totalPasses,goals,offsides,awayGoals,oboxBlocked,substituteOn,iboxTarget,shotsOnTargetInBox,aerialDuelsLost,goalsConcededOutsideBox,groundDuelsWon,successfulCornersIntoBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,shotsBlockedInBox,totalFoulsWon,winningGoal,recoveries,appearances,rightFootGoals,leftFootGoals,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,freekickTotal,openPlayPasses,shotsOffTargetIncWoodwork,totalLossesOfPossession,tacklesWon,attemptsFromSetPieces,leftsidePasses,totalFoulsConceded,unsuccessfulCornersIntoBox,clearancesOffTheLine,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,hitWoodwork,successfulPassesOwnHalf,handballsConceded,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,secondGoalAssists,successfulCrossesOpenPlay,expectedAssists,expectedGoalsFreekick,totalShots,unsuccessfulShortPasses,goalAssists,successfulLayoffs,foulWonPenalty,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,cornersTakenInclShortCorners,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,timePlayed,unsuccessfulLayoffs,duelsWon,putthroughBlockedDistribution,successfulShortPasses,totalTouchesInOppositionBox,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,oboxTarget,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,iboxBlocked,groundDuels,aerialDuelsWon,cornersWon,successfulDribbles,blocks,interceptions,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,foulAttemptedTackle,expectedGoals,penaltiesTaken,headedGoals,penaltyGoals,penaltiesConceded,throwInsToOppositionPlayer,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,punches,savesMade,goalkeeperSmother,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,penaltiesFaced,drops,crossesNotClaimed
214590,Aaron Wan-Bissaka,Defender,C Palace,31,DR Congo,2016-17,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60252,Andros Townsend,Midfielder,C Palace,31,England,2016-17,0.0,0.0,4.0,199.0,22.0,13.0,3.3355,77.0,1.0,36.0,686.0,3.0,3.0,1.0,17.0,6.0,3.0,3.0,13.0,6.0,180.0,14.0,2.0,34.5153,47.0,3.0,5.0,35.0,1.0,159.0,36.0,2.0,1.0,40.0,177.0,118.0,8.0,670.0,21.0,546.0,62.0,8.0,131.0,18.0,18.0,1.0,16.0,175.0,1519.0,13.0,1.0,153.0,4.0,38.0,36.0,1.0,35.0,5.7287,0.483,34.0,132.0,4.0,32.0,1.0,30.0,170.0,141.0,38.0,16.0,3.0,7.0,58.0,2526.0,6.0,183.0,66.0,500.0,74.0,19.0,38.0,186.0,155.0,382.0,37.0,2.0,225.0,7.0,15.0,421.0,32.0,5.0,366.0,3.0,40.0,68.0,3.0,43.0,15.0,17.0,28.0,7.0,3.4056,,,,,,,,,,,,,,,,,,,
44343,Bakary Sako,Midfielder,C Palace,31,Mali,2016-17,0.0,0.0,0.0,10.0,2.0,1.0,0.3713,6.0,,7.0,42.0,,1.0,,2.0,7.0,,,2.0,,13.0,1.0,,5.1674,1.0,1.0,,5.0,0.0,11.0,7.0,,,3.0,12.0,5.0,1.0,41.0,1.0,35.0,6.0,1.0,8.0,2.0,4.0,,2.0,12.0,92.0,4.0,,10.0,,4.0,6.0,,3.0,0.1141,0.048,2.0,9.0,,2.0,,,13.0,5.0,5.0,5.0,,1.0,4.0,136.0,,16.0,5.0,27.0,2.0,,5.0,8.0,5.0,26.0,,,17.0,1.0,,23.0,5.0,,21.0,3.0,3.0,2.0,,,,2.0,3.0,1.0,0.1263,,,,,,,,,,,,,,,,,,,
221271,Ben Wynter,Midfielder,C Palace,31,England,2016-17,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54861,Christian Benteke,Forward,C Palace,31,Belgium,2016-17,0.0,0.0,10.0,377.0,17.0,40.0,14.6158,9.0,1.0,36.0,920.0,15.0,36.0,11.0,5.0,,23.0,23.0,213.0,11.0,81.0,,2.0,46.699,30.0,2.0,12.0,48.0,4.0,61.0,36.0,6.0,2.0,25.0,,88.0,1.0,887.0,48.0,562.0,6.0,1.0,198.0,81.0,,,16.0,219.0,1418.0,,4.0,145.0,7.0,8.0,44.0,,,1.6582,0.1163,88.0,364.0,2.0,88.0,3.0,36.0,372.0,,,536.0,7.0,2.0,,3137.0,20.0,404.0,36.0,532.0,210.0,48.0,58.0,164.0,231.0,781.0,15.0,4.0,272.0,2.0,3.0,403.0,47.0,12.0,245.0,323.0,17.0,28.0,1.0,6.0,7.0,5.0,,17.0,16.2014,4.0,7.0,2.0,,,,,,,,,,,,,,,,
59125,Connor Wickham,Forward,C Palace,31,England,2016-17,0.0,0.0,1.0,41.0,,5.0,1.7988,4.0,1.0,8.0,98.0,2.0,1.0,1.0,,4.0,2.0,2.0,16.0,1.0,13.0,,,5.349,,,,5.0,0.0,3.0,8.0,1.0,1.0,,4.0,8.0,1.0,94.0,5.0,44.0,2.0,1.0,17.0,12.0,,,2.0,35.0,168.0,1.0,,19.0,,4.0,3.0,,2.0,0.1233,0.05,10.0,23.0,,14.0,,4.0,27.0,4.0,,32.0,,1.0,2.0,411.0,4.0,29.0,8.0,69.0,16.0,10.0,6.0,25.0,18.0,70.0,7.0,1.0,28.0,1.0,2.0,54.0,5.0,,38.0,16.0,2.0,4.0,1.0,2.0,2.0,,2.0,6.0,1.0599,,,,,,,,,,,,,,,,,,,
7906,Damien Delaney,Defender,C Palace,31,Ireland,2016-17,0.0,0.0,8.0,91.0,1.0,1.0,0.1204,25.0,1.0,30.0,887.0,,,,1.0,9.0,1.0,1.0,55.0,7.0,37.0,,2.0,30.4711,4.0,56.0,,13.0,0.0,85.0,30.0,,,,3.0,3.0,,840.0,3.0,272.0,20.0,,137.0,26.0,,1.0,108.0,60.0,1179.0,1.0,,447.0,1.0,158.0,77.0,,2.0,1.4327,,4.0,95.0,2.0,,,21.0,253.0,3.0,,114.0,2.0,,2.0,2007.0,,96.0,10.0,526.0,13.0,151.0,39.0,36.0,235.0,187.0,4.0,,455.0,,5.0,189.0,32.0,,73.0,59.0,2.0,,21.0,36.0,2.0,1.0,113.0,11.0,0.3389,,,,1.0,,,,,,,,,,,,,,,
106603,Ezekiel Fryers,Defender,C Palace,31,England,2016-17,0.0,0.0,0.0,14.0,,,,2.0,,8.0,70.0,,,,,8.0,,,3.0,1.0,5.0,,,6.1879,1.0,4.0,,2.0,0.0,17.0,8.0,,,2.0,6.0,5.0,,70.0,,35.0,1.0,,5.0,4.0,,,5.0,10.0,133.0,23.0,,23.0,,7.0,7.0,,3.0,0.5505,,,13.0,1.0,,,,20.0,6.0,,3.0,,,3.0,182.0,,5.0,10.0,45.0,4.0,5.0,7.0,11.0,28.0,19.0,7.0,,27.0,,1.0,30.0,6.0,,16.0,,2.0,1.0,1.0,1.0,,,5.0,4.0,,,,,,1.0,,,,,,,,,,,,,,
28541,Fraizer Campbell,Forward,C Palace,31,England,2016-17,0.0,0.0,0.0,17.0,2.0,1.0,0.5756,3.0,,12.0,46.0,1.0,,1.0,,12.0,,,8.0,1.0,7.0,,,3.0516,1.0,,2.0,3.0,0.0,2.0,12.0,,,1.0,,5.0,,43.0,1.0,19.0,1.0,,7.0,2.0,,,1.0,15.0,78.0,1.0,,13.0,,,1.0,,1.0,0.0451,,2.0,10.0,,7.0,,,10.0,,,11.0,,,1.0,154.0,1.0,10.0,1.0,35.0,13.0,2.0,4.0,9.0,15.0,27.0,,0.0,9.0,,2.0,24.0,3.0,2.0,16.0,3.0,,1.0,,,,,,,0.7347,,1.0,,,,,,,,,,,,,,,,,
94926,Freddie Ladapo,Forward,C Palace,31,England,2016-17,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
