playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,fiftyFifty,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,throughBalls,gamesPlayed,successfulFiftyFifty,totalPasses,goals,offsides,awayGoals,oboxBlocked,substituteOn,iboxTarget,shotsOnTargetInBox,aerialDuelsLost,goalsConcededOutsideBox,groundDuelsWon,successfulCornersIntoBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,shotsBlockedInBox,totalFoulsWon,winningGoal,recoveries,appearances,leftFootGoals,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,freekickTotal,openPlayPasses,shotsOffTargetIncWoodwork,totalLossesOfPossession,tacklesWon,attemptsFromSetPieces,leftsidePasses,totalFoulsConceded,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,hitWoodwork,successfulPassesOwnHalf,handballsConceded,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,expectedAssists,totalRedCards,expectedGoalsFreekick,totalShots,unsuccessfulShortPasses,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,cornersTakenInclShortCorners,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,timePlayed,unsuccessfulLayoffs,duelsWon,putthroughBlockedDistribution,successfulShortPasses,totalTouchesInOppositionBox,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,penaltiesTaken,oboxTarget,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,cornersWon,successfulDribbles,blocks,interceptions,penaltyGoals,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,foulAttemptedTackle,expectedGoals,yellowCards,penaltiesConceded,throwInsToOppositionPlayer,secondGoalAssists,rightFootGoals,headedGoals,clearancesOffTheLine,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,foulWonPenalty,drops,ownGoalScored,redCards2ndYellow
446008,Bryan Mbeumo,Forward,Brentford,94,Cameroon,2021-22,234.0,99.0,18.0,22.0,5.9088,28.0,5.0,35.0,41.0,730.0,4.0,13.0,2.0,8.0,1.0,14.0,14.0,105.0,10.0,105.0,6.0,4.0,39.8462,27.0,1.0,10.0,38.0,2.0,130.0,35.0,4.0,41.0,58.0,98.0,4.0,712.0,37.0,483.0,16.0,4.0,220.0,20.0,12.0,24.0,233.0,1318.0,6.0,7.0,155.0,1.0,25.0,37.0,10.0,3.3499,0.0,0.2921,59.0,201.0,7.0,27.0,34.0,226.0,40.0,21.0,134.0,4.0,4.0,17.0,2915.0,7.0,134.0,50.0,480.0,146.0,14.0,47.0,129.0,118.0,368.0,15.0,2.0,159.0,1.0,4.0,12.0,366.0,37.0,10.0,234.0,29.0,0.0,31.0,39.0,6.0,11.0,1.0,12.0,8.0,12.0,11.0,9.5495,4.0,,,,,,,,,,,,,,,,,,,,,,
213687,Charlie Goode,Defender,Brentford,94,England,2021-22,16.0,3.0,,,,7.0,,6.0,1.0,230.0,,,0.0,,2.0,,,8.0,,19.0,,1.0,6.3113,7.0,1.0,,7.0,0.0,30.0,6.0,,2.0,4.0,3.0,,223.0,2.0,116.0,5.0,,72.0,5.0,,16.0,31.0,353.0,32.0,,106.0,,27.0,24.0,2.0,0.6567,0.0,,2.0,42.0,,,4.0,69.0,4.0,,23.0,1.0,,2.0,448.0,,34.0,9.0,145.0,10.0,8.0,6.0,8.0,32.0,50.0,2.0,0.0,95.0,,,2.0,57.0,6.0,,27.0,15.0,0.0,,5.0,2.0,2.0,,,,13.0,3.0,0.0602,3.0,1.0,35.0,,,,,,,,,,,,,,,,,,,,
80607,Christian Eriksen,Midfielder,Brentford,94,Denmark,2021-22,37.0,18.0,7.0,9.0,1.4644,13.0,4.0,11.0,9.0,544.0,1.0,,1.0,6.0,1.0,3.0,3.0,6.0,2.0,24.0,18.0,3.0,11.846,26.0,2.0,1.0,3.0,1.0,69.0,11.0,1.0,8.0,53.0,17.0,5.0,499.0,6.0,196.0,6.0,5.0,103.0,5.0,29.0,60.0,95.0,767.0,5.0,,179.0,,42.0,20.0,7.0,2.7745,0.0,0.2197,15.0,62.0,4.0,1.0,10.0,104.0,18.0,54.0,11.0,4.0,5.0,33.0,938.0,,29.0,15.0,380.0,13.0,12.0,10.0,31.0,147.0,66.0,8.0,0.0,199.0,,5.0,7.0,294.0,8.0,1.0,55.0,5.0,0.0,9.0,8.0,1.0,9.0,,,6.0,5.0,4.0,1.5152,1.0,,,1.0,,,,,,,,,,,,,,,,,,,
128295,Christian Nørgaard,Midfielder,Brentford,94,Denmark,2021-22,205.0,139.0,7.0,9.0,3.8187,109.0,6.0,35.0,80.0,1665.0,3.0,,2.0,2.0,,5.0,5.0,68.0,11.0,160.0,,4.0,45.6972,25.0,18.0,5.0,33.0,0.0,270.0,35.0,1.0,9.0,10.0,35.0,,1577.0,11.0,410.0,60.0,,383.0,56.0,,74.0,294.0,2181.0,3.0,1.0,713.0,2.0,69.0,87.0,3.0,2.866,0.0,,20.0,265.0,4.0,17.0,35.0,334.0,10.0,,118.0,6.0,1.0,3.0,3059.0,1.0,210.0,67.0,1257.0,61.0,56.0,51.0,137.0,386.0,415.0,39.0,1.0,602.0,,1.0,49.0,621.0,40.0,5.0,297.0,50.0,0.0,6.0,18.0,9.0,64.0,,5.0,2.0,34.0,39.0,3.8123,8.0,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,
154561,David Raya,Goalkeeper,Brentford,94,Spain,2021-22,3.0,,,,,,,24.0,,960.0,,,0.0,,,,,2.0,7.0,1.0,,4.0,26.5504,1.0,54.0,,2.0,0.0,255.0,24.0,,,,,,611.0,,350.0,,,150.0,1.0,,259.0,,1216.0,,,447.0,,326.0,60.0,,0.0935,0.0,,,15.0,,,24.0,341.0,,,12.0,8.0,,,2160.0,,11.0,4.0,360.0,,17.0,27.0,1.0,156.0,14.0,1.0,0.0,654.0,,,,172.0,20.0,,2.0,10.0,0.0,,,,,,,,131.0,1.0,,1.0,1.0,,,,,,27.0,34.0,7.0,4.0,7.0,78.0,2.0,1.0,234.0,86.0,14.0,42.0,,,,
232247,Dominic Thompson,Defender,Brentford,94,England,2021-22,6.0,3.0,,,,1.0,,2.0,2.0,37.0,,,0.0,,,,,2.0,2.0,1.0,,,2.0739,,1.0,,,0.0,5.0,2.0,,2.0,2.0,2.0,,36.0,1.0,24.0,,,1.0,1.0,,1.0,3.0,59.0,1.0,,12.0,,6.0,7.0,,0.0036,0.0,,1.0,11.0,,,2.0,17.0,2.0,,3.0,,,,148.0,,2.0,3.0,19.0,2.0,3.0,3.0,4.0,13.0,8.0,,0.0,20.0,,,1.0,8.0,1.0,,5.0,1.0,0.0,,,2.0,2.0,,2.0,,5.0,1.0,0.0634,0.0,,,,,,,,,,,,,,,,,,,,,,
231065,Ethan Pinnock,Defender,Brentford,94,Jamaica,2021-22,101.0,53.0,3.0,9.0,1.3392,51.0,,32.0,29.0,1416.0,1.0,1.0,0.0,,,8.0,8.0,72.0,10.0,73.0,,2.0,38.1403,10.0,17.0,3.0,14.0,0.0,141.0,32.0,1.0,2.0,17.0,9.0,,1370.0,4.0,450.0,35.0,,207.0,9.0,,64.0,145.0,2033.0,147.0,,758.0,1.0,134.0,125.0,4.0,1.4425,0.0,,13.0,215.0,1.0,,32.0,349.0,17.0,,215.0,7.0,,4.0,2697.0,,216.0,35.0,1003.0,55.0,148.0,43.0,29.0,403.0,317.0,19.0,1.0,661.0,,,16.0,313.0,33.0,3.0,102.0,143.0,0.0,11.0,9.0,11.0,44.0,,4.0,,70.0,4.0,1.1931,1.0,,55.0,1.0,,,,,,,,,,,,,,,,,,,
450550,Fin Stevens,Defender,Brentford,94,Wales,2021-22,,1.0,,,,3.0,,1.0,,6.0,,,0.0,,1.0,,,,,3.0,,,0.1094,1.0,,,,0.0,,1.0,,,1.0,,,6.0,,2.0,1.0,,,,,,,10.0,,,2.0,,,,,0.0216,0.0,,,1.0,,,,1.0,1.0,,1.0,,,,14.0,,4.0,,5.0,1.0,,,,4.0,4.0,,0.0,2.0,,,2.0,3.0,,,3.0,1.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
428580,Frank Onyeka,Midfielder,Brentford,94,Nigeria,2021-22,93.0,48.0,5.0,5.0,0.9777,25.0,,20.0,18.0,313.0,,,0.0,1.0,8.0,3.0,3.0,21.0,3.0,60.0,,1.0,15.4035,4.0,2.0,4.0,25.0,0.0,69.0,20.0,,6.0,11.0,20.0,,312.0,6.0,116.0,17.0,,69.0,33.0,,11.0,63.0,519.0,7.0,1.0,128.0,,12.0,15.0,1.0,0.4156,0.0,,11.0,50.0,,7.0,12.0,62.0,11.0,,37.0,1.0,2.0,1.0,1050.0,1.0,76.0,22.0,240.0,16.0,13.0,19.0,72.0,85.0,169.0,14.0,0.0,96.0,,2.0,8.0,124.0,16.0,4.0,132.0,16.0,0.0,5.0,11.0,2.0,14.0,,11.0,1.0,6.0,25.0,0.7988,4.0,,,,,,,,,,,,,,,,,,,1.0,,,
434662,Halil Dervisoglu,Forward,Brentford,94,Turkey,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
144485,Ivan Toney,Forward,Brentford,94,England,2021-22,256.0,98.0,24.0,30.0,8.5024,33.0,16.0,33.0,41.0,733.0,12.0,25.0,6.0,3.0,1.0,17.0,17.0,116.0,12.0,137.0,,4.0,41.6861,38.0,,21.0,80.0,4.0,105.0,33.0,,26.0,26.0,70.0,,728.0,34.0,522.0,21.0,,121.0,50.0,,12.0,134.0,1349.0,6.0,2.0,110.0,2.0,19.0,40.0,2.0,5.5575,0.0,,64.0,282.0,5.0,36.0,32.0,301.0,26.0,,263.0,8.0,1.0,2.0,2908.0,5.0,284.0,42.0,420.0,167.0,42.0,47.0,140.0,192.0,540.0,14.0,6.0,286.0,5.0,1.0,12.0,324.0,35.0,21.0,277.0,147.0,0.0,19.0,24.0,2.0,14.0,5.0,,3.0,4.0,19.0,11.503,8.0,,6.0,,10.0,2.0,1.0,,,,,,,,,,,,,3.0,,,
57513,Jonas Lössl,Goalkeeper,Brentford,94,Denmark,2021-22,,,,,,,,2.0,,55.0,,,0.0,,,,,,1.0,,,,3.1931,,1.0,,,0.0,13.0,2.0,,,,,,39.0,,19.0,,,12.0,,,12.0,,65.0,,,28.0,,18.0,5.0,,0.0028,0.0,,,1.0,,,2.0,19.0,,,,,,,180.0,,,,24.0,,1.0,5.0,,10.0,,,0.0,33.0,,,,8.0,4.0,,,,0.0,,,,,,,,3.0,,,0.0,,,,,,,,2.0,,,,2.0,,,17.0,2.0,1.0,,,1.0,,
183656,Josh Dasilva,Midfielder,Brentford,94,England,2021-22,15.0,12.0,1.0,,,2.0,,9.0,4.0,87.0,,,0.0,,7.0,,,1.0,1.0,12.0,,,3.0238,3.0,,1.0,3.0,0.0,23.0,9.0,,4.0,3.0,9.0,,84.0,,33.0,1.0,,24.0,4.0,,1.0,24.0,138.0,2.0,,35.0,,1.0,5.0,1.0,0.2824,1.0,,,14.0,,,2.0,15.0,3.0,,4.0,,,1.0,252.0,,15.0,5.0,71.0,7.0,6.0,4.0,14.0,10.0,30.0,3.0,0.0,29.0,,,1.0,38.0,3.0,1.0,26.0,3.0,1.0,1.0,7.0,,1.0,,1.0,,,3.0,0.0773,0.0,,,,,,,,,,,,,,,,,,,,,,
121570,Julian Jeanvier,Defender,Brentford,94,Guinea,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
191866,Kristoffer Ajer,Defender,Brentford,94,Norway,2021-22,63.0,45.0,5.0,1.0,0.5429,29.0,2.0,24.0,28.0,723.0,1.0,,0.0,,1.0,,,31.0,6.0,58.0,,4.0,28.6225,5.0,5.0,5.0,16.0,0.0,109.0,24.0,,5.0,14.0,12.0,,717.0,1.0,304.0,18.0,,207.0,12.0,,30.0,67.0,1151.0,120.0,,281.0,,71.0,77.0,3.0,1.8498,0.0,,2.0,148.0,3.0,,23.0,219.0,14.0,,80.0,5.0,,3.0,1987.0,,107.0,36.0,474.0,34.0,71.0,31.0,32.0,60.0,170.0,8.0,1.0,389.0,,,11.0,226.0,25.0,5.0,90.0,49.0,0.0,6.0,13.0,11.0,26.0,,6.0,,37.0,8.0,0.7707,5.0,,28.0,,1.0,,1.0,,,,,,,,,,,,,,,,
