season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle,penaltySave
2016-17,7089871,1,3,Arsenal,Home,10501,20467.0,Theo Walcott,theo-walcott,M,False,1.0,,,13.0,1.0,13.0,,,2.0,,1.0,,2.0,,,2.0,7.0,8.0,,,2.0,,1.0,,,,1.0,,90.0,2.0,,,,,1.0,1.0,13.0,,6.9,,,,,1.0,2.0,5.0,,,,20.0,2.0,17.0,2.0,4.0,39.0,2.0,3.0,1.0,4.0,
2016-17,7089871,1,3,Arsenal,Home,10577,81880.0,Alex Oxlade-Chamberlain,alex-oxlade-chamberlain,M,True,1.0,,1.0,7.0,1.0,7.0,3.0,,,,,,,,,1.0,4.0,4.0,,,,,1.0,,,,,,31.0,1.0,,,,,,,6.0,,7.3,,,,,1.0,3.0,1.0,,1.0,,11.0,1.0,11.0,1.0,,20.0,1.0,1.0,3.0,,
2016-17,7089871,1,14,Liverpool,Away,17054,39155.0,Adam Lallana,adam-lallana,M,False,,,2.0,14.0,13.0,27.0,1.0,2.0,1.0,,,1.0,3.0,,,3.0,9.0,3.0,,,2.0,1.0,1.0,,,1.0,3.0,,76.0,1.0,,,,,,,11.0,,7.2,,,,,,2.0,,,2.0,,18.0,13.0,31.0,2.0,,44.0,2.0,,1.0,,
2016-17,7089871,1,3,Arsenal,Home,17651,19524.0,Santi Cazorla,santi-cazorla,M,True,2.0,,1.0,16.0,2.0,16.0,,,,,,,,,,2.0,3.0,4.0,,,,2.0,,,,1.0,2.0,,29.0,,,,,,,,8.0,,7.8,,,1.0,,1.0,1.0,5.0,,1.0,,20.0,2.0,17.0,1.0,4.0,36.0,,,,,
2016-17,7089871,1,14,Liverpool,Away,22126,41733.0,Georginio Wijnaldum,georginio-wijnaldum,M,False,,,1.0,16.0,16.0,32.0,2.0,,5.0,1.0,,,1.0,,,3.0,6.0,3.0,,,,1.0,,,,1.0,2.0,,88.0,1.0,,,,,,,10.0,,7.0,,,,,,,,,1.0,,19.0,19.0,38.0,1.0,2.0,53.0,,1.0,,,
2016-17,7089871,1,3,Arsenal,Home,23571,41792.0,Aaron Ramsey,aaron-ramsey,M,False,,,,15.0,7.0,22.0,,,2.0,,,,1.0,,,2.0,3.0,4.0,,,,,,,,1.0,,,61.0,1.0,,,,,,,9.0,,6.5,,,1.0,,,1.0,2.0,,,,21.0,7.0,26.0,2.0,,40.0,,3.0,1.0,,
2016-17,7089871,1,3,Arsenal,Home,38094,54102.0,Jack Wilshere,jack-wilshere,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,
2016-17,7089871,1,3,Arsenal,Home,40672,56864.0,Francis Coquelin,francis-coquelin,M,False,,,3.0,17.0,11.0,28.0,,2.0,6.0,,,,4.0,,,2.0,10.0,8.0,,,4.0,,,,,1.0,1.0,,90.0,,,,,,,,11.0,,6.3,,,,,1.0,,,,3.0,,23.0,14.0,37.0,0.0,3.0,48.0,,3.0,,1.0,
2016-17,7089871,1,14,Liverpool,Away,42694,56979.0,Jordan Henderson,jordan-henderson,M,False,1.0,,4.0,38.0,25.0,62.0,,,8.0,,,1.0,1.0,,,,3.0,6.0,,,2.0,,,,,1.0,2.0,,90.0,,,,,,,,12.0,,7.2,,,,,2.0,,2.0,,7.0,,45.0,28.0,71.0,1.0,5.0,89.0,2.0,1.0,,2.0,
2016-17,7089871,1,3,Arsenal,Home,117777,84450.0,Granit Xhaka,granit-xhaka,M,True,,,1.0,13.0,11.0,24.0,,1.0,1.0,,,,1.0,,,,6.0,3.0,,,4.0,,,,,1.0,,,23.0,,,,,,,,3.0,,6.4,,,,,,1.0,,,1.0,,14.0,11.0,25.0,0.0,1.0,33.0,1.0,1.0,,,
2016-17,7089871,1,14,Liverpool,Away,119159,84583.0,Philippe Coutinho,philippe-coutinho,M,False,,,1.0,14.0,4.0,18.0,2.0,,3.0,,,,1.0,,,1.0,4.0,2.0,,,,,2.0,,,1.0,2.0,,70.0,3.0,,,,,,,9.0,,8.7,,,,,1.0,1.0,2.0,,1.0,,19.0,6.0,23.0,3.0,,37.0,1.0,1.0,1.0,,
2016-17,7089871,1,14,Liverpool,Away,143697,92217.0,Roberto Firmino,roberto-firmino,M,False,,,1.0,17.0,8.0,25.0,6.0,1.0,3.0,,,1.0,,,,2.0,11.0,2.0,,,2.0,,,,,1.0,1.0,,90.0,,1.0,,,,,,18.0,,6.8,,,3.0,,,1.0,2.0,,2.0,1.0,27.0,12.0,37.0,4.0,1.0,52.0,1.0,,,1.0,
2016-17,7089871,1,3,Arsenal,Home,159675,153256.0,Mohamed Elneny,mohamed-elneny,M,False,1.0,,1.0,6.0,26.0,31.0,1.0,,3.0,,,,,,,,1.0,2.0,,,,,,,,2.0,,,67.0,,,,,,,,5.0,,6.6,,,,,,1.0,1.0,,2.0,,10.0,27.0,36.0,0.0,,41.0,,1.0,1.0,,
2016-17,7089871,1,14,Liverpool,Away,180011,106449.0,Kevin Stewart,kevin-stewart,M,True,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,1.0,,2.0,,2.0,0.0,,2.0,,,,,
2016-17,7089871,1,14,Liverpool,Away,217704,110979.0,Sadio Mané,sadio-mane,M,False,,,1.0,18.0,8.0,26.0,4.0,,8.0,,,2.0,1.0,,,6.0,16.0,16.0,,,3.0,,1.0,,,,,,90.0,1.0,,,,,,,16.0,,7.5,,,,,,6.0,2.0,,2.0,1.0,22.0,9.0,29.0,3.0,6.0,64.0,2.0,6.0,4.0,4.0,
2016-17,7089871,1,14,Liverpool,Away,280835,210237.0,Marko Grujić,marko-grujic,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,
2016-17,7089871,1,3,Arsenal,Home,352770,153133.0,Alex Iwobi,alex-iwobi,M,False,,,,13.0,7.0,20.0,1.0,,7.0,,,,1.0,,,1.0,4.0,2.0,,,1.0,1.0,,,,,1.0,,59.0,,,,,,,,12.0,,6.5,,,,,,,,,1.0,,17.0,11.0,28.0,0.0,1.0,34.0,3.0,1.0,,1.0,
2016-17,7089872,1,8,Chelsea,Home,518,17878.0,Cesc Fàbregas,cesc-fabregas,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,
2016-17,7089872,1,21,West_Ham_United,Away,9741,18073.0,Mark Noble,mark-noble,M,False,,,5.0,9.0,34.0,43.0,1.0,,12.0,,,,1.0,,,2.0,8.0,6.0,,,2.0,,,,,1.0,,,90.0,,,,,,,,9.0,,6.6,,,1.0,,,2.0,,,6.0,,12.0,35.0,47.0,1.0,3.0,61.0,1.0,3.0,,1.0,
