season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltySave,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2024-25,12436872,1,39,Wolverhampton_Wanderers,Away,50027,60232,Craig Dawson,craig-dawson,D,True,,,1.0,1.0,2.0,3.0,,1.0,2.0,,,,,,,,1.0,1.0,,,0.00058778,,,,0.0,,,,,,,,12.0,,,,,,,1.0,,6.5,,,,1.0,1.0,,,1.0,,1.0,2.0,3.0,0,,5.0,,,,
2024-25,12436872,1,39,Wolverhampton_Wanderers,Away,101367,79602,Daniel Bentley,daniel-bentley,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436872,1,39,Wolverhampton_Wanderers,Away,138573,88484,Pablo Sarabia,pablo-sarabia,M,True,,,1.0,3.0,2.0,5.0,1.0,,,,,,,,,,2.0,3.0,,,0.00706388,0.0762,0.0718,,0.0,,,,,,,,12.0,1.0,,,,,,3.0,,6.9,,,,,3.0,1.0,,1.0,,4.0,3.0,6.0,1,1.0,12.0,,,2.0,
2024-25,12436872,1,39,Wolverhampton_Wanderers,Away,143047,87835,Matt Doherty,matt-doherty,D,False,,,1.0,12.0,14.0,26.0,2.0,1.0,2.0,,,1.0,,,,,2.0,5.0,,,0.00771682,0.0783,,,0.0,,,,,1.0,,,90.0,,,,,,,11.0,,7.0,,,1.0,3.0,1.0,,,1.0,,16.0,17.0,33.0,2,2.0,55.0,2.0,1.0,1.0,2.0
2024-25,12436872,1,39,Wolverhampton_Wanderers,Away,252669,149065,José Sá,jose-sa,G,False,,1.0,9.0,7.0,15.0,22.0,,,6.0,,,,,,,,,1.0,,,0.00239398,,,,0.0,,-0.2967,1.0,,,,,90.0,,,,,,,17.0,2.0,7.1,2.0,4.0,,3.0,1.0,,1.0,26.0,,21.0,18.0,39.0,0,,50.0,,,1.0,
2024-25,12436872,1,39,Wolverhampton_Wanderers,Away,280979,181284,Gonçalo Guedes,goncalo-guedes,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436872,1,39,Wolverhampton_Wanderers,Away,307284,151086,Mario Lemina,mario-lemina,M,False,,,3.0,14.0,18.0,32.0,1.0,2.0,5.0,,,,1.0,,,,3.0,5.0,,,0.00541459,,,1.0,0.0,,,,,5.0,,,90.0,,3.0,,,,,9.0,,7.1,,,,2.0,,1.0,,6.0,,18.0,21.0,38.0,0,2.0,54.0,1.0,1.0,,
2024-25,12436872,1,39,Wolverhampton_Wanderers,Away,308764,200600,Daniel Podence,daniel-podence,M,True,,,,2.0,,2.0,1.0,,,,,,1.0,,,,2.0,,,,0.00062283,0.0378,,,0.0,,,,,,,,15.0,,,,,,,2.0,,6.5,,,1.0,,,1.0,,,,4.0,,3.0,1,,6.0,,,,
2024-25,12436872,1,39,Wolverhampton_Wanderers,Away,786186,184754,Hwang Hee-chan,hwang-hee-chan,F,False,1.0,,,14.0,3.0,16.0,1.0,1.0,4.0,1.0,,,,,,2.0,5.0,7.0,,,0.106542,,,,0.0,,,,,,1.0,,90.0,,,,,,,12.0,,6.7,,,,,3.0,1.0,,,,18.0,4.0,21.0,0,,39.0,3.0,5.0,1.0,
2024-25,12436872,1,39,Wolverhampton_Wanderers,Away,845273,231057,Jean-Ricner Bellegarde,jean-ricner-bellegarde,M,False,,,1.0,7.0,7.0,14.0,3.0,,2.0,,,,1.0,,,1.0,9.0,4.0,,,0.00168352,0.0695,,2.0,0.0,,,,,,,,57.0,,,,,,,6.0,,6.4,,,1.0,,2.0,1.0,,1.0,,10.0,7.0,16.0,1,1.0,28.0,,3.0,,1.0
2024-25,12436872,1,39,Wolverhampton_Wanderers,Away,846308,231480,Santiago Bueno,santiago-bueno,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436872,1,39,Wolverhampton_Wanderers,Away,876599,247412,Jørgen Strand Larsen,jorgen-strand-larsen,F,False,,,,5.0,3.0,8.0,2.0,2.0,1.0,,1.0,,,,,1.0,5.0,2.0,,,0.00136243,0.0787,0.0896,2.0,0.0,,,,,,,,84.0,1.0,,,,,,8.0,,6.3,,,,1.0,,,,,,9.0,3.0,12.0,1,,20.0,3.0,,,
