playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,overruns,totalTackles,totalShots,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,substituteOn,aerialDuels,successfulCrossesAndCorners,timePlayed,aerialDuelsLost,duelsWon,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,expectedGoalsOnTargetConceded,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,leftsidePasses,totalFoulsConceded,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,yellowCards,unsuccessfulLongPasses,shotsOnTargetIncGoals,throughBalls,starts,offsides,oboxBlocked,cleanSheets,iboxTarget,shotsOnTargetInBox,goalsConcededOutsideBox,penaltiesConceded,throwInsToOppositionPlayer,penaltyGoalsConceded,ownGoalScored,keyPassesAttemptAssists,successfulLaunches,totalClearances,tacklesLost,redCards2ndYellow,aerialDuelsWon,blocks,interceptions,shotsBlockedOutsideBox,unsuccessfulLaunches,unsuccessfulPassesOwnHalf,expectedGoalsOnTarget,shotsOnTargetOutsideBox,oboxTarget,handballsConceded,secondGoalAssists,cornersTakenInclShortCorners,successfulCornersIntoBox,goals,awayGoals,rightFootGoals,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,clearancesOffTheLine,expectedGoalsFreekick,unsuccessfulLayoffs,homeGoals,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,lastPlayerTackle,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,leftFootGoals,headedGoals,hitWoodwork,penaltiesTaken,penaltyGoals,penaltiesSaved,savesFromPenalty,foulWonPenalty
159533,Adama Traoré,Forward,A Villa,7,Spain,2015-16,29.0,2.0,0.0726,0.0,1.0,5.0,1.0,1.0,5.0,10.0,1.0,1.0,6.0,19.0,30.0,10.0,2.0,2.0,184.0,2.0,37.0,4.0,37.0,22.0,7.0,6.0123,8.0,1.0,27.0,3.0,11.0,0.0,66.0,4.0,6.0,10.0,10.0,16.0,16.0,8.0,19.0,23.0,1.0,64.0,0.0,30.0,1.0,6.0,63.0,1.0,25.0,10.0,4.0,2.0,11.0,134.0,1.0,1.0,10.0,2.0,0.1131,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15405,Alan Hutton,Defender,A Villa,7,Scotland,2015-16,84.0,24.0,2.1361,1.0,1.0,7.0,55.0,8.0,131.0,28.0,1.0,8.0,207.0,97.0,843.0,2.0,50.0,24.0,2241.0,16.0,135.0,46.0,101.0,592.0,36.0,42.68,55.0,,68.0,70.0,36.0,0.0,219.0,25.0,345.0,104.0,28.0,19.0,428.0,49.0,97.0,27.0,,169.0,0.0,825.0,6.0,15.0,429.0,43.0,12.0,318.0,28.0,44.0,110.0,1587.0,201.0,1.0,232.0,14.0,0.682,6.0,76.0,2.0,1.0,26.0,3.0,1.0,2.0,2.0,2.0,6.0,1.0,65.0,3.0,2.0,20.0,13.0,52.0,12.0,1.0,34.0,10.0,52.0,1.0,40.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44354,Aly Cissokho,Defender,A Villa,7,France,2015-16,44.0,15.0,0.8142,1.0,1.0,,26.0,3.0,79.0,18.0,,1.0,166.0,66.0,647.0,,34.0,15.0,1603.0,12.0,56.0,48.0,34.0,445.0,13.0,27.2092,40.0,1.0,32.0,220.0,4.0,0.0,100.0,16.0,268.0,84.0,18.0,6.0,294.0,35.0,66.0,10.0,1.0,66.0,1.0,641.0,,11.0,306.0,19.0,4.0,30.0,13.0,36.0,129.0,1156.0,152.0,,202.0,5.0,0.1167,3.0,87.0,3.0,,18.0,,,3.0,2.0,2.0,5.0,2.0,54.0,2.0,,9.0,14.0,75.0,7.0,,22.0,3.0,40.0,,68.0,61.0,0.1992,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174597,Andre Green,Forward,A Villa,7,England,2015-16,7.0,2.0,0.2098,0.0,1.0,,2.0,,8.0,2.0,,1.0,8.0,5.0,23.0,2.0,,3.0,57.0,,4.0,2.0,4.0,14.0,2.0,,,,7.0,3.0,,0.0,11.0,1.0,9.0,6.0,2.0,6.0,13.0,,5.0,6.0,,11.0,0.0,23.0,,2.0,20.0,2.0,2.0,8.0,,1.0,3.0,48.0,,,5.0,,0.0407,0.0,,,,,,1.0,,,,,,,,,2.0,1.0,,,,,,3.0,1.0,,3.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60551,Ashley Westwood,Midfielder,A Villa,7,England,2015-16,122.0,5.0,3.1483,0.0,11.0,3.0,62.0,27.0,172.0,32.0,2.0,43.0,259.0,24.0,1512.0,1.0,26.0,34.0,2682.0,20.0,87.0,34.0,81.0,1138.0,21.0,44.1352,61.0,3.0,102.0,484.0,11.0,0.0,209.0,19.0,466.0,207.0,32.0,9.0,813.0,53.0,60.0,34.0,3.0,183.0,0.0,1487.0,18.0,18.0,379.0,43.0,8.0,388.0,30.0,115.0,174.0,1931.0,4.0,3.0,474.0,17.0,1.8572,6.0,87.0,9.0,1.0,31.0,,8.0,5.0,3.0,3.0,8.0,1.0,,2.0,,39.0,9.0,23.0,19.0,,6.0,12.0,58.0,8.0,29.0,74.0,1.6382,4.0,4.0,,,53.0,28.0,2.0,0.0,2.0,1.0,1.0,24.0,1.0,0.1035,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
41705,Brad Guzan,Goalkeeper,A Villa,7,United States,2015-16,,,0.07,0.0,,,3.0,,6.0,28.0,,,346.0,,721.0,,4.0,,2431.0,,8.0,,4.0,111.0,,43.2122,58.0,,,52.0,1.0,0.0,8.0,,617.0,259.0,28.0,,210.0,53.0,,,,4.0,0.0,345.0,,,351.0,1.0,,52.0,,264.0,,1031.0,,,165.0,,,2.0,340.0,,,28.0,,,2.0,,,5.0,,,2.0,,1.0,137.0,26.0,2.0,,4.0,,4.0,,195.0,50.0,,,,,,,,,,,,,,,,,,54.0,35.0,225.0,12.0,3.0,19.0,89.0,7.0,2.0,4.0,1.0,231.0,111.0,27.0,54.0,,,,,,,,
88554,Carles Gil,Midfielder,A Villa,7,Spain,2015-16,89.0,1.0,1.6346,0.0,4.0,8.0,22.0,13.0,84.0,23.0,,31.0,95.0,32.0,730.0,6.0,5.0,18.0,1440.0,4.0,79.0,37.0,78.0,613.0,28.0,26.0963,30.0,3.0,85.0,117.0,27.0,0.0,168.0,21.0,150.0,76.0,23.0,34.0,486.0,26.0,59.0,61.0,3.0,163.0,0.0,710.0,8.0,8.0,260.0,18.0,29.0,287.0,3.0,22.0,176.0,1056.0,3.0,12.0,167.0,1.0,0.8226,3.0,11.0,5.0,,17.0,2.0,1.0,2.0,1.0,1.0,4.0,,,2.0,,25.0,,5.0,4.0,,1.0,2.0,10.0,1.0,4.0,16.0,0.7807,2.0,2.0,,,32.0,11.0,2.0,2.0,,3.0,3.0,19.0,1.0,0.207,6.0,0.0,,,,,,,,,,,,,,,,2.0,,,,,,,
42824,Carlos Sánchez,Midfielder,A Villa,7,Colombia,2015-16,81.0,1.0,0.2492,0.0,4.0,,54.0,9.0,116.0,20.0,,6.0,154.0,2.0,793.0,4.0,47.0,1.0,1281.0,20.0,103.0,33.0,76.0,556.0,4.0,24.3406,31.0,2.0,61.0,244.0,6.0,0.0,184.0,22.0,240.0,118.0,20.0,5.0,304.0,29.0,2.0,12.0,2.0,137.0,0.0,781.0,5.0,,188.0,39.0,17.0,236.0,25.0,83.0,73.0,1032.0,1.0,7.0,336.0,20.0,0.4884,3.0,38.0,4.0,,16.0,,2.0,2.0,,,2.0,,,2.0,,4.0,5.0,25.0,15.0,,27.0,5.0,45.0,2.0,22.0,56.0,0.4594,4.0,4.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
18737,Charles N'Zogbia,Midfielder,A Villa,7,France,2015-16,2.0,,0.0045,0.0,,,1.0,,,2.0,,2.0,,3.0,9.0,2.0,,,41.0,,2.0,,2.0,9.0,2.0,0.1094,,,2.0,3.0,,0.0,4.0,,,1.0,2.0,1.0,8.0,,4.0,1.0,,4.0,0.0,9.0,,2.0,7.0,1.0,1.0,2.0,1.0,,4.0,19.0,,,1.0,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
58845,Ciaran Clark,Defender,A Villa,7,Ireland,2015-16,58.0,1.0,0.1481,0.0,,,24.0,10.0,63.0,18.0,,,134.0,,559.0,2.0,80.0,1.0,1353.0,30.0,93.0,13.0,43.0,395.0,21.0,19.5989,31.0,,28.0,153.0,11.0,0.0,151.0,11.0,258.0,68.0,18.0,4.0,129.0,29.0,,7.0,,71.0,0.0,532.0,8.0,1.0,152.0,18.0,9.0,116.0,14.0,30.0,32.0,851.0,2.0,,297.0,7.0,0.7569,6.0,71.0,2.0,,16.0,,,3.0,1.0,1.0,2.0,1.0,,,,4.0,6.0,127.0,6.0,,50.0,13.0,47.0,,38.0,27.0,0.1496,,,1.0,,,,1.0,1.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,1.0,,,,,,
