playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,totalRedCards,blockedShots,shotsOnTargetIncGoals,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goals,awayGoals,substituteOn,aerialDuels,cleanSheets,timePlayed,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,penaltyGoalsConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,totalFoulsWon,winningGoal,duels,homeGoals,recoveries,appearances,tacklesLost,lastPlayerTackle,successfulPassesOppositionHalf,goalsConcededInsideBox,headedGoals,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,attemptsFromSetPieces,totalFoulsConceded,interceptions,successfulLongPasses,touches,throwInsToOwnPlayer,hitWoodwork,unsuccessfulLaunches,successfulPassesOwnHalf,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,goalAssists,foulWonPenalty,unsuccessfulCrossesOpenPlay,offsides,cornersTakenInclShortCorners,successfulCrossesAndCorners,penaltiesConceded,throwInsToOppositionPlayer,leftFootGoals,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,substituteOff,handballsConceded,rightFootGoals,successfulCornersIntoBox,unsuccessfulCornersIntoBox,setPiecesGoals,penaltiesTaken,penaltyGoals,redCards2ndYellow,punches,catches,savesMade,savesMadeFromOutsideBox,goalKicks,gkSuccessfulDistribution,savesMadeCaught,gkUnsuccessfulDistribution,penaltiesFaced,savesMadeParried,savesMadeFromInsideBox,clearancesOffTheLine,ownGoalScored,penaltiesSaved,savesFromPenalty,drops,crossesNotClaimed
18658,Alex,Defender,Chelsea,8,Brazil,2009-10,45.0,0.0,11.0,8.0,37.0,17.0,1.0,52.0,16.0,1.0,13.0,72.0,596.0,1.0,0.0,3.0,62.0,6.0,1269.0,2.0,25.0,83.0,1.0,46.0,481.0,28.0,1.0,3.0,9.0,89.0,10.0,20.0,2.0,0.0,128.0,1.0,59.0,16.0,10.0,1.0,129.0,9.0,1.0,1.0,66.0,37.0,0.0,583.0,9.0,4.0,113.0,27.0,7.0,8.0,6.0,14.0,24.0,43.0,812.0,1.0,1.0,20.0,395.0,2.0,20.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3785,Ashley Cole,Defender,Chelsea,8,England,2009-10,101.0,0.0,6.0,8.0,65.0,11.0,5.0,109.0,27.0,5.0,25.0,123.0,1037.0,4.0,0.0,2.0,44.0,12.0,2155.0,,31.0,142.0,1.0,129.0,870.0,51.0,2.0,26.0,5.0,77.0,16.0,70.0,40.0,4.0,243.0,4.0,129.0,27.0,18.0,1.0,519.0,15.0,1.0,44.0,199.0,13.0,0.0,1006.0,3.0,14.0,257.0,47.0,24.0,6.0,,16.0,61.0,44.0,1702.0,209.0,,18.0,406.0,4.0,14.0,34.0,11.0,3.0,1.0,39.0,7.0,1.0,11.0,1.0,14.0,3.0,14.0,39.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
41135,Branislav Ivanovic,Defender,Chelsea,8,Serbia,2009-10,130.0,0.0,4.0,10.0,76.0,20.0,2.0,144.0,28.0,2.0,25.0,184.0,1002.0,1.0,1.0,3.0,99.0,11.0,2255.0,,39.0,185.0,2.0,125.0,765.0,57.0,2.0,25.0,8.0,137.0,20.0,91.0,33.0,0.0,315.0,0.0,115.0,28.0,21.0,3.0,442.0,18.0,,29.0,216.0,60.0,0.0,983.0,10.0,10.0,388.0,55.0,16.0,7.0,,42.0,53.0,53.0,1698.0,166.0,,32.0,395.0,6.0,40.0,57.0,19.0,5.0,1.0,61.0,,,19.0,,29.0,,14.0,61.0,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
40755,Daniel Sturridge,Forward,Chelsea,8,England,2009-10,18.0,0.0,4.0,6.0,2.0,12.0,3.0,15.0,13.0,4.0,2.0,17.0,77.0,1.0,0.0,11.0,4.0,,289.0,1.0,3.0,13.0,,12.0,56.0,17.0,1.0,3.0,,2.0,2.0,15.0,6.0,0.0,31.0,1.0,10.0,13.0,,,44.0,2.0,,11.0,27.0,1.0,0.0,76.0,6.0,5.0,40.0,2.0,4.0,1.0,,3.0,1.0,4.0,140.0,,,1.0,17.0,0.0,2.0,1.0,1.0,,1.0,11.0,,,1.0,,,1.0,4.0,11.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
10920,Deco,Midfielder,Chelsea,8,Portugal,2009-10,91.0,0.0,5.0,7.0,50.0,14.0,31.0,147.0,19.0,66.0,14.0,172.0,918.0,2.0,2.0,5.0,12.0,4.0,1240.0,2.0,6.0,102.0,1.0,96.0,695.0,18.0,1.0,39.0,1.0,9.0,11.0,85.0,21.0,0.0,193.0,0.0,81.0,19.0,19.0,,521.0,10.0,,54.0,181.0,6.0,0.0,895.0,7.0,15.0,279.0,31.0,25.0,1.0,,16.0,46.0,51.0,1264.0,8.0,,8.0,243.0,4.0,25.0,23.0,5.0,2.0,,23.0,,29.0,18.0,,,1.0,16.0,42.0,6.0,2.0,1.0,12.0,16.0,,,,,,,,,,,,,,,,,,,,,
12303,Didier Drogba,Forward,Chelsea,8,Cote d’Ivoire,2009-10,261.0,0.0,35.0,67.0,23.0,143.0,34.0,239.0,32.0,85.0,31.0,258.0,640.0,29.0,15.0,1.0,106.0,11.0,2774.0,20.0,49.0,173.0,2.0,116.0,358.0,255.0,4.0,46.0,2.0,48.0,27.0,212.0,55.0,18.0,434.0,14.0,62.0,32.0,8.0,,351.0,25.0,4.0,142.0,328.0,57.0,0.0,636.0,76.0,45.0,482.0,15.0,38.0,7.0,28.0,63.0,31.0,24.0,1413.0,5.0,2.0,5.0,52.0,7.0,19.0,15.0,20.0,10.0,4.0,43.0,35.0,6.0,21.0,,1.0,9.0,67.0,49.0,6.0,4.0,16.0,1.0,4.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,
77454,Fabio Borini,Forward,Chelsea,8,Italy,2009-10,7.0,0.0,1.0,,,2.0,,3.0,4.0,2.0,,3.0,18.0,,,4.0,2.0,,32.0,,1.0,4.0,,3.0,15.0,7.0,,1.0,,,,6.0,2.0,0.0,11.0,,4.0,4.0,,,13.0,,,4.0,9.0,1.0,0.0,17.0,2.0,,8.0,,1.0,,,1.0,1.0,,34.0,,,,3.0,0.0,,,1.0,,,1.0,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
10425,Florent Malouda,Midfielder,Chelsea,8,France,2009-10,157.0,1.0,17.0,22.0,31.0,46.0,23.0,191.0,33.0,93.0,26.0,216.0,1358.0,12.0,4.0,7.0,38.0,9.0,2303.0,10.0,18.0,138.0,1.0,118.0,1068.0,107.0,3.0,74.0,4.0,18.0,22.0,139.0,41.0,6.0,295.0,8.0,142.0,33.0,4.0,,891.0,21.0,1.0,99.0,257.0,20.0,0.0,1337.0,24.0,32.0,471.0,27.0,46.0,,,25.0,37.0,74.0,2020.0,32.0,,8.0,312.0,3.0,25.0,26.0,26.0,8.0,,70.0,8.0,93.0,61.0,,3.0,8.0,49.0,130.0,6.0,,3.0,34.0,50.0,,,,1.0,,,,,,,,,,,,,,,,,
49724,Franco Di Santo,Forward,Chelsea,8,Argentina,2009-10,143.0,0.0,4.0,10.0,20.0,18.0,3.0,89.0,22.0,54.0,15.0,92.0,266.0,1.0,0.0,7.0,90.0,1.0,1159.0,15.0,53.0,81.0,5.0,44.0,170.0,67.0,,11.0,,,19.0,90.0,18.0,0.0,224.0,1.0,21.0,22.0,6.0,,128.0,14.0,1.0,50.0,134.0,37.0,0.0,266.0,8.0,5.0,150.0,14.0,6.0,1.0,,35.0,12.0,4.0,465.0,4.0,,1.0,48.0,3.0,3.0,14.0,2.0,1.0,,5.0,19.0,,2.0,,1.0,,23.0,5.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,
2051,Frank Lampard,Midfielder,Chelsea,8,England,2009-10,140.0,0.0,33.0,52.0,75.0,108.0,65.0,316.0,36.0,176.0,36.0,366.0,1923.0,22.0,6.0,,21.0,14.0,3220.0,6.0,17.0,124.0,2.0,120.0,1415.0,118.0,4.0,100.0,3.0,42.0,32.0,123.0,29.0,8.0,264.0,16.0,148.0,36.0,26.0,1.0,1047.0,30.0,2.0,76.0,243.0,4.0,0.0,1876.0,56.0,38.0,629.0,49.0,16.0,3.0,15.0,26.0,36.0,142.0,2654.0,12.0,3.0,16.0,568.0,0.0,50.0,36.0,9.0,14.0,1.0,41.0,4.0,132.0,58.0,,1.0,1.0,26.0,143.0,2.0,4.0,19.0,40.0,83.0,,11.0,10.0,,,,,,,,,,,,,,,,,,
