playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,totalRedCards,blockedShots,shotsOnTargetIncGoals,totalTackles,totalShots,unsuccessfulShortPasses,gamesPlayed,setPiecesGoals,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goals,awayGoals,substituteOn,aerialDuels,cleanSheets,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,homeGoals,forwardPasses,recoveries,appearances,rightFootGoals,tacklesLost,lastPlayerTackle,successfulPassesOppositionHalf,goalsConcededInsideBox,headedGoals,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,attemptsFromSetPieces,leftsidePasses,totalFoulsConceded,interceptions,clearancesOffTheLine,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,overruns,throughBalls,goalAssists,foulWonPenalty,unsuccessfulCrossesOpenPlay,offsides,cornersTakenInclShortCorners,successfulCrossesAndCorners,unsuccessfulLayoffs,throwInsToOppositionPlayer,penaltyGoalsConceded,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,hitWoodwork,handballsConceded,leftFootGoals,unsuccessfulCornersIntoBox,penaltiesConceded,successfulCornersIntoBox,penaltiesTaken,penaltyGoals,ownGoalScored,penaltiesSaved,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,savesFromPenalty,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox
18658,Alex,Defender,Chelsea,8,Brazil,2010-11,37.0,0.0,1.0,4.0,40.0,10.0,46.0,15.0,1.0,3.0,12.0,57.0,575.0,2.0,0.0,3.0,54.0,3.0,1109.0,22.0,78.0,2.0,46.0,471.0,15.0,4.0,6.0,73.0,9.0,15.0,86.0,3.0,0.0,115.0,2.0,233.0,43.0,15.0,1.0,16.0,5.0,108.0,7.0,1.0,2.0,61.0,32.0,0.0,565.0,6.0,1.0,63.0,24.0,3.0,13.0,1.0,227.0,9.0,30.0,1.0,47.0,29.0,771.0,2.0,2.0,12.0,410.0,3.0,11.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3785,Ashley Cole,Defender,Chelsea,8,England,2010-11,157.0,0.0,5.0,6.0,100.0,22.0,165.0,38.0,,14.0,38.0,189.0,1656.0,,,,48.0,15.0,3387.0,28.0,182.0,6.0,162.0,1401.0,69.0,41.0,3.0,46.0,32.0,129.0,802.0,45.0,0.0,339.0,,470.0,222.0,38.0,,33.0,,851.0,26.0,,62.0,291.0,20.0,0.0,1616.0,16.0,23.0,402.0,67.0,17.0,12.0,1.0,63.0,29.0,50.0,2.0,66.0,321.0,2613.0,363.0,1.0,22.0,636.0,4.0,24.0,60.0,20.0,2.0,2.0,3.0,1.0,81.0,10.0,1.0,20.0,2.0,29.0,1.0,17.0,81.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
41135,Branislav Ivanovic,Defender,Chelsea,8,Serbia,2010-11,137.0,0.0,3.0,11.0,76.0,35.0,151.0,34.0,,10.0,32.0,197.0,1305.0,4.0,2.0,2.0,108.0,11.0,2829.0,42.0,186.0,6.0,120.0,987.0,66.0,18.0,8.0,146.0,27.0,95.0,150.0,35.0,4.0,323.0,2.0,518.0,191.0,34.0,2.0,13.0,3.0,426.0,21.0,2.0,27.0,215.0,66.0,0.0,1283.0,24.0,10.0,314.0,63.0,9.0,8.0,1.0,513.0,61.0,67.0,1.0,121.0,124.0,1943.0,90.0,4.0,30.0,692.0,12.0,46.0,63.0,10.0,2.0,4.0,4.0,,33.0,2.0,,10.0,1.0,31.0,,9.0,33.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
40755,Daniel Sturridge,Forward,Chelsea,8,England,2010-11,89.0,1.0,18.0,21.0,1.0,52.0,58.0,25.0,,17.0,11.0,70.0,276.0,8.0,3.0,14.0,15.0,1.0,1118.0,13.0,55.0,3.0,53.0,182.0,76.0,18.0,,1.0,17.0,76.0,69.0,27.0,0.0,144.0,5.0,61.0,39.0,25.0,1.0,,,153.0,14.0,2.0,64.0,129.0,2.0,1.0,275.0,31.0,15.0,190.0,1.0,25.0,,2.0,95.0,8.0,3.0,,24.0,51.0,549.0,1.0,3.0,2.0,55.0,0.0,12.0,8.0,2.0,2.0,7.0,,1.0,15.0,8.0,1.0,2.0,1.0,1.0,1.0,32.0,16.0,1.0,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,
41270,David Luiz,Defender,Chelsea,8,Brazil,2010-11,49.0,0.0,1.0,3.0,17.0,9.0,50.0,12.0,,,11.0,76.0,471.0,2.0,0.0,1.0,23.0,4.0,953.0,8.0,51.0,2.0,36.0,349.0,14.0,6.0,7.0,51.0,8.0,41.0,63.0,12.0,2.0,100.0,2.0,211.0,91.0,12.0,1.0,3.0,1.0,137.0,6.0,1.0,13.0,77.0,15.0,0.0,461.0,6.0,5.0,109.0,14.0,7.0,8.0,,167.0,18.0,36.0,,46.0,30.0,662.0,4.0,2.0,23.0,259.0,3.0,26.0,25.0,1.0,1.0,6.0,,,8.0,,,1.0,,1.0,1.0,4.0,8.0,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
12303,Didier Drogba,Forward,Chelsea,8,Cote d’Ivoire,2010-11,272.0,0.0,41.0,51.0,27.0,109.0,278.0,36.0,1.0,116.0,30.0,300.0,785.0,11.0,4.0,6.0,134.0,10.0,2793.0,60.0,190.0,5.0,116.0,457.0,201.0,61.0,1.0,35.0,26.0,212.0,184.0,44.0,4.0,462.0,7.0,265.0,54.0,36.0,7.0,4.0,,436.0,21.0,1.0,140.0,328.0,74.0,0.0,769.0,58.0,44.0,692.0,23.0,45.0,10.0,32.0,193.0,57.0,26.0,2.0,28.0,143.0,1609.0,2.0,5.0,7.0,95.0,6.0,22.0,24.0,20.0,17.0,41.0,13.0,,83.0,29.0,46.0,46.0,32.0,1.0,2.0,52.0,121.0,6.0,6.0,3.0,18.0,,22.0,3.0,2.0,,,,,,,,,,,,,,,,,
77454,Fabio Borini,Forward,Chelsea,8,Italy,2010-11,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14402,Fernando Torres,Forward,Chelsea,8,Spain,2010-11,322.0,0.0,36.0,36.0,26.0,75.0,195.0,37.0,,78.0,30.0,202.0,639.0,10.0,4.0,7.0,131.0,4.0,2658.0,87.0,165.0,4.0,121.0,415.0,196.0,33.0,,7.0,36.0,235.0,173.0,51.0,2.0,487.0,6.0,163.0,65.0,37.0,8.0,8.0,,354.0,32.0,,175.0,356.0,44.0,0.0,635.0,39.0,29.0,543.0,18.0,44.0,1.0,1.0,135.0,59.0,10.0,,22.0,168.0,1290.0,3.0,9.0,1.0,89.0,7.0,7.0,27.0,6.0,15.0,13.0,4.0,1.0,38.0,30.0,1.0,6.0,20.0,,3.0,83.0,39.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,
10425,Florent Malouda,Midfielder,Chelsea,8,France,2010-11,192.0,0.0,19.0,38.0,28.0,69.0,255.0,38.0,,129.0,33.0,276.0,1661.0,13.0,2.0,5.0,48.0,10.0,2810.0,21.0,146.0,4.0,119.0,1330.0,131.0,114.0,1.0,18.0,27.0,171.0,543.0,35.0,12.0,338.0,11.0,488.0,148.0,38.0,5.0,6.0,,1140.0,23.0,1.0,132.0,290.0,27.0,0.0,1626.0,31.0,29.0,664.0,22.0,56.0,3.0,1.0,319.0,24.0,42.0,,55.0,309.0,2480.0,28.0,13.0,5.0,325.0,1.0,21.0,25.0,29.0,13.0,31.0,4.0,2.0,104.0,17.0,129.0,80.0,6.0,1.0,1.0,55.0,180.0,,,7.0,66.0,,44.0,,,,,,,,,,,,,,,,,,,
2051,Frank Lampard,Midfielder,Chelsea,8,England,2010-11,69.0,0.0,21.0,31.0,53.0,55.0,193.0,24.0,,113.0,23.0,228.0,1284.0,10.0,5.0,1.0,10.0,7.0,2026.0,7.0,76.0,4.0,73.0,968.0,61.0,51.0,1.0,19.0,21.0,62.0,421.0,12.0,6.0,145.0,5.0,394.0,109.0,24.0,9.0,15.0,,692.0,17.0,,34.0,135.0,3.0,0.0,1259.0,24.0,14.0,337.0,38.0,8.0,6.0,9.0,288.0,10.0,29.0,,88.0,181.0,1651.0,4.0,3.0,7.0,390.0,2.0,35.0,36.0,4.0,,37.0,2.0,,8.0,3.0,64.0,26.0,6.0,,2.0,7.0,50.0,,,1.0,41.0,,22.0,5.0,4.0,,,,,,,,,,,,,,,,,
