playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,penaltiesSaved,expectedAssists,totalRedCards,catches,totalTackles,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,savesFromPenalty,punches,expectedGoalsOnTargetConceded,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,tacklesWon,successfulDribbles,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,successfulLongPasses,touches,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,substituteOn,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalShots,throughBalls,goalAssists,successfulLayoffs,unsuccessfulCrossesOpenPlay,goals,offsides,oboxBlocked,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,unsuccessfulLayoffs,penaltiesConceded,totalTouchesInOppositionBox,throwInsToOppositionPlayer,keyPassesAttemptAssists,shotsBlockedInBox,putthroughBlockedDistributionWon,oboxTarget,rightFootGoals,tacklesLost,unsuccessfulCrossesAndCorners,iboxBlocked,shotsOffTargetIncWoodwork,cornersWon,blocks,totalFoulsConceded,interceptions,clearancesOffTheLine,backwardPasses,throwInsToOwnPlayer,hitWoodwork,shotsBlockedOutsideBox,foulAttemptedTackle,handballsConceded,expectedGoals,headedGoals,leftFootGoals,cornersTakenInclShortCorners,unsuccessfulCornersIntoBox,expectedGoalsFreekick,foulWonPenalty,successfulCornersIntoBox,freekickTotal,attemptsFromSetPieces,penaltiesTaken,penaltyGoals,penaltyGoalsConceded,redCards2ndYellow,ownGoalScored,secondGoalAssists,setPiecesGoals,otherGoals,awayGoals,winningGoal,homeGoals,timesTackled
11334,Petr Cech,Goalkeeper,Chelsea PL2,7140,Czech Republic,2017-18,2.0,1.0,0.04,0.0,31.0,1.0,25.0,3.0,34.0,34.0,281.0,811.0,6.0,16.0,11.0,6.0,3040.0,1.0,21.0,2.0,3.0,6.0,346.0,1.0,20.0,46.0752,50.0,43.0,48.0,1.0,153.0,92.0,4.0,23.0,8.0,537.0,330.0,34.0,2.0,3.0,1.0,98.0,46.0,7.0,15.0,0.0,358.0,466.0,292.0,1.0,2.0,90.0,32.0,121.0,184.0,1227.0,1.0,149.0,432.0,62.0,1.0,278.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48844,David Ospina,Goalkeeper,Atlético Nacional,2302,Colombia,2017-18,,,0.0013,0.0,5.0,,3.0,,5.0,4.0,36.0,117.0,1.0,5.0,2.0,,380.0,,6.0,,,1.0,59.0,,4.0,2.4713,7.0,5.0,3.0,,17.0,9.0,4.0,6.0,1.0,80.0,51.0,5.0,1.0,1.0,,9.0,3.0,1.0,5.0,0.0,41.0,70.0,36.0,,,14.0,6.0,20.0,22.0,169.0,,16.0,72.0,6.0,0.0,36.0,15.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113534,Matt Macey,Goalkeeper,Colchester United,99,England,2017-18,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18726,Artur Boruc,Goalkeeper,Legia Warsaw,263,Poland,2017-18,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40349,Asmir Begovic,Goalkeeper,Everton,11,Bosnia & Herzegovina,2017-18,6.0,1.0,0.0324,0.0,31.0,,46.0,4.0,38.0,38.0,460.0,945.0,16.0,13.0,6.0,3.0,3420.0,2.0,15.0,7.0,1.0,4.0,239.0,1.0,20.0,55.9233,93.0,36.0,61.0,4.0,114.0,110.0,7.0,21.0,6.0,725.0,351.0,38.0,4.0,4.0,,146.0,54.0,8.0,11.0,0.0,369.0,428.0,470.0,,,174.0,39.0,106.0,246.0,1363.0,,239.0,339.0,64.0,2.0,456.0,103.0,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,2.0,2.0,,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,
131897,Mathew Ryan,Goalkeeper,Roma,121,Australia,2017-18,3.0,2.0,0.0636,0.0,35.0,,50.0,1.0,38.0,38.0,548.0,1053.0,8.0,13.0,10.0,3.0,3420.0,,13.0,3.0,1.0,,141.0,2.0,13.0,51.3586,139.0,23.0,54.0,3.0,76.0,124.0,1.0,16.0,8.0,914.0,335.0,38.0,3.0,4.0,,270.0,51.0,3.0,13.0,0.0,288.0,454.0,562.0,,,186.0,29.0,63.0,364.0,1388.0,,265.0,235.0,73.0,0.0,547.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48860,Niki Mäenpää,Goalkeeper,HJK,452,Finland,2017-18,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20480,Tim Krul,Goalkeeper,Luton Town,102,Netherlands,2017-18,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21205,Tom Heaton,Goalkeeper,Manchester United,1,England,2017-18,,,0.029,0.0,1.0,,4.0,,4.0,4.0,46.0,94.0,1.0,1.0,,,306.0,,1.0,,,,14.0,,1.0,4.8764,20.0,1.0,4.0,,6.0,8.0,,1.0,,85.0,34.0,4.0,1.0,,,29.0,4.0,,1.0,0.0,38.0,33.0,50.0,,,16.0,3.0,3.0,34.0,131.0,1.0,28.0,19.0,4.0,0.0,46.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39725,Anders Lindegaard,Goalkeeper,Burnley,90,Denmark,2017-18,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
