season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2022-23,10385501,1,2,Leeds_United,Home,44900,72222,Mateusz Klich,mateusz-klich,M,True,1.0,,,7.0,2.0,8.0,,1.0,2.0,,,,1.0,,,1.0,3.0,1.0,,,0.0254812,0.0,0.0,1.0,,,,,,,,,25.0,,,,,,,,4.0,,6.5,,,,,,1.0,,,,9.0,3.0,11.0,0,,14.0,,,,
2022-23,10385501,1,2,Leeds_United,Home,204336,106617,Patrick Bamford,patrick-bamford,F,False,,,,6.0,5.0,11.0,,2.0,5.0,,2.0,,6.0,,,,10.0,3.0,,,0.0377713,0.3136,0.2763,3.0,,,,,,,,,84.0,2.0,,,,,,,10.0,,6.1,,,,2.0,2.0,,,,,10.0,5.0,15.0,2,,26.0,5.0,,1.0,
2022-23,10385501,1,2,Leeds_United,Home,305278,149915,Diego Llorente,diego-llorente,D,False,,,3.0,10.0,28.0,38.0,,2.0,7.0,,,,1.0,,,,2.0,6.0,,,0.00289803,0.0,0.0,1.0,,,,,,2.0,,,90.0,,1.0,,,,,,10.0,,7.1,,,,4.0,2.0,1.0,,6.0,,16.0,31.0,46.0,0,2.0,59.0,1.0,,2.0,1.0
2022-23,10385501,1,2,Leeds_United,Home,542472,80954,Rodrigo,rodrigo,M,False,,,2.0,7.0,4.0,11.0,1.0,,2.0,,,1.0,2.0,,,1.0,4.0,,,,0.0046836,0.1345,0.1098,,,1.0,,,,2.0,,,65.0,1.0,,,,,,,13.0,,6.9,,,1.0,1.0,,2.0,,4.0,,16.0,4.0,18.0,3,,31.0,2.0,,,
2022-23,10385501,1,2,Leeds_United,Home,581302,193645,Robin Koch,robin-koch,D,False,,,2.0,9.0,25.0,34.0,,,5.0,,,,2.0,,,,2.0,3.0,,,0.00221815,0.0558,0.0,,,,,,,1.0,,,90.0,,2.0,,,,,,5.0,,7.0,,,1.0,4.0,,,,6.0,,14.0,25.0,39.0,1,3.0,52.0,,,,3.0
2022-23,10385501,1,2,Leeds_United,Home,800419,200785,Tyler Adams,tyler-adams,M,False,,,1.0,16.0,12.0,28.0,,,8.0,,,,2.0,,,1.0,5.0,4.0,,,0.0120598,0.0228,0.0,2.0,,,,,,1.0,1.0,,90.0,,,,,,,,7.0,,6.8,,,1.0,2.0,,,,2.0,,19.0,14.0,33.0,1,4.0,50.0,1.0,,,2.0
2022-23,10385501,1,2,Leeds_United,Home,829570,221399,Jack Harrison,jack-harrison,F,False,4.0,,3.0,14.0,6.0,16.0,1.0,,9.0,2.0,,,1.0,,,4.0,10.0,8.0,,,0.342759,0.0,0.0,2.0,1.0,,,,,1.0,7.0,,90.0,,,,,,,,21.0,,7.8,,,,1.0,4.0,7.0,,4.0,,25.0,7.0,25.0,0,2.0,53.0,2.0,4.0,2.0,1.0
2022-23,10385501,1,2,Leeds_United,Home,836675,222694,Pascal Struijk,pascal-struijk,D,False,,,,13.0,18.0,31.0,3.0,3.0,7.0,,,,3.0,,,,9.0,10.0,,,0.00424011,0.1046,0.0,,,,,,,3.0,,,90.0,,,,,,,,18.0,,6.7,,,1.0,3.0,4.0,,,4.0,,25.0,20.0,45.0,1,5.0,76.0,1.0,1.0,1.0,3.0
2022-23,10385501,1,2,Leeds_United,Home,847128,234370,Marc Roca,marc-roca,M,False,,,3.0,19.0,11.0,30.0,,,6.0,,,,2.0,,,1.0,4.0,3.0,,,0.0254579,0.0338,0.3462,1.0,,,,,,2.0,1.0,,73.0,1.0,,,,,,,7.0,,6.9,,,,,1.0,1.0,,5.0,,25.0,11.0,35.0,1,1.0,45.0,,1.0,1.0,1.0
2022-23,10385501,1,2,Leeds_United,Home,858254,223081,Kristoffer Klaesson,kristoffer-klaesson,G,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385501,1,2,Leeds_United,Home,906076,437495,Illan Meslier,illan-meslier,G,False,,,2.0,1.0,13.0,14.0,,,10.0,,,,,,,,,,,,0.00017722,0.0,0.0,,,,0.3078,1.0,,,,,90.0,,,,,,,,8.0,,7.3,4.0,5.0,,,,,,9.0,,7.0,14.0,21.0,0,,36.0,,,,
2022-23,10385501,1,2,Leeds_United,Home,917005,450070,Crysencio Summerville,crysencio-summerville,M,True,,,,1.0,,1.0,,,1.0,,,,,,,,1.0,,,,0.00089885,0.0,0.0,1.0,,,,,,,,,10.0,,,,,,,,1.0,,6.4,,,,,,,,,,2.0,,2.0,0,,2.0,,,,
2022-23,10385501,1,2,Leeds_United,Home,921789,224209,Rasmus Kristensen,rasmus-kristensen,D,False,1.0,,2.0,16.0,11.0,26.0,,1.0,5.0,,,,1.0,,,,1.0,2.0,,,0.0208763,0.0,0.0,,,,,,,2.0,1.0,1.0,90.0,,,,,,,,14.0,,6.9,,,,4.0,,1.0,,5.0,,24.0,15.0,38.0,0,1.0,52.0,,,,1.0
2022-23,10385501,1,2,Leeds_United,Home,945806,462635,Joe Gelhardt,joe-gelhardt,M,True,,,,1.0,,1.0,2.0,,,,,,,,,,3.0,,,,0.00243266,0.0,0.0,1.0,,,,,,,,,11.0,,,,,,,,,,6.5,,,,1.0,,,,,,1.0,,1.0,0,,2.0,,,,
2022-23,10385501,1,2,Leeds_United,Home,973431,427637,Brenden Aaronson,brenden-aaronson,M,False,,,,10.0,5.0,15.0,,,3.0,,,1.0,4.0,,,2.0,7.0,4.0,,,0.0141282,0.0377,0.0,1.0,,,,,,,,,85.0,,,,,,,,15.0,,6.1,,,,,,5.0,,,,20.0,6.0,21.0,1,2.0,40.0,1.0,2.0,,1.0
2022-23,10385501,1,2,Leeds_United,Home,980640,248937,Sam Greenwood,sam-greenwood,M,True,,,,3.0,2.0,5.0,,,,,,1.0,,,,,,1.0,,,0.00108043,0.0937,0.0,,,,,,,,,,17.0,,,,,,,,2.0,,6.7,,,1.0,,,2.0,,,,5.0,2.0,5.0,2,1.0,13.0,,,,1.0
2022-23,10385501,1,2,Leeds_United,Home,991577,433590,Cody Drameh,cody-drameh,D,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385501,1,2,Leeds_United,Home,1067117,470294,Darko Gyabi,darko-gyabi,M,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385501,1,2,Leeds_United,Home,1097848,477547,Leo Fuhr Hjelde,leo-fuhr-hjelde,D,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385501,1,2,Leeds_United,Home,1142335,547701,Archie Gray,archie-gray,M,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385737,2,2,Leeds_United,Away,44900,72222,Mateusz Klich,mateusz-klich,M,True,,,,4.0,,4.0,1.0,,,,,,,,,,1.0,2.0,,,0.0515001,0.0,0.0,,,,,,,,2.0,,13.0,,,,,,,,1.0,,6.9,,,,,,,,1.0,,5.0,,5.0,0,1.0,7.0,,1.0,,1.0
2022-23,10385737,2,2,Leeds_United,Away,103117,80179,Adam Forshaw,adam-forshaw,M,True,,,,1.0,3.0,4.0,,,1.0,,,,2.0,,,,2.0,,,,0.00034504,0.0,0.0,,,,,,,,,,9.0,,,,,,,,,,6.3,,,,,,,,,,1.0,3.0,4.0,0,,7.0,,,,
2022-23,10385737,2,2,Leeds_United,Away,204336,106617,Patrick Bamford,patrick-bamford,F,False,,,,,1.0,1.0,,,,,,1.0,,,,,1.0,,,,3.416e-05,0.2249,0.0,1.0,,,,,,,,,28.0,,,,,,,,2.0,,6.6,,,1.0,,,,,,,,1.0,1.0,2,,5.0,2.0,,,
2022-23,10385737,2,2,Leeds_United,Away,305278,149915,Diego Llorente,diego-llorente,D,False,,,4.0,6.0,28.0,34.0,,5.0,7.0,,,,,,,,,6.0,,,0.00190192,0.0194,0.0,,,,,,,3.0,,,90.0,,,,,,,,11.0,,6.8,,,1.0,4.0,,,,8.0,,9.0,33.0,42.0,1,1.0,55.0,2.0,,,1.0
2022-23,10385737,2,2,Leeds_United,Away,542472,80954,Rodrigo,rodrigo,M,False,,,3.0,11.0,14.0,25.0,3.0,3.0,1.0,1.0,,1.0,2.0,,,,7.0,4.0,,,0.253519,1.3009,1.5463,1.0,,2.0,,,,,3.0,,90.0,3.0,,,,,,,13.0,,8.5,,,1.0,1.0,1.0,1.0,,4.0,,15.0,17.0,31.0,5,,49.0,5.0,1.0,,
