playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,expectedGoalsFreekick,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,oboxBlocked,substituteOn,cornersTakenInclShortCorners,aerialDuels,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,successfulCornersIntoBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,oboxTarget,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,freekickTotal,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,attemptsFromSetPieces,leftsidePasses,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,cleanSheets,penaltiesConceded,totalTouchesInOppositionBox,throwInsToOppositionPlayer,shotsBlockedInBox,iboxBlocked,setPiecesGoals,goals,offsides,rightFootGoals,hitWoodwork,handballsConceded,secondGoalAssists,catches,savesMadeFromOutsideBox,savesMadeCaught,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,ownGoalScored,leftFootGoals,penaltiesSaved,penaltiesFaced,savesFromPenalty,foulWonPenalty,clearancesOffTheLine,redCards2ndYellow,headedGoals,penaltiesTaken,penaltyGoals
44302,Adlène Guédioura,Midfielder,Watford,57,Algeria,2015-16,52.0,3.0,0.7953,0.0,0.0709,2.0,3.0,1.16,13.0,11.0,1.0,57.0,18.0,2.0,12.0,3.0,76.0,17.0,251.0,2.0,15.0,17.0,27.0,2.0,9.0,1.0,421.0,1.0,1.0,15.0,43.0,2.0,9.0,31.0,162.0,6.0,2.0,9.1061,8.0,2.0,1.0,10.0,37.0,57.0,7.0,95.0,4.0,92.0,51.0,18.0,2.0,3.0,10.0,110.0,8.0,34.0,1.0,68.0,12.0,0.0,248.0,8.0,6.0,150.0,10.0,12.0,1.0,1.0,56.0,13.0,16.0,11.0,13.0,46.0,411.0,5.0,2.0,2.0,10.0,74.0,8.0,0.4223,2.0,19.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67527,Allan Nyom,Defender,Watford,57,Cameroon,2015-16,111.0,11.0,0.7292,0.0,,3.0,1.0,0.0386,84.0,4.0,1.0,103.0,32.0,1.0,5.0,29.0,277.0,74.0,860.0,2.0,3.0,,33.0,1.0,11.0,,2474.0,,1.0,20.0,147.0,4.0,45.0,134.0,525.0,,2.0,38.0207,6.0,46.0,70.0,34.0,91.0,26.0,23.0,258.0,21.0,458.0,187.0,32.0,1.0,9.0,15.0,360.0,30.0,74.0,,225.0,13.0,0.0,850.0,3.0,11.0,494.0,75.0,27.0,7.0,,270.0,36.0,60.0,,58.0,106.0,1620.0,209.0,9.0,2.0,145.0,234.0,19.0,0.3332,8.0,174.0,74.0,9.0,1.0,1.0,58.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41926,Almen Abdi,Midfielder,Watford,57,Switzerland,2015-16,153.0,13.0,2.073,0.0,0.4307,10.0,10.0,1.5071,83.0,28.0,2.0,138.0,32.0,,68.0,25.0,169.0,22.0,938.0,8.0,7.0,13.0,53.0,4.0,17.0,4.0,1984.0,4.0,4.0,31.0,140.0,2.0,81.0,118.0,733.0,3.0,3.0,32.2535,32.0,7.0,24.0,33.0,122.0,230.0,24.0,293.0,57.0,249.0,137.0,32.0,4.0,18.0,4.0,478.0,31.0,38.0,5.0,240.0,22.0,0.0,927.0,18.0,9.0,294.0,65.0,12.0,3.0,5.0,223.0,38.0,32.0,9.0,36.0,236.0,1383.0,15.0,20.0,8.0,17.0,308.0,26.0,1.9923,4.0,31.0,50.0,,1.0,3.0,,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
16045,Ben Watson,Midfielder,Watford,57,England,2015-16,153.0,2.0,2.447,0.0,0.1286,8.0,4.0,1.4349,71.0,9.0,1.0,199.0,35.0,,32.0,31.0,322.0,5.0,1436.0,7.0,4.0,89.0,74.0,2.0,39.0,,2815.0,,,33.0,131.0,5.0,49.0,90.0,1010.0,31.0,2.0,41.5181,33.0,28.0,62.0,42.0,120.0,358.0,15.0,284.0,34.0,564.0,180.0,35.0,2.0,14.0,5.0,599.0,37.0,84.0,2.0,210.0,41.0,0.0,1371.0,5.0,10.0,467.0,57.0,4.0,13.0,2.0,348.0,36.0,88.0,55.0,104.0,166.0,1952.0,2.0,3.0,7.0,88.0,554.0,26.0,0.6234,4.0,123.0,67.0,8.0,,1.0,,1.0,1.0,,2.0,,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
56827,Costel Pantilimon,Goalkeeper,Watford,57,Romania,2015-16,3.0,,0.0335,0.0,,,,,,,,2.0,17.0,,,17.0,272.0,,497.0,,,,4.0,,,,1530.0,,,,6.0,1.0,,2.0,77.0,,,36.5277,1.0,64.0,11.0,33.0,3.0,18.0,2.0,9.0,,443.0,161.0,17.0,,,,118.0,32.0,,,5.0,4.0,0.0,222.0,,,278.0,,,,,36.0,2.0,,,148.0,,676.0,,,,152.0,107.0,1.0,,3.0,270.0,41.0,3.0,1.0,,,,,,,,,,1.0,,23.0,39.0,7.0,6.0,71.0,4.0,1.0,1.0,138.0,74.0,21.0,32.0,,,,,,,,,,,
41338,Craig Cathcart,Defender,Watford,57,Northern Ireland,2015-16,67.0,1.0,0.5103,0.0,,2.0,2.0,0.4464,45.0,3.0,,106.0,35.0,,2.0,34.0,309.0,2.0,1032.0,1.0,1.0,,110.0,1.0,1.0,,3033.0,,,42.0,132.0,6.0,23.0,64.0,607.0,,4.0,45.3598,3.0,64.0,171.0,46.0,25.0,192.0,12.0,199.0,10.0,535.0,121.0,35.0,1.0,11.0,,225.0,40.0,2.0,,89.0,68.0,0.0,992.0,1.0,3.0,364.0,34.0,8.0,25.0,,245.0,9.0,63.0,,116.0,60.0,1432.0,14.0,1.0,1.0,160.0,499.0,7.0,0.4121,3.0,203.0,72.0,10.0,,,3.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,
39942,Daniel Pudil,Defender,Watford,57,Czech Republic,2015-16,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52800,Gabriele Angella,Defender,Watford,57,Italy,2015-16,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57187,Giedrius Arlauskis,Goalkeeper,Watford,57,Lithuania,2015-16,,,0.0011,0.0,,,,,,,,,1.0,,,,3.0,,5.0,,1.0,,,,,,23.0,,,,,1.0,,,,,,0.3885,,2.0,1.0,1.0,,,,,,5.0,5.0,1.0,,,,2.0,,,,,,0.0,4.0,,,4.0,,,,,,,,,2.0,,9.0,,,,2.0,,,,0.0,3.0,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,
18656,Heurelho Gomes,Goalkeeper,Watford,57,Brazil,2015-16,3.0,,0.1233,0.0,,,,,2.0,,,2.0,38.0,,,38.0,513.0,,957.0,,,,17.0,,,,3397.0,,1.0,,24.0,6.0,3.0,7.0,99.0,,4.0,50.3229,,140.0,76.0,49.0,3.0,37.0,6.0,27.0,1.0,872.0,359.0,38.0,,1.0,,291.0,43.0,,,10.0,17.0,0.0,296.0,,2.0,545.0,1.0,,,,48.0,2.0,2.0,,345.0,,1436.0,,1.0,,234.0,153.0,2.0,,4.0,511.0,54.0,11.0,2.0,,,,,,,,,,,,62.0,52.0,18.0,66.0,121.0,17.0,3.0,3.0,322.0,234.0,40.0,67.0,,,3.0,8.0,3.0,,,,,,
