season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2022-23,10385483,1,7,Aston_Villa,Away,130181,84939,Danny Ings,danny-ings,F,False,,,,8.0,4.0,12.0,2.0,1.0,1.0,,,,,,,3.0,6.0,4.0,,,0.0092698,0.2603,0.2257,1.0,,,,,,,1.0,66.0,1.0,,,,,,,,8.0,,6.9,,,2.0,,,3.0,1.0,,,1.0,12.0,4.0,15.0,3,,29.0,,,3.0,
2022-23,10385483,1,7,Aston_Villa,Away,555386,178301,Ollie Watkins,ollie-watkins,F,True,,,,3.0,1.0,4.0,,,,,,,,,,1.0,1.0,,,,0.00948717,0.0,0.0,,,,,,,,1.0,24.0,,,,,,,,,2.0,,6.5,,,,,,,,,,,3.0,1.0,4.0,0,,7.0,1.0,,,
2022-23,10385483,1,7,Aston_Villa,Away,993451,433979,Cameron Archer,cameron-archer,F,True,,,,1.0,,1.0,,,,,,,,,,,,,,,0.00206954,0.0,0.0,,,,,,,,,9.0,,,,,,,,,1.0,,6.5,,,,,,,,,,,2.0,,2.0,0,,2.0,,,,
2022-23,10385503,2,7,Aston_Villa,Home,130181,84939,Danny Ings,danny-ings,F,False,,,,13.0,1.0,14.0,,1.0,2.0,,,1.0,1.0,,,1.0,6.0,2.0,,,0.147185,0.1768,0.4547,3.0,,1.0,,,,,,78.0,1.0,,,,,,,,9.0,,7.3,,,,,1.0,2.0,,,2.0,,17.0,2.0,19.0,2,,32.0,1.0,,1.0,
2022-23,10385503,2,7,Aston_Villa,Home,555386,178301,Ollie Watkins,ollie-watkins,F,False,,,,17.0,2.0,19.0,3.0,1.0,3.0,1.0,1.0,1.0,,,,2.0,6.0,4.0,,,0.852575,0.5615,0.2972,,2.0,,,,,,2.0,90.0,1.0,,,,,,,,10.0,,7.4,,,,,,2.0,,,,,20.0,3.0,23.0,2,1.0,36.0,3.0,1.0,1.0,1.0
2022-23,10385503,2,7,Aston_Villa,Home,993451,433979,Cameron Archer,cameron-archer,F,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385520,3,7,Aston_Villa,Away,130181,84939,Danny Ings,danny-ings,F,True,,,,,1.0,1.0,,,,,,,1.0,,,1.0,2.0,1.0,,,1.372e-05,0.0556,0.1347,,,,,,,,,24.0,1.0,,,,,,,,1.0,,6.7,,,1.0,,,,,,,,,1.0,1.0,2,,5.0,,1.0,,
2022-23,10385520,3,7,Aston_Villa,Away,555386,178301,Ollie Watkins,ollie-watkins,F,False,,,,18.0,3.0,21.0,2.0,3.0,2.0,,,,1.0,,,1.0,5.0,5.0,,,0.0527007,0.2589,0.4339,1.0,,1.0,,,,,,90.0,1.0,,,,,,,,12.0,,7.3,,,1.0,,,,,,,1.0,24.0,3.0,27.0,2,2.0,39.0,5.0,,,1.0
2022-23,10385520,3,7,Aston_Villa,Away,993451,433979,Cameron Archer,cameron-archer,F,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385563,4,7,Aston_Villa,Home,130181,84939,Danny Ings,danny-ings,F,False,,,,7.0,3.0,10.0,,2.0,2.0,,,,,,,2.0,2.0,4.0,,,0.00977979,0.0902,0.0,,,,,,,,,78.0,,,,,,,,,7.0,,6.7,,,1.0,,,1.0,1.0,,1.0,2.0,10.0,5.0,14.0,1,,23.0,,1.0,1.0,
