season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2020-21,8896992,1,6,Tottenham_Hotspur,Home,9048,37915,Hugo Lloris,hugo-lloris,G,False,,,1.0,1.0,20.0,21.0,,,10.0,,,,1.0,,,1.0,,,,,,,,,,,,90.0,,,,,,,2.0,,6.5,1.0,3.0,,,,,,3.0,,2.0,21.0,23.0,0,,33.0,,,,
2020-21,8896992,1,6,Tottenham_Hotspur,Home,16817,15749,Joe Hart,joe-hart,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8896992,1,6,Tottenham_Hotspur,Home,27014,45268,Moussa Sissoko,moussa-sissoko,M,True,,,1.0,17.0,5.0,22.0,,1.0,3.0,,,,2.0,,,3.0,3.0,,,2.0,,,,,,,,45.0,,,,,,,8.0,,6.6,,,,,1.0,,,1.0,,23.0,6.0,29.0,0,1.0,40.0,,,1.0,1.0
2020-21,8896992,1,6,Tottenham_Hotspur,Home,44575,55605,Toby Alderweireld,toby-alderweireld,D,False,,,4.0,23.0,45.0,68.0,,3.0,4.0,,,,1.0,,,3.0,4.0,,,2.0,,,,,1.0,1.0,,90.0,,1.0,,,,,12.0,,6.8,,,,1.0,1.0,,,13.0,,32.0,47.0,79.0,0,,87.0,1.0,,1.0,
2020-21,8896992,1,6,Tottenham_Hotspur,Home,94758,115556,Ben Davies,ben-davies,D,False,3.0,,1.0,33.0,16.0,46.0,2.0,1.0,2.0,,,1.0,,,,3.0,4.0,,1.0,1.0,,,,,1.0,2.0,,90.0,,1.0,,,,,17.0,,7.0,,,,2.0,,8.0,,4.0,,45.0,18.0,55.0,1,1.0,87.0,1.0,2.0,,
2020-21,8896992,1,6,Tottenham_Hotspur,Home,105697,80226,Serge Aurier,serge-aurier,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8896992,1,6,Tottenham_Hotspur,Home,108579,78830,Harry Kane,harry-kane,F,False,,,1.0,7.0,2.0,9.0,1.0,2.0,2.0,1.0,,,3.0,,2.0,8.0,3.0,,,1.0,,,,,,2.0,,90.0,1.0,,,,,,11.0,,7.0,,,1.0,1.0,2.0,1.0,,2.0,,15.0,2.0,16.0,2,,27.0,,,1.0,
2020-21,8896992,1,6,Tottenham_Hotspur,Home,111505,85971,Son Heung-min,son-heung-min,F,False,3.0,,,20.0,1.0,18.0,,,,1.0,,1.0,1.0,,2.0,3.0,1.0,,,,,,,,,3.0,,90.0,1.0,,,,,,15.0,,7.1,,,,,,9.0,,,,28.0,2.0,21.0,2,1.0,41.0,4.0,,,1.0
2020-21,8896992,1,6,Tottenham_Hotspur,Home,122702,62974,Erik Lamela,erik-lamela,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8896992,1,6,Tottenham_Hotspur,Home,143047,87835,Matt Doherty,matt-doherty,D,False,,,1.0,24.0,12.0,36.0,1.0,2.0,2.0,,1.0,,1.0,,1.0,5.0,5.0,,,2.0,,,,,,,,76.0,1.0,2.0,,,,,13.0,,6.7,,,,1.0,2.0,1.0,,2.0,,31.0,14.0,44.0,1,1.0,69.0,3.0,,2.0,
