season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2019-20,8243392,1,3,Arsenal,Away,17088,38411,Nacho Monreal,nacho-monreal,D,False,,,1.0,34.0,40.0,74.0,3.0,2.0,7.0,1.0,,,1.0,,,,7.0,3.0,,,1.0,,,,,1.0,1.0,90.0,,,,,,,8.0,,6.8,,,,2.0,2.0,1.0,,1.0,,38.0,41.0,78.0,0,1.0,101.0,,,,1.0
2019-20,8243392,1,3,Arsenal,Away,21300,41270,David Luiz,david-luiz,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243392,1,3,Arsenal,Away,37151,57249,Henrikh Mkhitaryan,henrikh-mkhitaryan,M,False,,,,19.0,14.0,33.0,,2.0,2.0,,1.0,,2.0,,,1.0,8.0,5.0,,,1.0,,,,,,1.0,84.0,,,,,,,23.0,,6.2,,,1.0,,5.0,3.0,,4.0,,32.0,16.0,45.0,1,,67.0,2.0,2.0,1.0,
2019-20,8243392,1,3,Arsenal,Away,50070,59966,Alexandre Lacazette,alexandre-lacazette,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243392,1,3,Arsenal,Away,51498,54694,Pierre-Emerick Aubameyang,pierre-emerick-aubameyang,F,False,,,1.0,15.0,3.0,18.0,5.0,,2.0,,,2.0,,,,3.0,10.0,,,,,,1.0,,,,,90.0,2.0,,,,,,20.0,,7.0,,,,,2.0,3.0,,1.0,3.0,25.0,5.0,27.0,4,,44.0,3.0,,,
2019-20,8243392,1,3,Arsenal,Away,103335,80201,Bernd Leno,bernd-leno,G,False,,2.0,2.0,1.0,17.0,18.0,,,14.0,,,,,,,,,,,,,,,3.0,,,,90.0,,,,,,,5.0,1.0,7.7,1.0,2.0,,3.0,,,2.0,7.0,,5.0,18.0,23.0,0,,45.0,,,,
2019-20,8243392,1,3,Arsenal,Away,117777,84450,Granit Xhaka,granit-xhaka,M,False,,,3.0,36.0,35.0,71.0,2.0,2.0,8.0,,,,2.0,,,,5.0,7.0,,,1.0,,,,,,2.0,90.0,,,,,,,14.0,,7.3,,,2.0,2.0,,,,8.0,,43.0,41.0,84.0,2,3.0,99.0,1.0,2.0,,2.0
2019-20,8243392,1,3,Arsenal,Away,158263,98980,Emiliano Martínez,emiliano-martinez,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243392,1,3,Arsenal,Away,227942,101184,Calum Chambers,calum-chambers,D,False,,,3.0,10.0,43.0,53.0,3.0,,8.0,,,,,,,,3.0,1.0,,,,,,,,,,90.0,,1.0,,,,,9.0,,6.9,,,,3.0,,,,9.0,,15.0,45.0,60.0,0,1.0,68.0,1.0,,,
2019-20,8243392,1,3,Arsenal,Away,352768,154043,Ainsley Maitland-Niles,ainsley-maitland-niles,D,False,,,1.0,20.0,28.0,48.0,1.0,,5.0,1.0,,,2.0,,,2.0,8.0,10.0,,,1.0,1.0,,,,3.0,1.0,90.0,,,,,,,14.0,,7.5,,,,3.0,6.0,,,2.0,,26.0,28.0,54.0,0,4.0,94.0,2.0,2.0,4.0,1.0
