season,matchId,gameweek,team_id,team,venue,playerId,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2016-17,7089871,1,3,Arsenal,Home,34120,Alexis Sánchez,alexis-sanchez,F,False,,,,5.0,7.0,12.0,7.0,1.0,,,,1.0,,,,3.0,10.0,4.0,,,,,,,,,1.0,,90.0,,,,,,,,,11.0,,6.5,,,,,1.0,1.0,,,4.0,10.0,7.0,16.0,1.0,1.0,27.0,3.0,1.0,1.0,1.0
2016-17,7089871,1,14,Liverpool,Away,190399,Divock Origi,divock-origi,F,True,,,,2.0,1.0,3.0,3.0,,,,,,,,,1.0,7.0,2.0,,,1.0,,,,,,1.0,,14.0,,,,,,,,,4.0,,6.5,,,,,4.0,,,,1.0,3.0,1.0,4.0,0.0,,9.0,,,2.0,
2016-17,7089871,1,3,Arsenal,Home,190867,Chuba Akpom,chuba-akpom,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
2016-17,7089872,1,21,West_Ham_United,Away,18998,Andy Carroll,andy-carroll,F,False,,,,8.0,5.0,13.0,9.0,11.0,5.0,,,,1.0,,,2.0,14.0,17.0,,,1.0,,,,,1.0,1.0,,90.0,,1.0,,,,,,,23.0,,7.0,,,,1.0,3.0,,,,,21.0,7.0,28.0,0.0,1.0,47.0,4.0,5.0,1.0,1.0
2016-17,7089872,1,8,Chelsea,Home,21212,Diego Costa,diego-costa,F,False,,,2.0,11.0,5.0,16.0,4.0,2.0,1.0,,,,,,,2.0,11.0,7.0,,,1.0,,1.0,,,,,,90.0,2.0,1.0,,,,,,,17.0,,7.2,,,1.0,1.0,5.0,,,2.0,1.0,16.0,5.0,21.0,3.0,1.0,48.0,5.0,3.0,1.0,
2016-17,7089872,1,21,West_Ham_United,Away,27035,André Ayew,andre-ayew,F,False,,,,2.0,1.0,3.0,3.0,,1.0,,,,1.0,,,,4.0,1.0,,,,,,,,,,,35.0,,,,,,,,,5.0,,6.5,,,,,,,,1.0,,6.0,1.0,7.0,0.0,1.0,9.0,1.0,,,1.0
2016-17,7089872,1,8,Chelsea,Home,27583,Eden Hazard,eden-hazard,F,False,1.0,,4.0,36.0,10.0,45.0,2.0,,3.0,,,,,,,4.0,8.0,10.0,,,,,1.0,,,,1.0,,85.0,1.0,,,,,,,,21.0,,7.6,,,2.0,,11.0,2.0,,4.0,,47.0,10.0,55.0,3.0,,82.0,3.0,1.0,9.0,
2016-17,7089872,1,8,Chelsea,Home,31585,Victor Moses,victor-moses,F,True,,,,2.0,,2.0,,,1.0,,,,,,,,2.0,,,,,,,,,,,,5.0,,,,,,,,,7.0,,,,,,,2.0,3.0,,,,7.0,,4.0,0.0,,9.0,,,,
2016-17,7089872,1,8,Chelsea,Home,35428,Pedro,pedro,F,True,,,,4.0,,4.0,,1.0,,,,,,,,,1.0,3.0,,,1.0,,,,,,,,10.0,,,,,,,,,3.0,,6.8,,,1.0,,,1.0,,,,6.0,,5.0,1.0,2.0,10.0,1.0,,,
2016-17,7089872,1,21,West_Ham_United,Away,47772,Michail Antonio,michail-antonio,F,False,,,,7.0,9.0,16.0,,1.0,6.0,,,,2.0,,,,4.0,8.0,1.0,,2.0,,,,,2.0,,,52.0,,,,1.0,,,,,8.0,,5.9,,,,1.0,2.0,,,4.0,,11.0,10.0,21.0,0.0,5.0,36.0,1.0,,2.0,3.0
