season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2016-17,7089874,1,31,Crystal_Palace,Home,631,11554,Julián Speroni,julian-speroni,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7089874,1,31,Crystal_Palace,Home,3574,27341,Yohan Cabaye,yohan-cabaye,M,True,1.0,,1.0,6.0,2.0,7.0,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,13.0,,,,,,,1.0,,6.9,,,,,,1.0,,1.0,,7.0,2.0,8.0,0,1.0,11.0,,,,1.0
2016-17,7089874,1,31,Crystal_Palace,Home,9921,18805,Joe Ledley,joe-ledley,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7089874,1,31,Crystal_Palace,Home,10038,7906,Damien Delaney,damien-delaney,D,False,,,5.0,8.0,17.0,25.0,,1.0,5.0,,,,,,,1.0,1.0,2.0,,,,,,,,1.0,,,90.0,,,,,,,14.0,,6.5,,,,5.0,,,,16.0,,18.0,20.0,38.0,0,1.0,47.0,,,,1.0
2016-17,7089874,1,31,Crystal_Palace,Home,16620,20066,Wayne Hennessey,wayne-hennessey,G,False,,1.0,7.0,6.0,2.0,8.0,,1.0,6.0,,,,,,,,,1.0,,,,,,2.0,,,,,90.0,,,,,,,18.0,1.0,6.8,1.0,2.0,,1.0,,,1.0,25.0,,21.0,5.0,26.0,0,,36.0,,1.0,,
2016-17,7089874,1,31,Crystal_Palace,Home,19593,19197,Jason Puncheon,jason-puncheon,M,False,1.0,,1.0,26.0,18.0,43.0,,2.0,9.0,,,,,,,,,5.0,,,,,,,,3.0,1.0,,77.0,1.0,,,,,,13.0,,7.5,,,,,1.0,4.0,,3.0,,38.0,19.0,53.0,1,2.0,67.0,,,1.0,2.0
2016-17,7089874,1,31,Crystal_Palace,Home,20278,19188,Scott Dann,scott-dann,D,False,,,5.0,11.0,15.0,26.0,,7.0,5.0,,,,,,,,1.0,7.0,,,1.0,,,,,3.0,,,90.0,,1.0,,,,,10.0,,7.2,,,1.0,6.0,,,,9.0,,16.0,20.0,36.0,1,,49.0,,1.0,,
2016-17,7089874,1,31,Crystal_Palace,Home,24685,59115,Mile Jedinak,mile-jedinak,D,False,1.0,,3.0,26.0,23.0,48.0,3.0,5.0,4.0,,,,,,,,6.0,13.0,,,4.0,,,,,1.0,2.0,,90.0,,,,,,,20.0,,7.4,,,,,,1.0,,9.0,,43.0,26.0,68.0,0,6.0,81.0,,2.0,,2.0
2016-17,7089874,1,31,Crystal_Palace,Home,38639,75773,Chung-yong Lee,chung-yong-lee,M,False,1.0,,3.0,18.0,8.0,25.0,6.0,,3.0,1.0,,,,,,,8.0,5.0,,,1.0,,,,,,3.0,,66.0,,,,,,,7.0,,7.3,,,,1.0,2.0,1.0,,3.0,,21.0,11.0,31.0,0,2.0,40.0,,2.0,1.0,2.0
2016-17,7089874,1,31,Crystal_Palace,Home,39183,55494,Joel Ward,joel-ward,D,False,,,,19.0,9.0,28.0,3.0,2.0,7.0,,,,,,,2.0,8.0,4.0,,,1.0,,,,,1.0,,,90.0,,,,,,,15.0,,6.2,,,1.0,2.0,2.0,1.0,,4.0,,26.0,11.0,36.0,1,,59.0,2.0,2.0,,
