playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,penaltiesSaved,expectedAssists,totalRedCards,catches,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,awayGoals,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,savesFromPenalty,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,homeGoals,goalkeeperSmother,forwardPasses,recoveries,appearances,crossesNotClaimed,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,successfulDribbles,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,successfulLongPasses,touches,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,substituteOn,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,unsuccessfulCrossesOpenPlay,goals,offsides,oboxBlocked,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,totalTouchesInOppositionBox,throwInsToOppositionPlayer,keyPassesAttemptAssists,shotsBlockedInBox,putthroughBlockedDistributionWon,tacklesLost,leftFootGoals,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,shotsOffTargetIncWoodwork,cornersWon,tacklesWon,blocks,totalFoulsConceded,interceptions,backwardPasses,throwInsToOwnPlayer,shotsBlockedOutsideBox,foulAttemptedTackle,expectedGoals,goalAssists,shotsOnTargetOutsideBox,unsuccessfulLayoffs,penaltiesConceded,oboxTarget,throughBalls,rightFootGoals,clearancesOffTheLine,hitWoodwork,successfulLayoffs,expectedGoalsFreekick,headedGoals,freekickTotal,attemptsFromSetPieces,cornersTakenInclShortCorners,successfulCornersIntoBox,unsuccessfulCornersIntoBox,handballsConceded,secondGoalAssists,redCards2ndYellow,foulWonPenalty,setPiecesGoals,penaltiesTaken,penaltyGoals,ownGoalScored,drops,otherGoals,goalKicks,overruns,lastPlayerTackle
98745,Héctor Bellerín,Defender,Real Betis,185,Spain,2019-20,74.0,,0.8274,0.0,,,92.0,15.0,13.0,102.0,570.0,1.0,,29.0,3.0,,1159.0,16.0,54.0,1.0,46.0,41.0,454.0,,,2.0,20.683,5.0,24.0,18.0,58.0,29.0,,3.0,0.0,128.0,0.0,,205.0,54.0,15.0,,239.0,17.0,99.0,13.0,0.0,,556.0,181.0,18.0,,,225.0,14.0,892.0,3.0,9.0,231.0,,2.0,10.0,49.0,2.0,2.0,2.0,2.0,0.6672,20.0,5.0,25.0,1.0,1.0,1.0,2.0,1.0,1.0,26.0,7.0,3.0,1.0,16.0,7.0,1.0,13.0,25.0,25.0,1.0,3.0,13.0,13.0,4.0,15.0,19.0,111.0,105.0,1.0,10.0,0.3588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192895,Kieran Tierney,Defender,Arsenal,3,Scotland,2019-20,35.0,,0.4567,0.0,,,65.0,15.0,12.0,95.0,441.0,0.0,,24.0,1.0,,992.0,15.0,53.0,,17.0,44.0,328.0,,,3.0,17.7907,5.0,30.0,16.0,20.0,149.0,,12.0,0.0,88.0,1.0,,153.0,60.0,15.0,,171.0,16.0,64.0,9.0,0.0,,434.0,169.0,12.0,,,23.0,18.0,711.0,6.0,23.0,183.0,,2.0,30.0,37.0,3.0,8.0,1.0,2.0,0.7409,20.0,5.0,36.0,1.0,,,8.0,,,15.0,11.0,5.0,1.0,6.0,4.0,1.0,3.0,36.0,8.0,1.0,3.0,7.0,16.0,4.0,8.0,9.0,116.0,72.0,,5.0,0.2448,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
39476,Sokratis Papastathopoulos,Defender,Real Betis,185,Greece,2019-20,62.0,,0.1678,0.0,,,50.0,19.0,19.0,124.0,1029.0,0.0,,87.0,4.0,,1697.0,28.0,100.0,2.0,11.0,41.0,835.0,,,4.0,25.6436,9.0,67.0,25.0,34.0,258.0,,12.0,0.0,162.0,2.0,,371.0,71.0,19.0,,193.0,23.0,75.0,59.0,0.0,,995.0,139.0,5.0,,,336.0,70.0,1245.0,1.0,46.0,712.0,,6.0,74.0,54.0,,,2.0,2.0,1.0838,25.0,5.0,1.0,2.0,1.0,,,,,13.0,1.0,2.0,2.0,6.0,9.0,,,1.0,5.0,2.0,3.0,2.0,16.0,24.0,19.0,17.0,64.0,9.0,,7.0,1.0651,,,,,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
156074,Rob Holding,Defender,Crystal Palace,31,England,2019-20,24.0,,0.0653,0.0,,,25.0,8.0,6.0,45.0,351.0,0.0,,30.0,1.0,,581.0,14.0,25.0,1.0,5.0,9.0,286.0,,,1.0,8.9837,,43.0,9.0,10.0,91.0,,3.0,0.0,49.0,0.0,,106.0,22.0,8.0,,77.0,8.0,19.0,16.0,0.0,,343.0,55.0,2.0,,,134.0,20.0,449.0,1.0,6.0,229.0,,1.0,20.0,23.0,2.0,,,,,4.0,2.0,,,,,,,,6.0,,,,4.0,2.0,,2.0,,4.0,,2.0,,2.0,6.0,4.0,5.0,20.0,1.0,,2.0,0.2197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58822,Cédric Soares,Defender,Arsenal,3,Portugal,2019-20,73.0,,0.0725,0.0,,,93.0,21.0,19.0,174.0,593.0,0.0,,49.0,3.0,,1559.0,29.0,83.0,1.0,37.0,63.0,390.0,,,1.0,2.3644,10.0,45.0,20.0,44.0,46.0,,4.0,0.0,156.0,1.0,,258.0,69.0,21.0,,237.0,19.0,107.0,20.0,0.0,,582.0,295.0,6.0,,,182.0,29.0,1128.0,7.0,53.0,197.0,,1.0,81.0,53.0,2.0,15.0,3.0,5.0,0.3207,53.0,7.0,57.0,1.0,,,15.0,,,19.0,28.0,11.0,,17.0,21.0,1.0,,57.0,10.0,,2.0,4.0,32.0,4.0,16.0,22.0,107.0,175.0,,10.0,0.02,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
69140,Shkodran Mustafi,Defender,Levante,855,Germany,2019-20,42.0,,0.0982,0.0,,,97.0,15.0,13.0,153.0,844.0,0.0,,86.0,4.0,,1205.0,21.0,88.0,1.0,15.0,23.0,643.0,,,2.0,20.0803,4.0,70.0,17.0,21.0,140.0,,3.0,0.0,130.0,0.0,,330.0,42.0,15.0,,196.0,16.0,44.0,65.0,0.0,,823.0,160.0,3.0,,,323.0,48.0,1002.0,1.0,22.0,496.0,,2.0,56.0,64.0,2.0,1.0,2.0,4.0,0.7462,17.0,9.0,1.0,,,,1.0,4.0,4.0,15.0,,2.0,2.0,4.0,7.0,,,1.0,1.0,2.0,5.0,,10.0,6.0,14.0,18.0,51.0,1.0,,7.0,0.8744,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101184,Calum Chambers,Defender,Cardiff City,97,England,2019-20,68.0,,0.8698,0.0,,,87.0,14.0,13.0,140.0,796.0,0.0,,68.0,3.0,,1103.0,30.0,78.0,4.0,22.0,40.0,621.0,,,1.0,12.9561,4.0,41.0,15.0,38.0,124.0,,4.0,0.0,146.0,1.0,,293.0,69.0,14.0,,209.0,11.0,78.0,38.0,0.0,,784.0,215.0,11.0,,,284.0,35.0,1099.0,2.0,25.0,451.0,,5.0,53.0,49.0,1.0,4.0,4.0,2.0,0.7584,26.0,8.0,30.0,1.0,,1.0,4.0,1.0,1.0,29.0,11.0,6.0,3.0,6.0,16.0,,6.0,30.0,16.0,3.0,6.0,12.0,10.0,7.0,18.0,16.0,95.0,72.0,1.0,8.0,0.7956,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
92371,Pablo Marí,Defender,Fiorentina,125,Spain,2019-20,4.0,,0.0091,0.0,,,6.0,2.0,2.0,15.0,100.0,0.0,,7.0,1.0,,114.0,3.0,6.0,,,2.0,77.0,,,,1.2834,1.0,9.0,,1.0,44.0,,,0.0,10.0,0.0,,37.0,9.0,2.0,,22.0,,3.0,4.0,0.0,,99.0,15.0,,,,15.0,8.0,114.0,1.0,5.0,63.0,,0.0,9.0,9.0,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,2.0,1.0,4.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41270,David Luiz,Defender,Pafos,11097,Brazil,2019-20,90.0,,1.2264,2.0,,,101.0,33.0,32.0,268.0,1799.0,0.0,,94.0,8.0,,2811.0,42.0,98.0,3.0,12.0,46.0,1370.0,,,5.0,42.9552,9.0,126.0,38.0,48.0,692.0,,14.0,1.0,188.0,2.0,,587.0,128.0,33.0,,386.0,35.0,94.0,52.0,2.0,,1692.0,303.0,5.0,,,443.0,161.0,2141.0,1.0,39.0,1148.0,,5.0,167.0,88.0,1.0,3.0,4.0,8.0,2.6845,28.0,19.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,18.0,,3.0,3.0,5.0,12.0,,3.0,2.0,8.0,3.0,11.0,5.0,16.0,37.0,30.0,32.0,77.0,3.0,1.0,15.0,1.6376,1.0,5.0,,5.0,5.0,12.0,1.0,,,1.0,0.3562,1.0,7.0,7.0,,,,,,,,,,,,,,,,
111457,Sead Kolasinac,Defender,Atalanta,456,Bosnia & Herzegovina,2019-20,66.0,,1.1883,0.0,,,105.0,26.0,19.0,130.0,900.0,0.0,,47.0,3.0,,1699.0,19.0,88.0,4.0,25.0,60.0,749.0,,,2.0,26.3775,6.0,33.0,26.0,47.0,309.0,,16.0,0.0,154.0,0.0,,325.0,103.0,26.0,,358.0,22.0,107.0,28.0,0.0,,896.0,202.0,16.0,,,71.0,21.0,1250.0,5.0,14.0,418.0,,4.0,25.0,46.0,7.0,6.0,1.0,,,29.0,3.0,23.0,,5.0,1.0,6.0,,,32.0,8.0,8.0,,10.0,13.0,,5.0,23.0,16.0,,3.0,8.0,16.0,4.0,20.0,25.0,195.0,101.0,1.0,10.0,0.4088,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
