playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,totalRedCards,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,successfulLayoffs,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,substituteOn,cornersTakenInclShortCorners,timePlayed,duelsWon,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,expectedGoalsOnTargetConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,attemptsFromSetPieces,leftsidePasses,totalFoulsConceded,unsuccessfulCornersIntoBox,backwardPasses,touches,throwInsToOwnPlayer,successfulPassesOwnHalf,foulAttemptedTackle,yellowCards,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,goalAssists,starts,oboxBlocked,aerialDuels,cleanSheets,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,aerialDuelsLost,throwInsToOppositionPlayer,penaltyGoalsConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,goalsConcededInsideBox,iboxBlocked,aerialDuelsWon,blocks,interceptions,successfulLongPasses,hitWoodwork,shotsBlockedOutsideBox,unsuccessfulLaunches,expectedGoals,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,setPiecesGoals,goals,awayGoals,goalsConcededOutsideBox,successfulCornersIntoBox,rightFootGoals,leftFootGoals,freekickTotal,secondGoalAssists,expectedGoalsFreekick,shotsOnTargetOutsideBox,unsuccessfulLayoffs,homeGoals,oboxTarget,substituteOff,offsides,foulWonPenalty,handballsConceded,clearancesOffTheLine,headedGoals,ownGoalScored,penaltiesTaken,lastPlayerTackle,penaltyGoals,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,penaltiesConceded
106450,Alex Pritchard,Midfielder,Spurs,6,England,2015-16,7.0,0.0042,0.0,4.0,2.0,1.0,4.0,3.0,2.0,4.0,1.0,25.0,3.0,2.0,67.0,7.0,1.0,7.0,21.0,1.0,0.067,7.0,5.0,1.0,0.0,14.0,1.0,6.0,9.0,3.0,1.0,2.0,14.0,3.0,4.0,14.0,0.0,25.0,2.0,1.0,11.0,3.0,2.0,1.0,7.0,2.0,2.0,7.0,45.0,2.0,7.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80607,Christian Eriksen,Midfielder,Spurs,6,Denmark,2015-16,165.0,6.1505,0.0,47.0,77.0,12.0,295.0,35.0,100.0,347.0,49.0,1841.0,2.0,126.0,2849.0,116.0,90.0,99.0,1417.0,93.0,29.8379,134.0,523.0,17.0,1.0,281.0,54.0,580.0,191.0,35.0,6.0,31.0,1182.0,141.0,95.0,233.0,0.0,1761.0,35.0,39.0,669.0,41.0,35.0,24.0,388.0,13.0,75.0,350.0,2582.0,37.0,354.0,10.0,2.0,15.0,23.0,42.0,15.0,8.9152,13.0,33.0,20.0,48.0,5.0,42.0,13.0,13.0,31.0,2.0,2.0,102.0,6.0,25.0,32.0,3.0,30.0,3.0,17.0,,34.0,77.0,4.0,20.0,21.0,5.7513,52.0,67.0,2.0,6.0,3.0,2.0,27.0,5.0,1.0,24.0,1.0,1.6377,23.0,4.0,3.0,23.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,
108823,Dele Alli,Midfielder,Spurs,6,England,2015-16,272.0,3.9462,0.0,71.0,47.0,18.0,214.0,33.0,59.0,261.0,15.0,1083.0,5.0,3.0,2391.0,203.0,79.0,166.0,796.0,111.0,21.7863,228.0,282.0,66.0,4.0,475.0,41.0,378.0,175.0,33.0,18.0,62.0,581.0,15.0,146.0,394.0,0.0,1055.0,19.0,24.0,526.0,53.0,30.0,,209.0,50.0,,214.0,1765.0,5.0,245.0,25.0,7.0,4.0,27.0,28.0,12.0,7.2936,9.0,28.0,17.0,81.0,2.0,4.0,7.0,7.0,44.0,1.0,,46.0,2.0,32.0,21.0,10.0,20.0,10.0,37.0,5.0,61.0,26.0,3.0,17.0,27.0,7.4418,47.0,42.0,,10.0,8.0,1.0,,9.0,,,1.0,,11.0,1.0,2.0,11.0,17.0,6.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,
157668,Harry Winks,Midfielder,Spurs,6,England,2015-16,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168765,Josh Onomah,Midfielder,Spurs,6,England,2015-16,4.0,0.0701,0.0,4.0,3.0,,11.0,8.0,1.0,12.0,4.0,44.0,8.0,,78.0,5.0,1.0,5.0,32.0,7.0,4.8665,3.0,9.0,,0.0,9.0,1.0,14.0,3.0,8.0,,1.0,28.0,4.0,3.0,8.0,0.0,44.0,1.0,1.0,22.0,4.0,1.0,,15.0,1.0,,6.0,65.0,,4.0,,0.0,,,2.0,2.0,0.2275,,,,1.0,,,1.0,1.0,1.0,,1.0,1.0,,,4.0,,4.0,,,,1.0,,,,1.0,0.1485,1.0,1.0,,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
39104,Mousa Dembélé,Midfielder,Spurs,6,Belgium,2015-16,156.0,0.8635,0.0,104.0,16.0,3.0,122.0,29.0,37.0,138.0,3.0,1378.0,2.0,,2205.0,249.0,37.0,218.0,1200.0,24.0,19.6051,128.0,360.0,32.0,2.0,405.0,22.0,338.0,223.0,29.0,20.0,7.0,717.0,3.0,70.0,346.0,0.0,1357.0,7.0,9.0,242.0,84.0,83.0,,464.0,48.0,,216.0,1879.0,1.0,524.0,23.0,3.0,1.0,6.0,9.0,5.0,2.1374,1.0,27.0,5.0,59.0,8.0,1.0,,,28.0,,1.0,27.0,,33.0,18.0,1.0,18.0,1.0,31.0,8.0,56.0,40.0,,5.0,13.0,1.1494,16.0,42.0,,3.0,1.0,,,,3.0,,,,6.0,1.0,2.0,6.0,10.0,2.0,,3.0,,,,,,,,,,,,,,,,,,,,,
126407,Nabil Bentaleb,Midfielder,Spurs,6,Algeria,2015-16,8.0,0.0415,0.0,2.0,3.0,,14.0,5.0,6.0,20.0,,97.0,3.0,,168.0,8.0,3.0,3.0,75.0,1.0,2.6427,6.0,35.0,,0.0,16.0,1.0,29.0,10.0,5.0,1.0,1.0,32.0,,2.0,9.0,0.0,96.0,1.0,1.0,24.0,1.0,1.0,,17.0,3.0,,16.0,114.0,,45.0,1.0,1.0,,,2.0,,0.7523,,2.0,,7.0,1.0,,,,2.0,,1.0,2.0,,1.0,3.0,,3.0,,5.0,2.0,2.0,2.0,,,,0.1273,6.0,3.0,,,,,,,,,,,2.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
54908,Nacer Chadli,Midfielder,Spurs,6,Belgium,2015-16,77.0,1.8218,0.0,11.0,19.0,1.0,57.0,29.0,26.0,66.0,11.0,378.0,19.0,,938.0,41.0,18.0,25.0,299.0,56.0,14.7988,53.0,100.0,7.0,0.0,118.0,10.0,87.0,56.0,29.0,3.0,10.0,213.0,11.0,30.0,78.0,0.0,375.0,12.0,11.0,137.0,8.0,7.0,,91.0,16.0,,100.0,553.0,3.0,103.0,4.0,1.0,4.0,6.0,7.0,5.0,1.7515,2.0,10.0,1.0,40.0,2.0,4.0,2.0,2.0,24.0,,2.0,22.0,2.0,16.0,11.0,5.0,11.0,5.0,16.0,3.0,8.0,13.0,,1.0,4.0,2.1292,9.0,10.0,,3.0,1.0,,,2.0,1.0,,,,2.0,1.0,2.0,2.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
58791,Ryan Mason,Midfielder,Spurs,6,England,2015-16,44.0,0.5611,0.0,25.0,15.0,1.0,51.0,22.0,16.0,72.0,8.0,526.0,14.0,4.0,798.0,53.0,15.0,42.0,418.0,21.0,7.8663,37.0,186.0,11.0,1.0,97.0,9.0,166.0,43.0,22.0,7.0,4.0,280.0,10.0,13.0,79.0,0.0,514.0,6.0,5.0,110.0,18.0,6.0,,118.0,9.0,2.0,56.0,670.0,1.0,177.0,7.0,3.0,2.0,5.0,9.0,,3.7761,,8.0,2.0,18.0,,3.0,7.0,7.0,7.0,1.0,,10.0,1.0,9.0,10.0,3.0,8.0,3.0,11.0,3.0,9.0,36.0,1.0,2.0,5.0,2.6998,21.0,15.0,,1.0,1.0,2.0,1.0,1.0,,,,,1.0,,0.0,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,
93464,Tom Carroll,Midfielder,Spurs,6,England,2015-16,36.0,0.2915,0.0,15.0,5.0,,37.0,19.0,12.0,53.0,7.0,338.0,15.0,2.0,506.0,23.0,12.0,20.0,264.0,6.0,9.4946,28.0,80.0,3.0,0.0,59.0,10.0,124.0,30.0,19.0,7.0,3.0,201.0,9.0,11.0,48.0,0.0,328.0,2.0,2.0,87.0,8.0,2.0,,85.0,8.0,2.0,49.0,440.0,1.0,87.0,4.0,3.0,3.0,,3.0,1.0,0.8699,,4.0,,11.0,,3.0,1.0,1.0,8.0,,1.0,9.0,1.0,4.0,7.0,,7.0,,3.0,1.0,14.0,21.0,,,4.0,0.2132,16.0,10.0,,1.0,0.0,,,,1.0,,,,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
