season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2016-17,7089879,1,57,Watford,Away,642,16045.0,Ben Watson,ben-watson,M,True,,,,1.0,2.0,3.0,,,1.0,,,,,,,,1.0,1.0,,,2.0,,,,,2.0,,12.0,,,,,,,,1.0,,5.8,,,,,,,,,,1.0,3.0,4.0,0,1.0,7.0,,,,1.0
2016-17,7089879,1,57,Watford,Away,2490,18656.0,Heurelho Gomes,heurelho-gomes,G,False,,,14.0,12.0,5.0,17.0,,1.0,18.0,,,,,,,,,1.0,,,,,,3.0,,,,90.0,,,,,,,,24.0,4.0,8.1,1.0,6.0,,4.0,,,,38.0,,33.0,8.0,41.0,0,,59.0,,,,
2016-17,7089879,1,57,Watford,Away,11654,21123.0,Valon Behrami,valon-behrami,M,False,,,,8.0,1.0,9.0,,,2.0,,,,2.0,,,,3.0,6.0,,,1.0,,,,,3.0,,64.0,,,,,,,,3.0,,7.1,,,,1.0,,,,,,8.0,3.0,11.0,0,6.0,24.0,1.0,,,4.0
2016-17,7089879,1,57,Watford,Away,15038,41945.0,Sebastian Prödl,sebastian-prodl,D,False,,,3.0,5.0,13.0,18.0,,,4.0,,,,3.0,,,,3.0,4.0,,,,,,,,1.0,,90.0,,2.0,,,,,,9.0,,6.9,,,,9.0,,,,7.0,,12.0,15.0,27.0,0,3.0,45.0,,1.0,,2.0
2016-17,7089879,1,57,Watford,Away,16701,38439.0,Étienne Capoue,etienne-capoue,M,False,1.0,,3.0,23.0,5.0,27.0,,1.0,7.0,,,,2.0,,,2.0,6.0,11.0,,,2.0,,1.0,,,3.0,1.0,90.0,1.0,,,,,,,9.0,,8.1,,,1.0,1.0,3.0,1.0,,5.0,,30.0,5.0,34.0,2,6.0,57.0,,1.0,3.0,3.0
2016-17,7089879,1,57,Watford,Away,16779,40868.0,José Holebas,jose-holebas,D,False,,,1.0,14.0,8.0,22.0,,1.0,7.0,,,,,,,3.0,3.0,3.0,,,,,,,,1.0,1.0,90.0,,2.0,,,,,,20.0,,7.0,,,1.0,3.0,1.0,5.0,,1.0,,22.0,10.0,27.0,1,,56.0,1.0,1.0,1.0,
2016-17,7089879,1,57,Watford,Away,20364,19342.0,Ikechi Anya,ikechi-anya,M,True,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,3.0,,6.4,,,,,,,,2.0,,1.0,2.0,3.0,0,,3.0,,,,
2016-17,7089879,1,57,Watford,Away,22109,41725.0,Troy Deeney,troy-deeney,F,False,,,,10.0,7.0,17.0,5.0,6.0,2.0,,,,,,,,5.0,8.0,,,,1.0,,,,,1.0,90.0,,,,,,,,13.0,,7.1,,,,2.0,,,,1.0,,20.0,8.0,28.0,0,1.0,37.0,2.0,1.0,,
2016-17,7089879,1,57,Watford,Away,22200,41338.0,Craig Cathcart,craig-cathcart,D,False,,,1.0,2.0,16.0,18.0,1.0,2.0,6.0,,,,,,,,1.0,3.0,,,,,,,,1.0,,90.0,,1.0,,,,,,7.0,,6.9,,,,5.0,,,,5.0,,6.0,19.0,25.0,0,1.0,35.0,,,,1.0
2016-17,7089879,1,57,Watford,Away,26136,,Camilo Zúñiga,camilo-zuniga,M,True,,,,2.0,1.0,3.0,,,3.0,,,,,,,1.0,1.0,3.0,,,,,,,,,,17.0,,,,,,,,6.0,,6.6,,,,,,,,2.0,,5.0,3.0,8.0,0,2.0,14.0,,1.0,,1.0
