season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2018-19,7827869,1,20,Southampton,Home,20756,40146,Ryan Bertrand,ryan-bertrand,D,False,2.0,,,20.0,4.0,22.0,2.0,1.0,4.0,,,1.0,,,,,2.0,5.0,,,,,,,,,2.0,,90.0,,,,,,,,,9.0,,7.1,,,,2.0,,3.0,,3.0,,25.0,7.0,29.0,1,3.0,50.0,,1.0,,1.0
2018-19,7827869,1,20,Southampton,Home,44760,58822,Cédric Soares,cedric-soares,M,False,,,1.0,6.0,3.0,9.0,3.0,2.0,1.0,,,,,,,,3.0,3.0,,,,,,,,,,,56.0,,,,,,,,,3.0,,6.6,,,,2.0,,1.0,,1.0,,8.0,4.0,11.0,0,1.0,22.0,,,,
2018-19,7827869,1,20,Southampton,Home,45502,58376,Alex McCarthy,alex-mccarthy,G,False,,,9.0,7.0,2.0,9.0,,2.0,9.0,,,,,,,,,2.0,,,,,,,,,,,90.0,,,,,,,,,12.0,2.0,8.5,5.0,6.0,,2.0,,,,20.0,,17.0,4.0,21.0,0,,31.0,,,,
2018-19,7827869,1,20,Southampton,Home,53816,61548,Manolo Gabbiadini,manolo-gabbiadini,F,True,,,,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,2.0,1.0,,,,,,,,,,,18.0,,,,,,,,,4.0,,6.5,,,,,,,,,,4.0,1.0,5.0,0,,6.0,,,,
2018-19,7827869,1,20,Southampton,Home,69416,78056,Oriol Romeu,oriol-romeu,M,False,,,2.0,26.0,16.0,42.0,1.0,1.0,5.0,,,1.0,,,,,1.0,4.0,,,,,,,,,,,90.0,,1.0,,,,,,,9.0,,6.9,,,,2.0,,,,3.0,,32.0,17.0,49.0,1,3.0,59.0,2.0,,,1.0
2018-19,7827869,1,20,Southampton,Home,97905,78356,Charlie Austin,charlie-austin,F,False,,,1.0,4.0,3.0,7.0,5.0,2.0,2.0,,,1.0,,,,1.0,8.0,6.0,,,2.0,,,,,,2.0,,72.0,,,,,,,,,5.0,,6.8,,,,,,,,2.0,,7.0,3.0,10.0,1,2.0,18.0,1.0,2.0,,1.0
2018-19,7827869,1,20,Southampton,Home,115346,83283,Nathan Redmond,nathan-redmond,M,False,,,4.0,21.0,7.0,28.0,1.0,,5.0,,,3.0,,,,1.0,5.0,5.0,,,,,,,,,1.0,,90.0,,,,,,,,,16.0,,6.8,,,,,8.0,4.0,,6.0,,29.0,7.0,32.0,3,,56.0,3.0,,5.0,
2018-19,7827869,1,20,Southampton,Home,117083,91047,Stuart Armstrong,stuart-armstrong,M,False,2.0,,1.0,8.0,3.0,9.0,1.0,,2.0,,,,1.0,,,,2.0,1.0,,,,,,,,,2.0,,56.0,,,,,,,,,7.0,,6.8,,,,,,2.0,,2.0,1.0,11.0,4.0,13.0,0,,22.0,3.0,1.0,,
2018-19,7827869,1,20,Southampton,Home,119151,96787,Mohamed Elyounoussi,mohamed-elyounoussi,M,True,4.0,,,15.0,,11.0,1.0,1.0,2.0,,,2.0,,,,1.0,4.0,2.0,,,1.0,,,,,,4.0,,34.0,,,,,,,,,9.0,,7.1,,,,1.0,1.0,7.0,,,,21.0,,14.0,2,,30.0,1.0,1.0,,
2018-19,7827869,1,20,Southampton,Home,120538,93100,Jannik Vestergaard,jannik-vestergaard,D,False,,,1.0,7.0,12.0,19.0,5.0,6.0,4.0,,,,,,,,7.0,8.0,,,2.0,,,,,1.0,1.0,,90.0,,2.0,,,,,,,11.0,,7.3,,,1.0,12.0,,,,6.0,,13.0,17.0,30.0,1,1.0,51.0,,1.0,,
2018-19,7827869,1,20,Southampton,Home,130181,84939,Danny Ings,danny-ings,F,True,,,1.0,11.0,3.0,14.0,1.0,3.0,1.0,1.0,,,,,,,2.0,6.0,,,1.0,,,,,,4.0,,34.0,,,,,,,,,9.0,,7.5,,,3.0,,2.0,1.0,,1.0,1.0,15.0,4.0,18.0,3,1.0,29.0,4.0,,2.0,1.0
2018-19,7827869,1,20,Southampton,Home,134361,88900,Jack Stephens,jack-stephens,D,False,,,2.0,22.0,17.0,39.0,4.0,5.0,9.0,,1.0,,1.0,,,,5.0,8.0,,,,,,,,2.0,1.0,,90.0,1.0,1.0,,,,,,,15.0,,7.6,,,,5.0,,1.0,,5.0,,28.0,24.0,51.0,1,2.0,76.0,,1.0,,1.0
2018-19,7827869,1,20,Southampton,Home,149593,132015,Pierre-Emile Højbjerg,pierre-emile-hjbjerg,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2018-19,7827869,1,20,Southampton,Home,161717,101178,James Ward-Prowse,james-ward-prowse,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2018-19,7827869,1,20,Southampton,Home,227946,107265,Angus Gunn,angus-gunn,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2018-19,7827869,1,20,Southampton,Home,286085,171771,Jan Bednarek,jan-bednarek,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2018-19,7827869,1,20,Southampton,Home,307284,151086,Mario Lemina,mario-lemina,M,False,,,2.0,32.0,8.0,40.0,,,2.0,,,1.0,1.0,,,,7.0,3.0,,,4.0,,,,,1.0,,,90.0,2.0,,,,,,,,11.0,,6.9,,,1.0,,3.0,1.0,,4.0,,37.0,10.0,46.0,4,1.0,59.0,1.0,1.0,1.0,1.0
