season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2021-22,9576403,1,13,Leicester_City,Home,1076,17745,Kasper Schmeichel,kasper-schmeichel,G,False,,1.0,5.0,3.0,23.0,26.0,,,10.0,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,6.0,,7.5,2.0,3.0,,1.0,,,1.0,11.0,,6.0,26.0,32.0,0,,43.0,,,,
2021-22,9576403,1,13,Leicester_City,Home,47737,51938,Marc Albrighton,marc-albrighton,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576403,1,13,Leicester_City,Home,120538,93100,Jannik Vestergaard,jannik-vestergaard,D,True,,,,2.0,13.0,15.0,1.0,1.0,,,,,1.0,,,2.0,1.0,,,,,,,,,,,,28.0,,,,,,,,,,6.5,,,,1.0,,,,,,2.0,13.0,15.0,0,,18.0,,,,
2021-22,9576403,1,13,Leicester_City,Home,135647,106837,Dennis Praet,dennis-praet,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576403,1,13,Leicester_City,Home,173827,101668,Jamie Vardy,jamie-vardy,F,False,,,,8.0,1.0,9.0,2.0,,1.0,,,,1.0,,1.0,6.0,2.0,,,1.0,,1.0,,,,,2.0,,90.0,3.0,,,,,,,8.0,,7.9,,,3.0,,2.0,1.0,,1.0,4.0,12.0,1.0,12.0,6,,27.0,2.0,1.0,1.0,
2021-22,9576403,1,13,Leicester_City,Home,197428,95463,Danny Ward,danny-ward,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576403,1,13,Leicester_City,Home,221200,111931,Ricardo Pereira,ricardo-pereira,D,False,1.0,,1.0,21.0,20.0,40.0,2.0,,1.0,,,,2.0,,,5.0,4.0,,,,1.0,,,,,2.0,1.0,,90.0,,1.0,,,,,,20.0,,7.3,,,,1.0,3.0,1.0,,4.0,,31.0,26.0,56.0,0,1.0,83.0,1.0,1.0,2.0,
2021-22,9576403,1,13,Leicester_City,Home,308526,155569,Daniel Amartey,daniel-amartey,M,False,,,3.0,16.0,57.0,73.0,1.0,2.0,9.0,,,,,,,1.0,4.0,,2.0,,,,,,,1.0,,,90.0,,1.0,,,,,,7.0,,7.1,,,,2.0,,,,5.0,,21.0,58.0,79.0,0,2.0,89.0,,,,1.0
2021-22,9576403,1,13,Leicester_City,Home,331737,166989,Youri Tielemans,youri-tielemans,M,False,,,2.0,33.0,37.0,70.0,,,6.0,,,,2.0,,1.0,4.0,7.0,,,1.0,,,,,,,1.0,,90.0,1.0,2.0,,,,,,14.0,,7.7,,,,2.0,,1.0,,2.0,,40.0,40.0,79.0,1,5.0,98.0,1.0,2.0,,5.0
2021-22,9576403,1,13,Leicester_City,Home,345195,168580,Ayoze Pérez,ayoze-perez,F,False,,,1.0,13.0,7.0,20.0,1.0,1.0,2.0,,,,2.0,,,5.0,2.0,,,1.0,,,,,,1.0,3.0,,62.0,,,,,,,,6.0,,6.6,,,,,1.0,,,1.0,,16.0,7.0,23.0,0,,32.0,2.0,1.0,,
2021-22,9576403,1,13,Leicester_City,Home,356398,172780,James Maddison,james-maddison,M,False,,,1.0,10.0,7.0,17.0,1.0,1.0,7.0,,,,1.0,,,2.0,3.0,,,,,,,,,,1.0,,62.0,,,,,,,,8.0,,7.0,,,,,,,,1.0,,16.0,8.0,24.0,0,1.0,29.0,,1.0,,
2021-22,9576403,1,13,Leicester_City,Home,359642,173515,Kelechi Iheanacho,kelechi-iheanacho,F,True,,,,4.0,2.0,6.0,1.0,1.0,1.0,,,1.0,,,1.0,2.0,1.0,,,,,,,,,,,,18.0,,,,,,,,8.0,,6.5,,,,1.0,,,,,,8.0,2.0,10.0,1,,16.0,2.0,,,
2021-22,9576403,1,13,Leicester_City,Home,758608,218031,Çağlar Söyüncü,caglar-soyuncu,D,False,,,2.0,9.0,78.0,87.0,1.0,,4.0,,,,,,2.0,5.0,4.0,,,1.0,,,,,,1.0,,,90.0,,1.0,,,,,,11.0,,7.1,,,,2.0,1.0,,,6.0,,13.0,79.0,92.0,0,2.0,108.0,,2.0,,1.0
2021-22,9576403,1,13,Leicester_City,Home,787885,203341,Wilfred Ndidi,wilfred-ndidi,M,False,,,,25.0,42.0,67.0,1.0,4.0,9.0,,,,7.0,,,10.0,8.0,,,,,,,,,1.0,,,90.0,,,,,,,,8.0,,6.6,,,,2.0,4.0,,,,,28.0,43.0,71.0,0,2.0,89.0,2.0,,2.0,2.0
2021-22,9576403,1,13,Leicester_City,Home,833057,197469,Hamza Choudhury,hamza-choudhury,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576403,1,13,Leicester_City,Home,855647,201666,Harvey Barnes,harvey-barnes,F,False,,,,7.0,3.0,10.0,1.0,,1.0,,,,,,1.0,8.0,2.0,,,1.0,,,,,,,,,72.0,1.0,,,,,,,18.0,,6.1,,,,,6.0,1.0,,,1.0,12.0,4.0,15.0,1,,35.0,5.0,1.0,1.0,
