playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,fiftyFifty,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,throughBalls,gamesPlayed,successfulFiftyFifty,totalPasses,goals,offsides,awayGoals,oboxBlocked,substituteOn,iboxTarget,shotsOnTargetInBox,aerialDuelsLost,goalsConcededOutsideBox,groundDuelsWon,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,shotsBlockedInBox,totalFoulsWon,winningGoal,recoveries,appearances,rightFootGoals,leftFootGoals,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,openPlayPasses,shotsOffTargetIncWoodwork,totalLossesOfPossession,tacklesWon,leftsidePasses,totalFoulsConceded,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,hitWoodwork,successfulPassesOwnHalf,handballsConceded,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,expectedAssists,totalRedCards,overruns,totalShots,unsuccessfulShortPasses,goalAssists,successfulLayoffs,foulWonPenalty,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,timePlayed,unsuccessfulLayoffs,duelsWon,putthroughBlockedDistribution,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,penaltiesTaken,oboxTarget,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,headedGoals,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,cornersWon,successfulDribbles,blocks,interceptions,penaltyGoals,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,foulAttemptedTackle,expectedGoals,yellowCards,successfulCornersIntoBox,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,secondGoalAssists,expectedGoalsFreekick,cornersTakenInclShortCorners,penaltiesConceded,penaltiesSaved,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,savesFromPenalty,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,ownGoalScored,otherGoals,lastPlayerTackle,clearancesOffTheLine,setPiecesGoals
128389,Aleksandar Mitrovic,Forward,Fulham,54,Serbia,2022-23,225.0,54.0,17.0,35.0,13.6168,14.0,4.0,24.0,23.0,489.0,14.0,14.0,6.0,4.0,1.0,16.0,16.0,107.0,2.0,80.0,2.0,30.749,15.0,1.0,13.0,40.0,2.0,55.0,24.0,7.0,1.0,22.0,3.0,80.0,482.0,41.0,344.0,7.0,108.0,34.0,23.0,104.0,937.0,2.0,1.0,102.0,1.0,15.0,41.0,1.0,1.3256,0.0,2.0,76.0,178.0,1.0,18.0,2.0,23.0,193.0,3.0,207.0,3.0,5.0,1.0,2011.0,7.0,180.0,41.0,273.0,154.0,1.0,20.0,30.0,118.0,149.0,405.0,17.0,8.0,128.0,8.0,5.0,7.0,195.0,28.0,6.0,13.0,198.0,100.0,0.0,20.0,26.0,5.0,3.0,4.0,9.0,4.0,3.0,11.0,14.9765,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156689,Andreas Pereira,Midfielder,Fulham,54,Brazil,2022-23,178.0,67.0,14.0,23.0,5.0104,18.0,1.0,33.0,24.0,854.0,4.0,2.0,3.0,7.0,,2.0,2.0,29.0,5.0,70.0,4.0,45.6119,54.0,2.0,7.0,31.0,1.0,117.0,33.0,3.0,1.0,26.0,129.0,77.0,765.0,25.0,494.0,9.0,198.0,41.0,52.0,157.0,1408.0,4.0,4.0,190.0,1.0,43.0,41.0,11.0,4.0869,0.0,,48.0,181.0,6.0,22.0,,33.0,224.0,49.0,38.0,,17.0,67.0,2714.0,1.0,79.0,56.0,578.0,68.0,2.0,8.0,40.0,149.0,228.0,257.0,18.0,1.0,271.0,1.0,17.0,9.0,507.0,35.0,,7.0,219.0,9.0,0.0,34.0,21.0,3.0,6.0,1.0,26.0,7.0,6.0,27.0,7.2837,8.0,43.0,12.0,12.0,59.0,1.0,0.7857,116.0,1.0,,,,,,,,,,,,,,,,,,,,,
169528,Antonee Robinson,Defender,Fulham,54,United States,2022-23,131.0,54.0,,,,62.0,,35.0,27.0,1466.0,,3.0,,,,,,30.0,5.0,132.0,7.0,54.4253,20.0,13.0,,23.0,0.0,235.0,35.0,,,26.0,101.0,46.0,1448.0,3.0,601.0,38.0,98.0,33.0,80.0,254.0,2378.0,244.0,1.0,581.0,,103.0,139.0,33.0,1.836,0.0,11.0,3.0,236.0,1.0,,,35.0,339.0,101.0,70.0,9.0,,33.0,3089.0,,172.0,87.0,1047.0,29.0,65.0,76.0,44.0,101.0,462.0,303.0,36.0,,652.0,,,24.0,579.0,39.0,,,233.0,40.0,0.0,23.0,47.0,13.0,53.0,,1.0,,32.0,19.0,0.0807,8.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
80201,Bernd Leno,Goalkeeper,Fulham,54,Germany,2022-23,4.0,3.0,,,,,,36.0,2.0,1205.0,,,,,,,,,5.0,3.0,7.0,60.4747,1.0,25.0,,3.0,0.0,302.0,36.0,,,,,,827.0,,288.0,,429.0,1.0,159.0,,1619.0,,,821.0,,280.0,41.0,,0.0327,0.0,,,5.0,,,,36.0,285.0,,11.0,8.0,,,3240.0,,14.0,,761.0,,,26.0,51.0,4.0,273.0,18.0,,,503.0,,,,99.0,46.0,,,7.0,11.0,0.0,,,,,,,,84.0,1.0,,3.0,,,,,,,,1.0,1.0,30.0,43.0,242.0,7.0,8.0,1.0,8.0,144.0,8.0,5.0,2.0,378.0,54.0,42.0,100.0,,,,,
96994,Bobby De Cordova-Reid,Forward,Fulham,54,Jamaica,2022-23,155.0,61.0,9.0,10.0,2.2836,41.0,1.0,36.0,34.0,782.0,4.0,11.0,2.0,,7.0,4.0,4.0,41.0,4.0,83.0,3.0,44.4752,18.0,5.0,9.0,22.0,1.0,134.0,36.0,1.0,,26.0,39.0,58.0,776.0,12.0,387.0,24.0,254.0,34.0,21.0,173.0,1270.0,56.0,2.0,216.0,1.0,41.0,56.0,14.0,1.5515,0.0,4.0,22.0,175.0,1.0,9.0,2.0,29.0,216.0,39.0,53.0,2.0,2.0,14.0,2480.0,1.0,95.0,57.0,545.0,83.0,12.0,26.0,40.0,114.0,95.0,250.0,22.0,2.0,260.0,,2.0,17.0,364.0,36.0,3.0,9.0,197.0,12.0,0.0,14.0,20.0,3.0,20.0,,18.0,,19.0,18.0,3.8432,8.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
245824,Carlos Vinícius,Forward,Fulham,54,Brazil,2022-23,115.0,35.0,4.0,12.0,4.4142,5.0,3.0,28.0,14.0,181.0,5.0,6.0,2.0,,17.0,7.0,7.0,64.0,2.0,26.0,4.0,26.773,6.0,,4.0,15.0,2.0,22.0,28.0,2.0,2.0,7.0,6.0,30.0,174.0,5.0,149.0,2.0,53.0,21.0,,54.0,370.0,,,37.0,2.0,3.0,11.0,1.0,0.7946,0.0,1.0,17.0,60.0,2.0,10.0,,11.0,63.0,6.0,91.0,,,1.0,1101.0,3.0,53.0,19.0,118.0,61.0,,9.0,20.0,51.0,22.0,168.0,7.0,3.0,52.0,,,3.0,82.0,18.0,1.0,4.0,77.0,27.0,0.0,9.0,6.0,,,,4.0,,1.0,3.0,3.3387,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547673,Charlie Robinson,Defender,Fulham,54,England,2022-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58822,Cédric Soares,Defender,Fulham,54,Portugal,2022-23,12.0,3.0,2.0,,,8.0,,8.0,1.0,156.0,,,,2.0,6.0,,,7.0,,12.0,1.0,1.7093,2.0,,,2.0,0.0,11.0,8.0,,,,22.0,2.0,153.0,,53.0,5.0,57.0,2.0,4.0,25.0,247.0,23.0,,60.0,,11.0,9.0,5.0,0.1772,0.0,1.0,,11.0,,,,2.0,22.0,22.0,9.0,,,5.0,224.0,,14.0,7.0,130.0,3.0,2.0,6.0,3.0,5.0,13.0,26.0,3.0,,61.0,,,3.0,79.0,3.0,,,17.0,2.0,0.0,2.0,2.0,1.0,1.0,,1.0,2.0,3.0,2.0,0.0593,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200617,Daniel James,Midfielder,Fulham,54,Wales,2022-23,50.0,28.0,4.0,4.0,1.8533,16.0,,24.0,11.0,190.0,2.0,2.0,1.0,,17.0,1.0,1.0,18.0,1.0,43.0,2.0,18.5626,7.0,,4.0,20.0,0.0,42.0,24.0,1.0,1.0,5.0,26.0,19.0,190.0,9.0,115.0,8.0,58.0,4.0,2.0,52.0,356.0,4.0,2.0,34.0,1.0,5.0,14.0,6.0,0.5087,0.0,1.0,13.0,51.0,1.0,3.0,1.0,7.0,56.0,26.0,19.0,,,6.0,809.0,2.0,44.0,28.0,132.0,37.0,,6.0,18.0,32.0,36.0,94.0,8.0,1.0,44.0,,,8.0,106.0,17.0,,4.0,75.0,1.0,0.0,8.0,7.0,1.0,3.0,,7.0,,2.0,2.0,1.6416,0.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
235449,George Wickens,Goalkeeper,Fulham,54,England,2022-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
