playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,fiftyFifty,totalRedCards,catches,totalTackles,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,successfulFiftyFifty,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,successfulLongPasses,touches,throwInsToOwnPlayer,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,blockedShots,totalShots,throughBalls,unsuccessfulCrossesOpenPlay,oboxBlocked,substituteOn,successfulCrossesAndCorners,keyPassesAttemptAssists,putthroughBlockedDistributionWon,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,shotsOffTargetIncWoodwork,totalFoulsConceded,interceptions,backwardPasses,substituteOff,shotsBlockedOutsideBox,foulAttemptedTackle,expectedGoals,shotsOnTargetIncGoals,expectedGoalsOnTarget,successfulLayoffs,shotsOnTargetOutsideBox,iboxTarget,shotsOnTargetInBox,totalTouchesInOppositionBox,oboxTarget,blocks,goals,offsides,awayGoals,shotsBlockedInBox,rightFootGoals,freekickTotal,attemptsFromSetPieces,expectedGoalsFreekick,overruns,goalAssists,foulWonPenalty,unsuccessfulLayoffs,homeGoals,penaltiesTaken,iboxBlocked,penaltyGoals,penaltiesConceded,throwInsToOppositionPlayer,ownGoalScored,lastPlayerTackle,secondGoalAssists,successfulCornersIntoBox,leftFootGoals,unsuccessfulCornersIntoBox,hitWoodwork,handballsConceded,cornersTakenInclShortCorners,headedGoals,redCards2ndYellow,setPiecesGoals,otherGoals,clearancesOffTheLine,penaltiesSaved,savesFromPenalty
225321,Aaron Ramsdale,Goalkeeper,Arsenal,3,England,2021-22,3.0,0.0458,1.0,0.0,22.0,2.0,41.0,12.0,34.0,1.0,34.0,378.0,1010.0,181.0,3.0,9.0,12.0,6.0,3060.0,2.0,14.0,5.0,4.0,7.0,473.0,12.0,5.0,39.1971,40.0,38.0,39.0,1.0,150.0,90.0,5.0,0.0,17.0,2.0,643.0,303.0,34.0,4.0,1.0,1.0,108.0,34.0,8.0,7.0,0.0,238.0,708.0,1.0,384.0,1.0,1.0,105.0,24.0,217.0,159.0,1345.0,2.0,152.0,524.0,49.0,1.0,366.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154043,Ainsley Maitland-Niles,Midfielder,Arsenal,3,England,2021-22,18.0,0.4975,6.0,0.0,,8.0,,23.0,8.0,4.0,2.0,31.0,135.0,,,6.0,1.0,,264.0,3.0,18.0,1.0,2.0,15.0,100.0,,,5.0469,,3.0,4.0,15.0,45.0,,3.0,0.0,36.0,,50.0,23.0,8.0,,,4.0,55.0,3.0,30.0,3.0,0.0,,133.0,1.0,45.0,4.0,4.0,,,20.0,4.0,183.0,1.0,5.0,50.0,,0.0,8.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,3.0,2.0,4.0,1.0,9.0,1.0,4.0,4.0,20.0,1.0,1.0,4.0,0.0683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437742,Albert Sambi Lokonga,Midfielder,Arsenal,3,Belgium,2021-22,43.0,1.1123,26.0,0.0,,22.0,,71.0,19.0,11.0,12.0,95.0,818.0,,,36.0,5.0,,1133.0,20.0,55.0,1.0,8.0,39.0,688.0,,1.0,12.4301,1.0,11.0,12.0,23.0,261.0,,15.0,0.0,98.0,,210.0,72.0,19.0,,,4.0,412.0,11.0,62.0,16.0,0.0,,793.0,4.0,119.0,18.0,3.0,,,235.0,35.0,960.0,3.0,5.0,312.0,,5.0,24.0,32.0,1.0,4.0,16.0,6.0,1.0,4.0,7.0,1.0,18.0,5.0,1.0,1.0,9.0,8.0,12.0,13.0,112.0,3.0,4.0,5.0,0.5958,8.0,0.7585,3.0,7.0,1.0,1.0,5.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450553,Alex Kirk,Defender,Arsenal,3,England,2021-22,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59966,Alexandre Lacazette,Forward,Arsenal,3,France,2021-22,136.0,1.835,80.0,0.0,,27.0,,98.0,30.0,40.0,20.0,105.0,444.0,,,69.0,2.0,,1789.0,48.0,96.0,2.0,24.0,75.0,331.0,,3.0,22.8657,,5.0,17.0,88.0,130.0,,29.0,1.0,232.0,,97.0,52.0,30.0,,,17.0,237.0,15.0,163.0,21.0,0.0,,435.0,9.0,200.0,10.0,19.0,,,105.0,8.0,723.0,1.0,2.0,105.0,,0.0,7.0,16.0,3.0,11.0,35.0,5.0,4.0,4.0,10.0,3.0,22.0,11.0,14.0,4.0,43.0,20.0,32.0,5.0,112.0,14.0,4.0,16.0,9.0211,15.0,5.069,34.0,3.0,8.0,8.0,117.0,3.0,1.0,4.0,6.0,1.0,7.0,4.0,1.0,1.0,0.2633,2.0,7.0,4.0,3.0,3.0,3.0,7.0,2.0,,,,,,,,,,,,,,,,,,
220682,Arthur Okonkwo,Goalkeeper,Arsenal,3,England,2021-22,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198869,Ben White,Defender,Arsenal,3,England,2021-22,97.0,0.9167,58.0,0.0,,44.0,,160.0,32.0,25.0,32.0,279.0,1810.0,,,102.0,13.0,,2880.0,40.0,141.0,5.0,30.0,79.0,1441.0,,4.0,36.1613,5.0,101.0,35.0,57.0,390.0,,27.0,0.0,238.0,,672.0,158.0,32.0,,,21.0,486.0,30.0,136.0,62.0,0.0,,1770.0,6.0,327.0,23.0,10.0,,,640.0,90.0,2201.0,23.0,44.0,1045.0,,3.0,119.0,95.0,,4.0,8.0,5.0,,2.0,,,13.0,18.0,10.0,,21.0,4.0,19.0,42.0,108.0,,2.0,13.0,1.106,4.0,0.508,1.0,1.0,3.0,3.0,19.0,1.0,24.0,,,,2.0,,,,,3.0,,,,,,2.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
80201,Bernd Leno,Goalkeeper,Arsenal,3,Germany,2021-22,1.0,0.0023,,0.0,5.0,1.0,2.0,,4.0,,4.0,38.0,101.0,37.0,,4.0,1.0,,360.0,1.0,4.0,1.0,,1.0,41.0,4.0,,9.4227,1.0,5.0,9.0,,16.0,10.0,,0.0,5.0,,64.0,24.0,4.0,1.0,,,13.0,8.0,1.0,3.0,0.0,35.0,57.0,1.0,39.0,1.0,,15.0,3.0,21.0,22.0,138.0,,10.0,50.0,8.0,0.0,38.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223340,Bukayo Saka,Forward,Arsenal,3,England,2021-22,207.0,6.8507,95.0,0.0,,40.0,,194.0,38.0,49.0,36.0,218.0,1062.0,,,66.0,5.0,,2991.0,43.0,165.0,5.0,74.0,142.0,828.0,,4.0,39.197,3.0,21.0,39.0,164.0,109.0,,59.0,5.0,372.0,,228.0,141.0,38.0,,,19.0,671.0,34.0,306.0,23.0,0.0,,1045.0,26.0,502.0,21.0,43.0,,,417.0,16.0,1782.0,20.0,16.0,202.0,,6.0,24.0,43.0,10.0,39.0,58.0,4.0,41.0,9.0,2.0,29.0,61.0,26.0,59.0,81.0,107.0,27.0,39.0,22.0,308.0,20.0,9.0,17.0,10.7707,31.0,8.2559,28.0,7.0,13.0,13.0,221.0,7.0,2.0,11.0,17.0,6.0,30.0,1.0,,,,7.0,7.0,2.0,5.0,5.0,2.0,30.0,2.0,,1.0,,,1.0,19.0,10.0,35.0,1.0,7.0,59.0,,,,,,,
450544,Charlie Patino,Midfielder,Arsenal,3,England,2021-22,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
