playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,offsides,oboxBlocked,substituteOn,cornersTakenInclShortCorners,aerialDuels,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,successfulCornersIntoBox,totalTouchesInOppositionBox,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,oboxTarget,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,hitWoodwork,shotsBlockedOutsideBox,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,secondGoalAssists,ownGoalScored,successfulLaunches,aerialDuelsWon,unsuccessfulLaunches,goals,awayGoals,cleanSheets,throwInsToOppositionPlayer,penaltyGoalsConceded,shotsBlockedInBox,homeGoals,rightFootGoals,leftFootGoals,iboxBlocked,clearancesOffTheLine,unsuccessfulLayoffs,penaltiesConceded,lastPlayerTackle,headedGoals,expectedGoalsFreekick,freekickTotal,attemptsFromSetPieces,catches,savesMade,drops,savesMadeFromOutsideBox,goalKicks,gkSuccessfulDistribution,gkUnsuccessfulDistribution,penaltiesFaced,savesMadeParried,savesMadeFromInsideBox,setPiecesGoals,penaltiesTaken,penaltyGoals,foulWonPenalty,penaltiesSaved,savesMadeCaught,savesFromPenalty,punches,goalkeeperSmother,crossesNotClaimed
18267,Aiden McGeady,Midfielder,Everton,11,Ireland,2013-14,39.0,9.0,1.1468,0.0,2.0,2.0,2.0,0.1432,9.0,8.0,2.0,30.0,16.0,1.0,9.0,4.0,34.0,27.0,179.0,1.0,2.0,12.0,8.0,3.0,1.0,10.0,1.0,470.0,1.0,3.0,35.0,1.0,11.0,35.0,131.0,1.0,16.0,4.6248,5.0,2.0,6.0,36.0,32.0,3.0,0.0,74.0,4.0,54.0,23.0,16.0,1.0,2.0,19.0,119.0,5.0,33.0,28.0,71.0,0.0,177.0,6.0,10.0,105.0,7.0,23.0,2.0,51.0,2.0,5.0,6.0,14.0,42.0,335.0,7.0,4.0,1.0,2.0,36.0,1.0,1.0,0.3144,0.0,4.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43035,Antolin Alcaraz,Defender,Everton,11,Paraguay,2013-14,22.0,,0.0757,0.0,,1.0,1.0,0.195,14.0,2.0,,27.0,6.0,,1.0,5.0,43.0,1.0,261.0,,,1.0,,36.0,,,1.0,495.0,1.0,16.0,41.0,3.0,13.0,21.0,194.0,,5.0,6.9317,,53.0,11.0,6.0,75.0,3.0,0.0,63.0,3.0,132.0,36.0,6.0,,4.0,,83.0,8.0,1.0,1.0,27.0,0.0,246.0,1.0,,48.0,10.0,6.0,6.0,39.0,3.0,16.0,,24.0,15.0,381.0,3.0,,,,135.0,1.0,,0.0864,0.0,16.0,11.0,,1.0,1.0,20.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60865,Apostolos Vellios,Forward,Everton,11,Greece,2013-14,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26921,Arouna Koné,Forward,Everton,11,Cote d’Ivoire,2013-14,8.0,,0.0353,0.0,,2.0,,0.1228,,3.0,,6.0,5.0,,4.0,,6.0,1.0,28.0,2.0,,5.0,,5.0,1.0,,1.0,79.0,1.0,4.0,3.0,,,2.0,22.0,,4.0,0.4736,2.0,,,4.0,7.0,1.0,0.0,11.0,,5.0,1.0,5.0,1.0,,1.0,19.0,,1.0,4.0,6.0,0.0,28.0,1.0,,15.0,,1.0,,8.0,,,,,8.0,42.0,,,1.0,,3.0,,,0.4531,0.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77762,Bryan Oviedo,Defender,Everton,11,Costa Rica,2013-14,34.0,12.0,1.3745,0.0,4.0,5.0,1.0,0.8994,29.0,11.0,1.0,36.0,9.0,2.0,6.0,8.0,43.0,26.0,287.0,1.0,3.0,1.0,8.0,10.0,3.0,15.0,,718.0,,7.0,49.0,,18.0,46.0,236.0,3.0,13.0,11.1525,7.0,15.0,6.0,27.0,118.0,10.0,1.0,83.0,7.0,92.0,32.0,9.0,3.0,4.0,1.0,167.0,6.0,32.0,12.0,73.0,0.0,280.0,6.0,8.0,108.0,25.0,7.0,,17.0,12.0,8.0,4.0,8.0,60.0,521.0,50.0,2.0,,3.0,92.0,4.0,,0.7431,1.0,7.0,11.0,,1.0,1.0,3.0,3.0,2.0,1.0,2.0,11.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80181,Conor McAleny,Forward,Everton,11,England,2013-14,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27707,Darron Gibson,Midfielder,Everton,11,Ireland,2013-14,,,0.0106,0.0,,,,,1.0,,,4.0,1.0,,1.0,,5.0,,22.0,,,1.0,,,,,,27.0,,,1.0,,,1.0,14.0,,,1.2909,,1.0,1.0,,9.0,,0.0,1.0,,6.0,1.0,1.0,,,,9.0,1.0,,,1.0,0.0,19.0,,,5.0,1.0,,,7.0,,,,3.0,,24.0,,,,,8.0,,,,0.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1632,Gareth Barry,Midfielder,Everton,11,England,2013-14,159.0,3.0,1.7813,0.0,5.0,5.0,1.0,1.9769,86.0,12.0,3.0,228.0,32.0,4.0,42.0,32.0,285.0,15.0,2155.0,1.0,2.0,,2.0,89.0,2.0,5.0,,2849.0,,43.0,181.0,7.0,59.0,135.0,1643.0,2.0,38.0,34.6956,38.0,79.0,29.0,116.0,666.0,40.0,1.0,340.0,30.0,807.0,215.0,32.0,2.0,19.0,5.0,1115.0,22.0,15.0,29.0,251.0,0.0,2103.0,7.0,6.0,359.0,67.0,14.0,18.0,489.0,50.0,51.0,,227.0,193.0,2604.0,10.0,1.0,,2.0,760.0,26.0,1.0,1.4344,10.0,57.0,56.0,,,5.0,46.0,10.0,3.0,0.0,13.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
94924,Gerard Deulofeu,Forward,Everton,11,Spain,2013-14,97.0,7.0,1.4341,0.0,4.0,21.0,9.0,5.2931,8.0,27.0,1.0,56.0,25.0,3.0,20.0,9.0,59.0,47.0,274.0,3.0,,16.0,31.0,6.0,4.0,7.0,14.0,893.0,14.0,5.0,62.0,1.0,21.0,61.0,208.0,1.0,98.0,8.6946,6.0,,8.0,92.0,51.0,9.0,1.0,159.0,5.0,54.0,36.0,25.0,4.0,2.0,52.0,176.0,7.0,75.0,76.0,153.0,0.0,264.0,6.0,32.0,240.0,6.0,44.0,,103.0,7.0,7.0,24.0,7.0,66.0,581.0,5.0,7.0,,,46.0,1.0,1.0,3.0921,1.0,3.0,5.0,1.0,,,1.0,1.0,3.0,1.0,2.0,,,4.0,2.0,2.0,1.0,4.0,,,,,,0.0677,1.0,1.0,,,,,,,,,,,,,,,,,,,,
50472,James McCarthy,Midfielder,Everton,11,Ireland,2013-14,156.0,6.0,1.8059,0.0,9.0,5.0,1.0,1.3874,112.0,12.0,2.0,165.0,34.0,3.0,54.0,31.0,220.0,10.0,1709.0,,6.0,3.0,,65.0,3.0,6.0,1.0,2856.0,1.0,32.0,195.0,7.0,54.0,162.0,1331.0,,22.0,35.9138,39.0,53.0,33.0,124.0,416.0,27.0,1.0,351.0,44.0,466.0,193.0,34.0,3.0,27.0,11.0,810.0,26.0,10.0,45.0,286.0,0.0,1689.0,7.0,5.0,304.0,85.0,23.0,24.0,571.0,45.0,52.0,,158.0,256.0,2190.0,10.0,2.0,,6.0,685.0,15.0,2.0,1.0422,5.0,55.0,56.0,,,8.0,33.0,30.0,1.0,1.0,11.0,,2.0,3.0,0.0,,1.0,3.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
