season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyMiss,penaltyWon,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest
2015-16,6767933,1,31,Crystal_Palace,Away,10038,7906,Damien Delaney,damien-delaney,D,False,,,2.0,,8.0,8.0,,,2.0,,,,,,,,,,,,,,1.0,,,,,,90.0,1.0,1.0,,,,,,7.2,,,,,7.0,,,,6.0,,3.0,12.0,15.0,1,,24.0,,,
2015-16,6767933,1,31,Crystal_Palace,Away,20278,19188,Scott Dann,scott-dann,D,False,,,,3.0,6.0,9.0,1.0,,2.0,,,,,1.0,,,1.0,2.0,,,,,,,,2.0,,,90.0,,2.0,,,,,,7.1,,,,,6.0,,,,1.0,,3.0,7.0,10.0,0,2.0,23.0,,,
2015-16,6767933,1,31,Crystal_Palace,Away,24685,59115,Mile Jedinak,mile-jedinak,D,True,,,,1.0,1.0,2.0,,1.0,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,18.0,,,,,,,,6.5,,,,,,,,,,,2.0,1.0,3.0,0,,3.0,,,
2015-16,6767933,1,31,Crystal_Palace,Away,39183,55494,Joel Ward,joel-ward,D,False,1.0,,2.0,19.0,8.0,26.0,1.0,3.0,6.0,1.0,,,,,,4.0,7.0,8.0,,,2.0,,,,,1.0,1.0,,90.0,,,,,,,,7.0,,,1.0,,7.0,,2.0,,8.0,,27.0,9.0,34.0,1,3.0,66.0,1.0,2.0,
2015-16,6767933,1,31,Crystal_Palace,Away,39472,58786,Martin Kelly,martin-kelly,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2015-16,6767945,2,31,Crystal_Palace,Home,10038,7906,Damien Delaney,damien-delaney,D,False,,,,5.0,19.0,24.0,2.0,5.0,2.0,,,,,,,,2.0,5.0,,,,,,,,2.0,,,90.0,,1.0,1.0,,,,,6.6,,,,,11.0,,,,2.0,,7.0,19.0,26.0,0,,41.0,,,
2015-16,6767945,2,31,Crystal_Palace,Home,10597,20145,Adrian Mariappa,adrian-mariappa,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2015-16,6767945,2,31,Crystal_Palace,Home,20278,19188,Scott Dann,scott-dann,D,False,,,3.0,12.0,15.0,27.0,2.0,2.0,6.0,,,,,,,,2.0,5.0,,,,,,,,,,,90.0,,2.0,,,,,,6.8,,,,,7.0,2.0,,,8.0,2.0,19.0,16.0,35.0,0,1.0,51.0,,,2.0
2015-16,6767945,2,31,Crystal_Palace,Home,24685,59115,Mile Jedinak,mile-jedinak,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2015-16,6767945,2,31,Crystal_Palace,Home,39183,55494,Joel Ward,joel-ward,D,False,,,1.0,13.0,11.0,24.0,3.0,2.0,7.0,,,,2.0,,,1.0,7.0,7.0,,1.0,1.0,,1.0,,,,,,90.0,2.0,2.0,,,,,,7.0,,,,,4.0,,3.0,,4.0,,21.0,14.0,32.0,2,4.0,58.0,2.0,1.0,
