playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,totalTackles,totalShots,unsuccessfulShortPasses,gamesPlayed,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,offsides,oboxBlocked,substituteOn,cornersTakenInclShortCorners,aerialDuels,successfulCrossesAndCorners,timePlayed,aerialDuelsLost,duelsWon,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,leftsidePasses,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,expectedGoalsFreekick,shotsOnTargetIncGoals,expectedGoalsOnTarget,throughBalls,cleanSheets,shotsOnTargetOutsideBox,unsuccessfulLayoffs,goalsConcededOutsideBox,successfulCornersIntoBox,throwInsToOppositionPlayer,oboxTarget,freekickTotal,blocks,attemptsFromSetPieces,goalAssists,goals,rightFootGoals,leftFootGoals,hitWoodwork,iboxTarget,shotsOnTargetInBox,penaltiesConceded,headedGoals,handballsConceded,foulWonPenalty,clearancesOffTheLine,penaltiesSaved,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,savesFromPenalty,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,penaltiesTaken,penaltyGoals,penaltyGoalsConceded
39155,Adam Lallana,Midfielder,Liverpool,14,England,2017-18,27.0,2.0,0.6303,0.0,6.0,3.0,5.0,28.0,12.0,9.0,1.0,31.0,5.0,220.0,1.0,4.0,11.0,1.0,7.0,2.0,235.0,4.0,17.0,6.0,14.0,185.0,20.0,1.6155,7.0,1.0,1.0,1.0,2.0,23.0,52.0,5.0,44.0,3.0,67.0,15.0,12.0,2.0,1.0,139.0,1.0,6.0,2.0,37.0,3.0,0.0,219.0,5.0,5.0,58.0,1.0,6.0,54.0,4.0,1.0,1.0,4.0,47.0,283.0,1.0,2.0,4.0,2.0,52.0,3.0,1.4778,1.0,3.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100059,Alberto Moreno,Defender,Liverpool,14,Spain,2017-18,48.0,9.0,1.3894,0.0,7.0,35.0,5.0,77.0,16.0,3.0,14.0,123.0,38.0,783.0,,7.0,2.0,3.0,27.0,10.0,1264.0,17.0,69.0,34.0,59.0,625.0,16.0,17.5059,15.0,4.0,39.0,19.0,,31.0,339.0,19.0,117.0,17.0,270.0,69.0,16.0,9.0,3.0,329.0,18.0,41.0,,90.0,10.0,0.0,766.0,3.0,12.0,195.0,26.0,6.0,29.0,8.0,12.0,2.0,35.0,145.0,1138.0,114.0,,7.0,21.0,341.0,6.0,0.5006,1.0,46.0,32.0,0.0763,2.0,0.5417,1.0,6.0,2.0,1.0,1.0,1.0,15.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81880,Alex Oxlade-Chamberlain,Midfielder,Liverpool,14,England,2017-18,112.0,12.0,0.6142,0.0,16.0,37.0,31.0,115.0,35.0,28.0,17.0,148.0,40.0,836.0,3.0,3.0,18.0,32.0,48.0,21.0,1726.0,33.0,118.0,44.0,103.0,628.0,59.0,6.3589,32.0,1.0,13.0,27.0,1.0,79.0,169.0,10.0,230.0,27.0,243.0,113.0,35.0,13.0,18.0,507.0,25.0,65.0,1.0,182.0,15.0,0.0,824.0,14.0,22.0,319.0,24.0,57.0,276.0,17.0,26.0,22.0,60.0,148.0,1308.0,24.0,10.0,3.0,11.0,202.0,10.0,0.2538,3.0,33.0,33.0,,17.0,0.3629,13.0,3.0,2.0,1.0,2.0,9.0,1.0,2.0,,2.0,,7.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
122798,Andy Robertson,Defender,Liverpool,14,Scotland,2017-18,58.0,11.0,3.4241,0.0,3.0,31.0,9.0,127.0,22.0,4.0,22.0,184.0,77.0,1421.0,5.0,,,,25.0,11.0,1943.0,10.0,59.0,62.0,44.0,1196.0,47.0,16.8125,19.0,9.0,49.0,18.0,3.0,48.0,641.0,4.0,117.0,20.0,467.0,140.0,22.0,14.0,8.0,774.0,16.0,77.0,3.0,92.0,15.0,0.0,1409.0,7.0,14.0,327.0,17.0,9.0,43.0,15.0,26.0,,41.0,270.0,1905.0,156.0,3.0,,28.0,474.0,9.0,0.5092,2.0,57.0,46.0,,2.0,0.276,3.0,9.0,1.0,,2.0,,14.0,1.0,,2.0,,5.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
182436,Ben Woodburn,Midfielder,Liverpool,14,Wales,2017-18,,,0.0019,0.0,,,,1.0,1.0,1.0,,1.0,,8.0,,,1.0,,,,6.0,,,1.0,,7.0,1.0,,,,,,,,1.0,,,,,,1.0,,,5.0,,,,,,0.0,8.0,,,1.0,,,3.0,,,,,4.0,8.0,,,,,2.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153477,Conor Masterson,Defender,Liverpool,14,Ireland,2017-18,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206915,Curtis Jones,Midfielder,Liverpool,14,England,2017-18,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84939,Danny Ings,Forward,Liverpool,14,England,2017-18,24.0,,0.1478,0.0,1.0,5.0,7.0,27.0,8.0,5.0,3.0,29.0,3.0,76.0,3.0,,5.0,,13.0,,265.0,9.0,13.0,9.0,9.0,46.0,22.0,0.7926,3.0,,1.0,,1.0,15.0,23.0,3.0,37.0,4.0,19.0,8.0,8.0,2.0,3.0,35.0,,3.0,1.0,24.0,4.0,0.0,75.0,2.0,1.0,52.0,3.0,1.0,18.0,6.0,2.0,,1.0,16.0,127.0,,3.0,,1.0,12.0,3.0,1.1163,0.0,2.0,6.0,,5.0,1.6437,,,,2.0,,,,,,,,,1.0,,1.0,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
95463,Danny Ward,Goalkeeper,Liverpool,14,Wales,2017-18,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38454,Dejan Lovren,Defender,Liverpool,14,Croatia,2017-18,85.0,2.0,0.544,0.0,4.0,26.0,10.0,111.0,29.0,,24.0,208.0,2.0,1803.0,1.0,1.0,5.0,,164.0,2.0,2125.0,60.0,136.0,16.0,32.0,1504.0,23.0,23.0308,5.0,24.0,142.0,24.0,3.0,25.0,481.0,6.0,221.0,11.0,627.0,107.0,29.0,9.0,1.0,499.0,22.0,2.0,3.0,57.0,104.0,0.0,1765.0,6.0,2.0,220.0,17.0,,582.0,15.0,38.0,,91.0,113.0,2089.0,5.0,2.0,1.0,48.0,1098.0,9.0,1.3587,4.0,97.0,66.0,,4.0,0.7785,,10.0,,,2.0,,,,,15.0,,1.0,2.0,,,,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
154566,Dominic Solanke,Forward,Liverpool,14,England,2017-18,74.0,,1.201,0.0,4.0,7.0,18.0,48.0,21.0,15.0,5.0,49.0,3.0,197.0,1.0,1.0,16.0,,59.0,,583.0,38.0,40.0,9.0,19.0,146.0,56.0,5.3852,14.0,,7.0,4.0,3.0,36.0,55.0,3.0,114.0,4.0,53.0,20.0,21.0,3.0,5.0,115.0,3.0,3.0,3.0,55.0,21.0,0.0,190.0,10.0,3.0,110.0,4.0,9.0,44.0,13.0,2.0,,2.0,45.0,336.0,,2.0,1.0,,33.0,2.0,3.4895,0.0,1.0,9.0,,8.0,2.6493,3.0,2.0,2.0,4.0,1.0,,,2.0,,1.0,,1.0,1.0,1.0,,1.0,5.0,5.0,,,2.0,,,,,,,,,,,,,,,,,,,,
112338,Emre Can,Midfielder,Liverpool,14,Germany,2017-18,123.0,5.0,2.4309,0.0,5.0,67.0,22.0,160.0,26.0,29.0,24.0,223.0,6.0,1543.0,,5.0,2.0,,95.0,5.0,2094.0,49.0,163.0,47.0,117.0,1244.0,35.0,26.1476,21.0,6.0,32.0,29.0,,74.0,403.0,27.0,286.0,28.0,416.0,196.0,26.0,13.0,8.0,690.0,26.0,6.0,,191.0,46.0,0.0,1531.0,14.0,7.0,291.0,54.0,24.0,482.0,27.0,28.0,,76.0,242.0,1910.0,13.0,5.0,5.0,31.0,635.0,17.0,1.8442,8.0,63.0,68.0,0.1328,8.0,2.1715,11.0,7.0,4.0,1.0,3.0,,1.0,4.0,1.0,4.0,1.0,4.0,3.0,1.0,,1.0,1.0,1.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
41733,Georginio Wijnaldum,Midfielder,Liverpool,14,Netherlands,2017-18,101.0,1.0,1.5593,0.0,14.0,34.0,24.0,109.0,33.0,26.0,27.0,128.0,1.0,1266.0,4.0,10.0,6.0,1.0,45.0,1.0,2387.0,29.0,108.0,27.0,92.0,1092.0,47.0,25.7461,20.0,4.0,19.0,23.0,4.0,72.0,403.0,17.0,209.0,18.0,257.0,173.0,33.0,11.0,13.0,621.0,22.0,1.0,4.0,164.0,16.0,0.0,1243.0,14.0,7.0,227.0,23.0,42.0,342.0,13.0,25.0,,46.0,264.0,1593.0,6.0,6.0,10.0,6.0,518.0,7.0,2.8007,1.0,19.0,36.0,0.1076,10.0,1.8793,2.0,12.0,4.0,1.0,1.0,,,4.0,1.0,2.0,1.0,2.0,1.0,1.0,,1.0,5.0,5.0,,,2.0,,,,,,,,,,,,,,,,,,,,
15157,James Milner,Midfielder,Liverpool,14,England,2017-18,95.0,14.0,3.5573,0.0,8.0,58.0,13.0,155.0,32.0,20.0,16.0,201.0,57.0,1480.0,,4.0,16.0,60.0,41.0,29.0,1762.0,18.0,115.0,63.0,92.0,1194.0,43.0,20.9803,31.0,3.0,22.0,25.0,4.0,77.0,414.0,22.0,210.0,28.0,492.0,125.0,32.0,13.0,4.0,871.0,23.0,94.0,4.0,169.0,23.0,0.0,1421.0,8.0,25.0,349.0,45.0,12.0,323.0,29.0,21.0,33.0,85.0,251.0,1904.0,27.0,3.0,4.0,15.0,437.0,24.0,1.0698,3.0,46.0,42.0,0.1526,5.0,0.5916,7.0,3.0,1.0,1.0,2.0,15.0,,1.0,1.0,5.0,1.0,3.0,,,,,4.0,4.0,,,1.0,,,,,,,,,,,,,,,,,,,,
171287,Joe Gomez,Defender,Liverpool,14,England,2017-18,80.0,10.0,1.4469,0.0,2.0,58.0,3.0,149.0,23.0,2.0,21.0,207.0,35.0,1337.0,1.0,1.0,2.0,,64.0,10.0,1901.0,31.0,124.0,30.0,91.0,1081.0,10.0,19.7878,15.0,4.0,48.0,21.0,1.0,49.0,84.0,10.0,204.0,11.0,499.0,144.0,23.0,13.0,3.0,570.0,20.0,35.0,1.0,140.0,33.0,0.0,1323.0,3.0,6.0,344.0,45.0,23.0,565.0,15.0,34.0,,49.0,189.0,1882.0,175.0,,1.0,19.0,570.0,7.0,0.2655,3.0,58.0,52.0,,,,,9.0,,,1.0,,66.0,,,8.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56979,Jordan Henderson,Midfielder,Liverpool,14,England,2017-18,90.0,4.0,2.423,0.0,4.0,51.0,11.0,220.0,27.0,33.0,25.0,325.0,17.0,2085.0,,4.0,2.0,5.0,39.0,5.0,2172.0,11.0,98.0,50.0,70.0,1608.0,19.0,24.4845,24.0,1.0,20.0,21.0,,79.0,611.0,14.0,188.0,31.0,617.0,213.0,27.0,18.0,7.0,1019.0,20.0,20.0,,149.0,28.0,0.0,2040.0,8.0,8.0,382.0,33.0,8.0,605.0,26.0,31.0,2.0,152.0,252.0,2350.0,4.0,4.0,4.0,29.0,746.0,14.0,1.2323,1.0,105.0,69.0,0.0596,3.0,0.838,7.0,12.0,2.0,,1.0,2.0,,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
60914,Joël Matip,Defender,Liverpool,14,Cameroon,2017-18,58.0,,0.7653,0.0,2.0,35.0,9.0,100.0,25.0,2.0,22.0,187.0,,1655.0,1.0,,3.0,,78.0,,1995.0,21.0,104.0,15.0,47.0,1377.0,22.0,26.0128,5.0,9.0,96.0,27.0,2.0,37.0,337.0,10.0,162.0,11.0,579.0,123.0,25.0,11.0,1.0,551.0,25.0,,2.0,84.0,57.0,0.0,1625.0,7.0,,209.0,24.0,3.0,651.0,19.0,35.0,,91.0,88.0,1919.0,2.0,,,51.0,917.0,9.0,1.8987,3.0,87.0,57.0,,2.0,0.8585,1.0,9.0,,,2.0,,,,,15.0,,,1.0,1.0,,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,
104542,Loris Karius,Goalkeeper,Liverpool,14,Germany,2017-18,4.0,,0.0129,0.0,,,,2.0,19.0,,19.0,171.0,,521.0,,,,,9.0,,1710.0,1.0,10.0,1.0,2.0,273.0,,13.3598,,45.0,15.0,14.0,,3.0,77.0,3.0,14.0,,352.0,170.0,19.0,,,36.0,13.0,,,5.0,8.0,0.0,363.0,,,176.0,,,92.0,2.0,1.0,,77.0,,698.0,,,,107.0,314.0,2.0,,1.0,169.0,23.0,,,,,10.0,,,1.0,,,,,,,,,,,,,,2.0,,,,,1.0,9.0,10.0,3.0,3.0,1.0,11.0,31.0,6.0,1.0,2.0,166.0,43.0,10.0,21.0,,,
210237,Marko Grujic,Midfielder,Liverpool,14,Serbia,2017-18,3.0,,0.0018,0.0,,2.0,,2.0,3.0,1.0,,3.0,,14.0,,,3.0,,2.0,,14.0,2.0,2.0,,2.0,11.0,,,1.0,,,,,1.0,2.0,,5.0,,7.0,2.0,3.0,,,8.0,,,,3.0,,0.0,14.0,,,4.0,2.0,,3.0,,,,,2.0,17.0,,,,,3.0,,,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118748,Mohamed Salah,Forward,Liverpool,14,Egypt,2017-18,211.0,6.0,6.0886,0.0,33.0,12.0,111.0,205.0,36.0,66.0,34.0,220.0,18.0,946.0,17.0,9.0,2.0,62.0,48.0,27.0,2921.0,35.0,133.0,42.0,120.0,708.0,282.0,28.961,52.0,1.0,3.0,30.0,24.0,176.0,99.0,29.0,344.0,10.0,199.0,122.0,36.0,6.0,47.0,619.0,28.0,59.0,24.0,296.0,13.0,0.0,930.0,44.0,40.0,545.0,6.0,79.0,406.0,16.0,5.0,36.0,18.0,242.0,1643.0,19.0,17.0,9.0,2.0,134.0,10.0,24.378,1.0,15.0,17.0,0.2934,67.0,27.5876,8.0,6.0,8.0,4.0,2.0,17.0,,8.0,4.0,,4.0,10.0,32.0,5.0,25.0,3.0,27.0,27.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,2.0,1.0,
