season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2020-21,8896944,1,14,Liverpool,Home,791,15157,James Milner,james-milner,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8896944,1,14,Liverpool,Home,22126,41733,Georginio Wijnaldum,georginio-wijnaldum,M,False,,,,9.0,8.0,17.0,1.0,,7.0,,,1.0,2.0,,2.0,7.0,4.0,,,,,,,,1.0,2.0,,90.0,1.0,,,,,,9.0,,6.5,,,,,3.0,,,,,13.0,8.0,21.0,2,3.0,36.0,1.0,,1.0,2.0
2020-21,8896944,1,14,Liverpool,Home,42694,56979,Jordan Henderson,jordan-henderson,M,False,,,2.0,17.0,12.0,29.0,,,6.0,,,,,,,,5.0,,,,,,,,,,,66.0,1.0,,,,,,10.0,,7.0,,,,,1.0,1.0,,7.0,,27.0,12.0,38.0,1,4.0,46.0,,,1.0,4.0
2020-21,8896944,1,14,Liverpool,Home,50539,60706,Adrián,adrian,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8896944,1,14,Liverpool,Home,51501,60914,Joël Matip,joel-matip,D,True,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,1.0,,1.0,,1.0,0,,1.0,,,,
2020-21,8896944,1,14,Liverpool,Home,143697,92217,Roberto Firmino,roberto-firmino,M,False,,,,24.0,10.0,34.0,3.0,,4.0,,,2.0,,,3.0,7.0,4.0,,,1.0,,,,,,,,90.0,,,,,,,12.0,,6.6,,,,,2.0,,,,,28.0,12.0,40.0,2,2.0,56.0,3.0,,2.0,2.0
2020-21,8896944,1,14,Liverpool,Home,151545,97032,Virgil van Dijk,virgil-van-dijk,D,False,,,2.0,13.0,12.0,25.0,1.0,3.0,4.0,,,,,,,1.0,3.0,1.0,,,,1.0,,,1.0,,,90.0,1.0,1.0,,,,,10.0,,6.5,,,1.0,3.0,,,,9.0,,21.0,14.0,35.0,2,,43.0,,,,
2020-21,8896944,1,14,Liverpool,Home,155818,157882,Takumi Minamino,takumi-minamino,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8896944,1,14,Liverpool,Home,159665,118748,Mohamed Salah,mohamed-salah,M,False,,,1.0,35.0,2.0,37.0,,,7.0,,,5.0,,,6.0,14.0,9.0,,,1.0,,3.0,,,,4.0,,90.0,3.0,,,,,,29.0,,9.1,,,1.0,,14.0,,,4.0,,44.0,2.0,46.0,9,2.0,88.0,5.0,,7.0,2.0
2020-21,8896944,1,14,Liverpool,Home,190399,152760,Divock Origi,divock-origi,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
