season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2023-24,11352316,1,14,Liverpool,Away,51501,60914,Joël Matip,joel-matip,D,True,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352316,1,14,Liverpool,Away,151545,97032,Virgil van Dijk,virgil-van-dijk,D,False,,,2.0,5.0,21.0,26.0,,2.0,4.0,,,,,,,,3.0,,,0.0199362,0.0265,0.0,,,,,,,3.0,,,90.0,,,,,,,,7.0,,7.1,,,1.0,10.0,,,,6.0,,9.0,24.0,33.0,1,1.0,50.0,,,,
2023-24,11352316,1,14,Liverpool,Away,159665,118748,Mohamed Salah,mohamed-salah,M,False,1.0,,,11.0,7.0,17.0,1.0,,1.0,1.0,,1.0,,,2.0,3.0,1.0,,,0.313747,0.2803,0.0,,1.0,,,,1.0,,1.0,,77.0,,,,,,,,9.0,,7.4,,,2.0,,,1.0,,,1.0,15.0,8.0,22.0,3,1.0,32.0,1.0,,,
2023-24,11352316,1,14,Liverpool,Away,243609,116535,Alisson,alisson,G,False,,,1.0,1.0,12.0,13.0,,,7.0,,,,1.0,,,1.0,,,,6.658e-05,0.0,0.0,,,,0.4365,1.0,,,,,90.0,,,,,,,,6.0,,7.2,3.0,4.0,,,,,,6.0,,5.0,14.0,19.0,0,,31.0,,,,
2023-24,11352316,1,14,Liverpool,Away,262911,122798,Andy Robertson,andy-robertson,D,False,,,2.0,17.0,19.0,36.0,1.0,,11.0,,,,,,,2.0,2.0,,,0.0118957,0.0,0.0,1.0,,,,,,2.0,1.0,,90.0,,1.0,,,,,,19.0,,7.3,,,,7.0,,4.0,,6.0,,30.0,22.0,48.0,0,2.0,75.0,,,,1.0
2023-24,11352316,1,14,Liverpool,Away,318927,171287,Joe Gomez,joe-gomez,D,True,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352316,1,14,Liverpool,Away,606164,194634,Diogo Jota,diogo-jota,F,False,,,1.0,10.0,4.0,14.0,3.0,1.0,4.0,,,,2.0,,,7.0,3.0,,,0.0113557,0.0705,0.0,1.0,,,,,,,1.0,,66.0,,,,,,,,6.0,,6.8,,,2.0,2.0,2.0,,,1.0,,11.0,7.0,18.0,2,1.0,30.0,1.0,,1.0,1.0
2023-24,11352316,1,14,Liverpool,Away,786259,214285,Kostas Tsimikas,kostas-tsimikas,D,True,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352316,1,14,Liverpool,Away,795064,169187,Trent Alexander-Arnold,trent-alexander-arnold,D,False,1.0,,2.0,15.0,10.0,24.0,,,8.0,,,,1.0,,,2.0,3.0,,,0.0216163,0.0,0.0,,,,,,,,,,90.0,,,,,,,,23.0,,6.5,,,,5.0,1.0,3.0,,11.0,,26.0,15.0,38.0,0,2.0,59.0,1.0,1.0,,1.0
2023-24,11352316,1,14,Liverpool,Away,826215,204716,Ibrahima Konaté,ibrahima-konate,D,False,,,3.0,12.0,20.0,32.0,4.0,3.0,4.0,,,,,,,6.0,7.0,,,0.00337502,0.0,0.0,2.0,,,,,,1.0,,,90.0,,1.0,,,,,,7.0,,7.0,,,,7.0,,,,5.0,,17.0,21.0,38.0,0,3.0,54.0,1.0,1.0,,1.0
