playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,oboxBlocked,substituteOn,cornersTakenInclShortCorners,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,successfulCornersIntoBox,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,oboxTarget,rightFootGoals,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,clearancesOffTheLine,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,hitWoodwork,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,expectedGoalsFreekick,setPiecesGoals,foulWonPenalty,leftFootGoals,headedGoals,freekickTotal,attemptsFromSetPieces,ownGoalScored,penaltiesConceded,throwInsToOppositionPlayer,gkSuccessfulDistribution,punches,catches,savesMade,goalkeeperSmother,savesMadeFromOutsideBox,crossesNotClaimed,savesMadeCaught,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,redCards2ndYellow,penaltiesTaken,penaltyGoals,penaltiesFaced,drops,overruns,totalTouchesInOppositionBox,winningGoal,timesTackled,penaltyGoalsConceded,secondGoalAssists,awayGoals,homeGoals,goalKicks,lastPlayerTackle,penaltiesSaved,savesFromPenalty,otherGoals
153133,Alex Iwobi,Forward,Arsenal,3,Nigeria,2015-16,37.0,,1.2305,0.0,2.0,7.0,1.5647,8.0,13.0,3.0,47.0,13.0,2.0,26.0,8.0,53.0,8.0,368.0,2.0,,,5.0,,8.0,,1.0,,4.0,632.0,4.0,2.0,6.0,31.0,1.0,17.0,29.0,309.0,,4.8273,10.0,,1.0,6.0,2.0,31.0,149.0,5.0,68.0,8.0,100.0,38.0,13.0,1.0,2.0,3.0,8.0,246.0,5.0,8.0,2.0,60.0,2.0,0.0,368.0,6.0,6.0,111.0,5.0,16.0,,48.0,3.0,3.0,,,6.0,71.0,499.0,5.0,7.0,1.0,,1.0,69.0,3.0,,1.8801,0.0,6.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37265,Alexis Sánchez,Forward,Arsenal,3,Chile,2015-16,258.0,8.0,9.0259,0.0,36.0,38.0,14.5906,47.0,71.0,36.0,257.0,30.0,4.0,124.0,28.0,292.0,40.0,1434.0,13.0,13.0,12.0,2.0,15.0,64.0,7.0,12.0,11.0,13.0,2446.0,13.0,8.0,42.0,234.0,7.0,79.0,212.0,1071.0,3.0,25.6432,58.0,,6.0,23.0,24.0,216.0,470.0,65.0,492.0,29.0,405.0,130.0,30.0,12.0,10.0,17.0,64.0,942.0,16.0,53.0,24.0,428.0,22.0,0.0,1427.0,33.0,38.0,602.0,30.0,100.0,3.0,249.0,32.0,24.0,11.0,,71.0,310.0,2179.0,2.0,12.0,5.0,12.0,2.0,211.0,12.0,4.0,12.7751,1.0,35.0,37.0,0.9769,1.0,1.0,1.0,2.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50175,Danny Welbeck,Forward,Arsenal,3,England,2015-16,54.0,,0.8395,0.0,4.0,11.0,3.1443,11.0,16.0,,34.0,11.0,2.0,11.0,7.0,34.0,2.0,148.0,4.0,,1.0,4.0,,27.0,,1.0,,6.0,578.0,6.0,6.0,17.0,44.0,2.0,14.0,34.0,113.0,,7.1297,5.0,,6.0,10.0,3.0,37.0,37.0,9.0,98.0,11.0,37.0,20.0,11.0,1.0,2.0,3.0,13.0,98.0,8.0,2.0,3.0,71.0,10.0,0.0,140.0,5.0,5.0,85.0,8.0,14.0,,38.0,6.0,2.0,,,1.0,36.0,281.0,,7.0,1.0,1.0,,16.0,4.0,,3.001,1.0,,7.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99127,Joel Campbell,Forward,Arsenal,3,Costa Rica,2015-16,65.0,1.0,2.4319,0.0,2.0,7.0,2.0061,26.0,17.0,6.0,65.0,19.0,2.0,19.0,11.0,73.0,9.0,342.0,3.0,3.0,1.0,8.0,1.0,17.0,1.0,2.0,1.0,2.0,887.0,2.0,3.0,11.0,74.0,3.0,27.0,68.0,263.0,,10.5056,11.0,,3.0,8.0,1.0,54.0,52.0,25.0,139.0,18.0,80.0,37.0,19.0,2.0,,6.0,10.0,200.0,5.0,10.0,1.0,122.0,6.0,0.0,337.0,10.0,3.0,141.0,20.0,17.0,3.0,119.0,9.0,10.0,1.0,,6.0,91.0,551.0,2.0,10.0,,1.0,1.0,70.0,8.0,,2.6616,0.0,8.0,6.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44346,Olivier Giroud,Forward,Arsenal,3,France,2015-16,207.0,3.0,4.7451,0.0,21.0,43.0,12.767,34.0,80.0,11.0,263.0,38.0,6.0,167.0,26.0,268.0,22.0,839.0,16.0,26.0,2.0,12.0,,194.0,6.0,1.0,3.0,26.0,2424.0,26.0,44.0,92.0,179.0,10.0,43.0,77.0,562.0,,28.3663,30.0,,26.0,26.0,19.0,115.0,180.0,33.0,386.0,20.0,212.0,61.0,38.0,1.0,1.0,12.0,14.0,432.0,16.0,22.0,19.0,192.0,102.0,0.0,789.0,37.0,29.0,443.0,22.0,11.0,4.0,243.0,40.0,10.0,,,9.0,204.0,1289.0,2.0,8.0,3.0,2.0,,142.0,13.0,1.0,12.3514,2.0,5.0,26.0,,,,8.0,7.0,,,1.0,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
133798,Serge Gnabry,Forward,Arsenal,3,Germany,2015-16,3.0,,0.0171,0.0,,1.0,0.0358,,2.0,,1.0,1.0,,1.0,,1.0,,7.0,,,,1.0,2.0,1.0,,1.0,1.0,,12.0,,,1.0,1.0,,,1.0,6.0,1.0,,1.0,,,,,2.0,3.0,,4.0,,,1.0,1.0,1.0,,,,5.0,,,,3.0,,0.0,6.0,1.0,,3.0,,1.0,,1.0,2.0,,,,,3.0,15.0,,,,,,2.0,,,0.0727,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20467,Theo Walcott,Forward,Arsenal,3,England,2015-16,80.0,3.0,2.0386,0.0,8.0,22.0,9.0044,11.0,37.0,3.0,57.0,28.0,2.0,20.0,15.0,63.0,15.0,310.0,5.0,13.0,4.0,13.0,4.0,19.0,1.0,1.0,3.0,16.0,1374.0,16.0,6.0,14.0,65.0,3.0,22.0,60.0,245.0,,16.0976,16.0,,8.0,12.0,4.0,66.0,71.0,24.0,145.0,8.0,89.0,59.0,28.0,1.0,3.0,4.0,24.0,195.0,9.0,17.0,4.0,126.0,5.0,0.0,297.0,15.0,13.0,179.0,7.0,25.0,1.0,73.0,3.0,14.0,2.0,,2.0,77.0,584.0,3.0,13.0,,4.0,1.0,55.0,2.0,,8.046,0.0,6.0,13.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159533,Adama Traoré,Forward,A Villa,7,Spain,2015-16,29.0,2.0,0.0726,0.0,1.0,,,1.0,1.0,,5.0,10.0,1.0,1.0,,6.0,19.0,30.0,,,,10.0,,2.0,,,2.0,,184.0,,,2.0,37.0,,4.0,37.0,22.0,,6.0123,,,,8.0,1.0,27.0,3.0,11.0,66.0,4.0,6.0,10.0,10.0,,,,16.0,16.0,8.0,19.0,1.0,64.0,,0.0,30.0,1.0,6.0,63.0,1.0,25.0,,10.0,4.0,,,,2.0,11.0,134.0,1.0,1.0,,,,10.0,2.0,,0.1131,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,7.0,0.0,23.0,,,,,,,,,
174597,Andre Green,Forward,A Villa,7,England,2015-16,7.0,2.0,0.2098,0.0,1.0,,,2.0,,,8.0,2.0,,1.0,,8.0,5.0,23.0,,,1.0,2.0,1.0,,,,3.0,,57.0,,,,4.0,,2.0,4.0,14.0,1.0,,2.0,1.0,,,,7.0,3.0,,11.0,1.0,9.0,6.0,2.0,,,,6.0,13.0,,5.0,,11.0,,0.0,23.0,,2.0,20.0,2.0,2.0,,8.0,,3.0,,,1.0,3.0,48.0,,,,1.0,,5.0,,,0.0407,0.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,6.0,,,,,,,,,
27450,Gabriel Agbonlahor,Forward,A Villa,7,England,2015-16,93.0,2.0,1.4309,0.0,2.0,6.0,1.7087,6.0,8.0,,61.0,15.0,2.0,14.0,13.0,64.0,10.0,223.0,1.0,3.0,,2.0,,75.0,2.0,2.0,2.0,3.0,992.0,3.0,6.0,49.0,49.0,2.0,11.0,23.0,155.0,,14.1453,11.0,,9.0,20.0,2.0,44.0,66.0,13.0,142.0,6.0,46.0,31.0,15.0,2.0,,,12.0,117.0,18.0,10.0,2.0,67.0,26.0,0.0,209.0,2.0,2.0,113.0,6.0,4.0,1.0,55.0,21.0,2.0,,,4.0,56.0,334.0,1.0,7.0,,,1.0,44.0,5.0,1.0,1.1861,0.0,3.0,8.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,36.0,0.0,20.0,1.0,,0.0,1.0,,,,,
