playerId,playerName,position,team_name,team_id,nationality,season,expectedAssists,totalRedCards,catches,totalTackles,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,successfulLaunches,totalClearances,goalsConceded,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,successfulLongPasses,touches,throwInsToOwnPlayer,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,duelsLost,successfulCrossesOpenPlay,fiftyFifty,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalShots,throughBalls,successfulLayoffs,foulWonPenalty,successfulFiftyFifty,unsuccessfulCrossesOpenPlay,substituteOn,shotsOnTargetOutsideBox,successfulCrossesAndCorners,aerialDuelsLost,penaltiesConceded,totalTouchesInOppositionBox,throwInsToOppositionPlayer,keyPassesAttemptAssists,groundDuelsLost,putthroughBlockedDistributionWon,oboxTarget,tacklesLost,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,blocks,totalFoulsConceded,interceptions,backwardPasses,substituteOff,foulAttemptedTackle,handballsConceded,expectedGoals,iboxTarget,shotsOnTargetInBox,shotsOffTargetIncWoodwork,blockedShots,goalAssists,goals,offsides,awayGoals,oboxBlocked,shotsBlockedInBox,homeGoals,rightFootGoals,iboxBlocked,shotsBlockedOutsideBox,secondGoalAssists,successfulCornersIntoBox,leftFootGoals,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,hitWoodwork,expectedGoalsFreekick,cornersTakenInclShortCorners,unsuccessfulLayoffs,penaltiesTaken,penaltyGoals,headedGoals,lastPlayerTackle,clearancesOffTheLine,ownGoalScored,setPiecesGoals,penaltiesSaved,savesFromPenalty,crossesNotClaimed,redCards2ndYellow,otherGoals
223340,Bukayo Saka,Forward,Arsenal,3,England,2022-23,5.8145,0.0,,63.0,,217.0,38.0,37.0,236.0,1235.0,,,54.0,5.0,,3191.0,215.0,7.0,100.0,199.0,965.0,,3.0,37.8553,4.0,14.0,42.0,72.0,,65.0,4.0,444.0,,233.0,127.0,38.0,,842.0,35.0,390.0,16.0,0.0,,1208.0,41.0,589.0,34.0,71.0,,,574.0,34.0,2075.0,18.0,12.0,194.0,,6.0,19.0,32.0,229.0,18.0,75.0,32.0,7.0,10.2299,60.0,2.0,20.0,,30.0,71.0,1.0,,37.0,38.0,,256.0,3.0,64.0,191.0,38.0,,29.0,69.0,135.0,128.0,,43.0,14.0,356.0,14.0,24.0,5.0,11.0684,18.0,18.0,28.0,29.0,11.0,14.0,9.0,4.0,11.0,18.0,10.0,3.0,18.0,11.0,1.0,21.0,11.0,1.0,1.0,59.0,3.0,0.0562,99.0,4.0,3.0,2.0,,,,,,,,,,
205533,Eddie Nketiah,Forward,Arsenal,3,England,2022-23,1.2825,0.0,,13.0,,44.0,30.0,9.0,46.0,250.0,,,43.0,1.0,,1070.0,66.0,2.0,17.0,56.0,201.0,,1.0,14.5186,,6.0,16.0,68.0,,25.0,2.0,166.0,,32.0,30.0,30.0,,139.0,14.0,123.0,10.0,0.0,,226.0,5.0,114.0,9.0,18.0,,,49.0,3.0,460.0,,1.0,66.0,,3.0,2.0,8.0,100.0,1.0,53.0,14.0,1.0,6.0446,26.0,,6.0,1.0,20.0,4.0,21.0,,1.0,33.0,,99.0,,8.0,67.0,6.0,,4.0,13.0,4.0,34.0,1.0,30.0,1.0,101.0,1.0,8.0,4.0,8.2123,10.0,10.0,12.0,15.0,1.0,4.0,8.0,1.0,1.0,14.0,3.0,3.0,14.0,1.0,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,
205651,Gabriel Jesus,Forward,Arsenal,3,Brazil,2022-23,2.9039,0.0,,34.0,,113.0,26.0,24.0,125.0,674.0,,,123.0,6.0,,2074.0,180.0,4.0,43.0,135.0,534.0,,2.0,21.2337,2.0,13.0,23.0,207.0,,56.0,1.0,432.0,,131.0,79.0,26.0,,381.0,19.0,309.0,45.0,0.0,,624.0,26.0,349.0,26.0,46.0,,,120.0,15.0,1241.0,10.0,3.0,170.0,,6.0,12.0,20.0,252.0,2.0,96.0,32.0,9.0,9.8436,57.0,4.0,22.0,2.0,44.0,9.0,2.0,,2.0,78.0,,219.0,2.0,25.0,174.0,24.0,,8.0,48.0,9.0,114.0,3.0,43.0,11.0,216.0,13.0,25.0,2.0,14.0151,21.0,21.0,25.0,20.0,6.0,11.0,16.0,3.0,3.0,17.0,8.0,4.0,17.0,3.0,1.0,,3.0,,,,2.0,,,3.0,1.0,1.0,4.0,,,,,,,,,
444145,Gabriel Martinelli,Forward,Arsenal,3,Brazil,2022-23,6.9616,0.0,,31.0,,158.0,36.0,34.0,172.0,977.0,,,79.0,6.0,,2805.0,145.0,7.0,67.0,130.0,769.0,,3.0,33.989,2.0,10.0,33.0,463.0,,37.0,5.0,375.0,,160.0,103.0,36.0,,641.0,26.0,296.0,15.0,0.0,,946.0,40.0,474.0,18.0,63.0,,,75.0,36.0,1641.0,10.0,3.0,182.0,,3.0,14.0,30.0,230.0,12.0,62.0,32.0,6.0,10.424,55.0,8.0,14.0,,25.0,55.0,2.0,3.0,18.0,64.0,,241.0,1.0,54.0,166.0,23.0,3.0,13.0,56.0,95.0,113.0,1.0,39.0,9.0,279.0,18.0,19.0,,8.9229,14.0,14.0,23.0,24.0,5.0,15.0,8.0,6.0,7.0,17.0,9.0,8.0,17.0,7.0,,5.0,4.0,2.0,2.0,36.0,3.0,0.0721,63.0,,,,3.0,,,,,,,,,
116216,Leandro Trossard,Forward,Arsenal,3,Belgium,2022-23,2.1148,0.0,,22.0,,159.0,36.0,26.0,182.0,861.0,,,22.0,1.0,,2254.0,92.0,3.0,74.0,85.0,637.0,,4.0,19.0918,4.0,2.0,38.0,313.0,,30.0,1.0,219.0,,224.0,111.0,36.0,,518.0,35.0,197.0,7.0,0.0,,836.0,29.0,391.0,13.0,33.0,,,108.0,42.0,1365.0,22.0,8.0,186.0,,1.0,23.0,40.0,127.0,16.0,62.0,23.0,6.0,3.8858,38.0,15.0,18.0,1.0,25.0,48.0,10.0,2.0,25.0,15.0,,151.0,2.0,34.0,112.0,35.0,2.0,9.0,25.0,65.0,74.0,,19.0,12.0,216.0,20.0,8.0,1.0,4.5065,9.0,9.0,15.0,17.0,12.0,8.0,8.0,5.0,3.0,10.0,3.0,2.0,10.0,3.0,1.0,7.0,6.0,,,16.0,3.0,,31.0,1.0,,,,,,,,,,,,
479683,Marquinhos,Forward,Arsenal,3,Brazil,2022-23,0.0002,0.0,,,,1.0,1.0,,1.0,3.0,,,,,,1.0,,,,,2.0,,,,,,,,,,0.0,,,1.0,,1.0,,1.0,,,,0.0,,3.0,,1.0,,,,,1.0,,3.0,,,1.0,,0.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195735,Nicolas Pépé,Forward,Arsenal,3,Cote d’Ivoire,2022-23,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200641,Reiss Nelson,Forward,Arsenal,3,England,2022-23,1.0007,0.0,,4.0,,9.0,11.0,,10.0,108.0,,,7.0,,,202.0,18.0,,4.0,16.0,96.0,,,2.2742,,4.0,3.0,27.0,,4.0,1.0,44.0,,16.0,16.0,11.0,,81.0,3.0,37.0,2.0,0.0,,108.0,3.0,33.0,1.0,8.0,,,32.0,2.0,176.0,,1.0,20.0,,0.0,1.0,4.0,26.0,3.0,5.0,7.0,,2.7738,8.0,,2.0,,2.0,7.0,11.0,1.0,3.0,5.0,,27.0,,7.0,21.0,3.0,1.0,3.0,2.0,9.0,11.0,,8.0,,33.0,,4.0,,1.0742,3.0,3.0,1.0,4.0,2.0,3.0,,0.0,1.0,3.0,3.0,2.0,3.0,1.0,,,1.0,1.0,1.0,2.0,,0.0329,2.0,,,,,,,,,,,,,
110504,Bertrand Traoré,Forward,A Villa,7,Burkina Faso,2022-23,0.123,0.0,,1.0,,11.0,8.0,1.0,13.0,68.0,,,6.0,,,226.0,12.0,,10.0,10.0,54.0,,,0.7334,,,1.0,2.0,,8.0,2.0,31.0,,15.0,8.0,8.0,,44.0,1.0,25.0,2.0,0.0,,68.0,1.0,35.0,1.0,1.0,,,29.0,1.0,129.0,1.0,1.0,14.0,,1.0,2.0,3.0,19.0,3.0,4.0,3.0,1.0,1.0449,4.0,,,,,1.0,7.0,,3.0,4.0,,13.0,,1.0,15.0,5.0,,,3.0,2.0,10.0,,2.0,2.0,22.0,1.0,2.0,,0.7129,1.0,1.0,1.0,5.0,,2.0,3.0,1.0,1.0,4.0,1.0,,4.0,1.0,,,2.0,,,1.0,,,1.0,,,,,,,,,,,,,
433979,Cameron Archer,Forward,A Villa,7,England,2022-23,0.0104,0.0,,,,3.0,6.0,,3.0,11.0,,,,,,44.0,2.0,,1.0,2.0,8.0,,,,,,1.0,3.0,,1.0,0.0,8.0,,1.0,2.0,6.0,,7.0,1.0,8.0,,0.0,,10.0,,9.0,,1.0,,,4.0,,20.0,,,1.0,,0.0,,1.0,6.0,,,,,,,,1.0,,,1.0,6.0,,,,,3.0,,,6.0,,,,,1.0,3.0,,2.0,,3.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
