playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,penaltiesSaved,totalRedCards,catches,totalTackles,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,goalAssists,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,duelsWon,goalsConcededOutsideBox,penaltiesConceded,groundDuelsWon,successfulShortPasses,savesFromPenalty,punches,penaltyGoalsConceded,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,savesMade,totalFoulsWon,winningGoal,duels,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,tacklesLost,lastPlayerTackle,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,cornersWon,totalLossesOfPossession,successfulDribbles,gkUnsuccessfulDistribution,savesMadeParried,totalFoulsConceded,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,handballsConceded,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,totalShots,throughBalls,successfulLayoffs,unsuccessfulCrossesOpenPlay,substituteOn,cornersTakenInclShortCorners,successfulCrossesAndCorners,aerialDuelsLost,totalTouchesInOppositionBox,throwInsToOppositionPlayer,keyPassesAttemptAssists,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,shotsOffTargetIncWoodwork,tacklesWon,blocks,interceptions,unsuccessfulCornersIntoBox,throwInsToOwnPlayer,substituteOff,goals,offsides,awayGoals,ownGoalScored,homeGoals,rightFootGoals,leftFootGoals,headedGoals,attemptsFromSetPieces,hitWoodwork,setPiecesGoals,foulWonPenalty,unsuccessfulLayoffs,successfulCornersIntoBox,penaltiesTaken,penaltyGoals,clearancesOffTheLine,goalkeeperSmother,redCards2ndYellow,otherGoals,leftsidePasses
20467,Theo Walcott,Forward,Southampton,20,England,2009-10,99.0,,0.0,,14.0,,54.0,23.0,2.0,12.0,57.0,335.0,,,13.0,1.0,,1130.0,52.0,1.0,,47.0,274.0,,,1.0,1.0,4.0,9.0,91.0,,14.0,2.0,151.0,,33.0,23.0,,,2.0,,227.0,8.0,138.0,5.0,0.0,,335.0,24.0,205.0,19.0,,,7.0,4.0,653.0,2.0,70.0,,0.0,3.0,10.0,,17.0,8.0,14.0,27.0,7.0,15.0,62.0,11.0,1.0,19.0,8.0,99.0,,21.0,37.0,62.0,81.0,13.0,12.0,,8.0,,1.0,9.0,3.0,5.0,1.0,,2.0,1.0,2.0,,,,,,1.0,1.0,,,,,,,
56865,Jay Emmanuel-Thomas,Forward,Braintree Town,803,England,2009-10,,,0.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38470,Eduardo da Silva,Forward,Shakhtar Donetsk,455,Croatia,2009-10,76.0,,0.0,,7.0,,67.0,24.0,4.0,13.0,70.0,367.0,,,33.0,,,1120.0,42.0,,,32.0,292.0,,,1.0,,1.0,10.0,53.0,,10.0,0.0,118.0,,31.0,24.0,,,,,227.0,10.0,85.0,10.0,0.0,,360.0,21.0,135.0,15.0,,,14.0,5.0,583.0,2.0,71.0,,0.0,3.0,12.0,,,11.0,17.0,32.0,8.0,43.0,16.0,11.0,14.0,1.0,23.0,99.0,,24.0,11.0,29.0,35.0,15.0,7.0,,13.0,9.0,6.0,13.0,2.0,9.0,1.0,,1.0,2.0,,,3.0,1.0,,,7.0,1.0,,,,,,,
12297,Robin van Persie,Forward,Feyenoord,198,Netherlands,2009-10,101.0,,0.0,,11.0,,84.0,16.0,7.0,14.0,89.0,439.0,,,44.0,3.0,,1256.0,62.0,1.0,,47.0,340.0,,,2.0,,9.0,16.0,72.0,,22.0,4.0,163.0,,20.0,16.0,,,4.0,,304.0,15.0,119.0,15.0,0.0,,427.0,25.0,210.0,14.0,,,24.0,10.0,750.0,1.0,61.0,,3.0,5.0,9.0,,2.0,23.0,28.0,53.0,26.0,50.0,20.0,2.0,45.0,15.0,29.0,118.0,4.0,34.0,12.0,58.0,44.0,25.0,7.0,,15.0,27.0,,3.0,9.0,18.0,4.0,,5.0,4.0,4.0,1.0,14.0,5.0,,,5.0,12.0,,,,,,,
38401,Carlos Vela,Forward,Los Angeles Football Club,11690,Mexico,2009-10,26.0,,0.0,,3.0,,18.0,11.0,,1.0,18.0,100.0,,,8.0,,,226.0,15.0,2.0,,14.0,79.0,,,,,1.0,3.0,19.0,,7.0,0.0,41.0,,14.0,11.0,,,,,71.0,1.0,33.0,1.0,0.0,,99.0,3.0,37.0,4.0,,,7.0,3.0,160.0,,12.0,,0.0,,1.0,1.0,1.0,1.0,2.0,4.0,2.0,3.0,6.0,10.0,1.0,1.0,7.0,19.0,,5.0,3.0,6.0,13.0,2.0,3.0,,1.0,,4.0,1.0,1.0,2.0,0.0,,1.0,,1.0,,1.0,,,,1.0,,,,,,,,
27697,Nicklas Bendtner,Forward,FC København,569,Denmark,2009-10,119.0,,0.0,,16.0,,127.0,23.0,5.0,13.0,135.0,506.0,,,102.0,2.0,,1228.0,95.0,2.0,,40.0,359.0,,,1.0,1.0,15.0,13.0,72.0,,14.0,6.0,214.0,,35.0,23.0,,,6.0,,282.0,11.0,112.0,55.0,0.0,,504.0,14.0,214.0,10.0,,,17.0,12.0,757.0,1.0,93.0,,2.0,8.0,18.0,1.0,4.0,10.0,17.0,43.0,15.0,61.0,18.0,10.0,,4.0,47.0,90.0,,14.0,8.0,18.0,54.0,26.0,10.0,3.0,10.0,,5.0,5.0,6.0,7.0,3.0,,3.0,4.0,,2.0,,1.0,,,13.0,,,,,,,,
4101,John Carew,Forward,Stoke City,110,Norway,2009-10,258.0,,0.0,,26.0,,273.0,33.0,3.0,22.0,282.0,679.0,,,201.0,,,2106.0,176.0,3.0,,63.0,394.0,,,5.0,1.0,50.0,25.0,170.0,,20.0,2.0,434.0,,59.0,33.0,,,7.0,,305.0,22.0,233.0,113.0,0.0,,679.0,21.0,430.0,17.0,,,69.0,3.0,1127.0,8.0,92.0,,2.0,9.0,34.0,4.0,,12.0,25.0,53.0,1.0,46.0,17.0,11.0,,,88.0,157.0,,14.0,27.0,17.0,100.0,28.0,19.0,4.0,25.0,,1.0,15.0,10.0,21.0,4.0,,6.0,6.0,3.0,1.0,,1.0,,2.0,9.0,,2.0,1.0,,,,,
27450,Gabriel Agbonlahor,Forward,Aston Villa,7,England,2009-10,298.0,,0.0,,22.0,,174.0,36.0,3.0,35.0,189.0,716.0,,,108.0,13.0,,3082.0,132.0,4.0,,104.0,505.0,,,6.0,,6.0,32.0,218.0,,60.0,10.0,430.0,,81.0,36.0,,,4.0,,420.0,28.0,322.0,28.0,0.0,,713.0,41.0,403.0,22.0,,,53.0,22.0,1247.0,9.0,116.0,,3.0,15.0,32.0,3.0,9.0,10.0,36.0,56.0,4.0,54.0,51.0,1.0,,9.0,80.0,163.0,,28.0,54.0,51.0,155.0,20.0,18.0,3.0,11.0,,3.0,7.0,13.0,35.0,7.0,,6.0,3.0,6.0,4.0,,,,1.0,16.0,,,,,,,,
1765,Emile Heskey,Forward,Bolton Wanderers,30,England,2009-10,133.0,,0.0,,27.0,,161.0,31.0,2.0,16.0,166.0,493.0,,,162.0,3.0,,1298.0,153.0,1.0,,63.0,310.0,,,3.0,1.0,34.0,12.0,61.0,,32.0,2.0,286.0,,38.0,31.0,,,7.0,,257.0,11.0,124.0,90.0,0.0,,493.0,7.0,218.0,4.0,,,34.0,17.0,712.0,4.0,71.0,,2.0,5.0,25.0,1.0,1.0,3.0,8.0,24.0,4.0,31.0,4.0,15.0,,1.0,72.0,70.0,1.0,18.0,4.0,4.0,23.0,16.0,20.0,4.0,15.0,,1.0,11.0,3.0,4.0,2.0,,1.0,2.0,,1.0,,,,,7.0,,,,,,,,
51484,Nathan Delfouneso,Forward,Accrington Stanley,888,England,2009-10,21.0,,0.0,,2.0,,13.0,9.0,,,14.0,49.0,,,9.0,,,187.0,12.0,,,8.0,34.0,,,,,2.0,7.0,16.0,,2.0,2.0,33.0,,10.0,9.0,,,1.0,,26.0,7.0,24.0,4.0,0.0,,49.0,3.0,33.0,4.0,,,2.0,1.0,98.0,,10.0,,0.0,1.0,1.0,,1.0,3.0,2.0,3.0,,2.0,4.0,9.0,,1.0,5.0,9.0,,,4.0,4.0,13.0,1.0,1.0,,2.0,,,,1.0,1.0,1.0,,0.0,1.0,,,,,,,,,,,,,,,
3686,Gary McSheffrey,Forward,Grimsby Town,53,England,2009-10,14.0,,0.0,,,,3.0,5.0,,1.0,3.0,24.0,,,,,,99.0,4.0,,,4.0,21.0,,,,,4.0,2.0,14.0,,3.0,0.0,18.0,,6.0,5.0,,,,,16.0,2.0,18.0,,0.0,,23.0,1.0,21.0,1.0,,,4.0,,61.0,,11.0,,1.0,,2.0,,2.0,1.0,1.0,2.0,,5.0,4.0,4.0,7.0,6.0,,3.0,,4.0,5.0,8.0,8.0,1.0,,,1.0,3.0,2.0,1.0,,,,,,,,,,,,,,4.0,,,,,,,
83283,Nathan Redmond,Forward,Blackburn Rovers U21,12936,England,2009-10,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,Kevin Phillips,Forward,Birmingham City,41,England,2009-10,24.0,,0.0,,2.0,,28.0,19.0,,2.0,28.0,146.0,,,11.0,,,415.0,19.0,2.0,,15.0,111.0,,,,2.0,1.0,8.0,17.0,,8.0,2.0,43.0,,11.0,19.0,,,1.0,,88.0,6.0,32.0,4.0,0.0,,145.0,6.0,44.0,5.0,,,8.0,7.0,218.0,1.0,30.0,,0.0,,4.0,4.0,,6.0,7.0,13.0,1.0,20.0,3.0,17.0,,,7.0,22.0,,4.0,,3.0,13.0,6.0,1.0,,2.0,,,1.0,4.0,5.0,0.0,,4.0,3.0,,,,,,,6.0,,,,,,,1.0,
