playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,totalRedCards,catches,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,aerialDuels,timePlayed,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,punches,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,successfulDribbles,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,totalTackles,savesMadeCaught,cleanSheets,penaltiesFaced,totalTouchesInOppositionBox,penaltyGoalsConceded,tacklesWon,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalShots,throughBalls,goalAssists,successfulLayoffs,unsuccessfulCrossesOpenPlay,goals,offsides,awayGoals,oboxBlocked,substituteOn,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,throwInsToOppositionPlayer,shotsBlockedInBox,homeGoals,oboxTarget,rightFootGoals,tacklesLost,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,shotsOffTargetIncWoodwork,cornersWon,blocks,totalFoulsConceded,interceptions,backwardPasses,throwInsToOwnPlayer,substituteOff,hitWoodwork,shotsBlockedOutsideBox,foulAttemptedTackle,expectedGoals,clearancesOffTheLine,secondGoalAssists,headedGoals,handballsConceded,penaltiesConceded,lastPlayerTackle,ownGoalScored,leftFootGoals,cornersTakenInclShortCorners,successfulCornersIntoBox,unsuccessfulCornersIntoBox,expectedGoalsFreekick,foulWonPenalty,freekickTotal,attemptsFromSetPieces,setPiecesGoals,penaltiesTaken,penaltyGoals,redCards2ndYellow,otherGoals
216051,Diogo Dalot,Defender,Manchester United,1,Portugal,2025-26,92.0,2.5679,0.0,,,144.0,34.0,29.0,170.0,1132.0,,73.0,2616.0,135.0,4.0,36.0,83.0,921.0,,42.366,26.0,7.0,92.0,40.0,71.0,159.0,,14.0,0.0,227.0,9.0,,355.0,135.0,34.0,,,524.0,36.0,154.0,52.0,0.0,,1121.0,343.0,18.0,,,405.0,41.0,1785.0,13.0,455.0,,5.0,26.0,52.0,53.0,,5.0,,47.0,3.0,30.0,17.0,3.0,6.0,3.0,0.8041,21.0,3.0,3.0,3.0,40.0,1.0,4.0,0.0,1.0,5.0,2.0,17.0,3.0,3.0,1.0,21.0,64.0,2.0,1.0,2.0,1.0,23.0,9.0,40.0,25.0,2.0,15.0,10.0,9.0,25.0,27.0,213.0,169.0,7.0,1.0,1.0,10.0,2.0013,,,,,,,,,,,,,,,,,,,,
230001,Noussair Mazraoui,Defender,Manchester United,1,Morocco,2025-26,40.0,0.3556,0.0,,,48.0,20.0,11.0,69.0,543.0,1.0,32.0,984.0,68.0,3.0,25.0,50.0,455.0,,11.3369,6.0,5.0,54.0,10.0,26.0,67.0,,14.0,0.0,108.0,17.0,,218.0,46.0,20.0,,,264.0,7.0,76.0,18.0,0.0,1.0,535.0,102.0,8.0,,,181.0,19.0,798.0,6.0,214.0,,3.0,21.0,31.0,28.0,,2.0,,14.0,1.0,16.0,4.0,3.0,,1.0,,2.0,2.0,,4.0,9.0,,,,3.0,9.0,,4.0,,,,14.0,5.0,,,,,12.0,7.0,9.0,11.0,,2.0,3.0,2.0,12.0,14.0,77.0,50.0,8.0,,3.0,7.0,0.1883,1.0,1.0,,,,,,,,,,,,,,,,,,
209365,Matthijs de Ligt,Defender,Manchester United,1,Netherlands,2025-26,44.0,0.766,0.0,,,52.0,13.0,13.0,75.0,612.0,2.0,81.0,1170.0,74.0,2.0,9.0,24.0,516.0,,20.1523,3.0,5.0,68.0,20.0,13.0,184.0,,5.0,0.0,118.0,7.0,,181.0,40.0,13.0,,,145.0,18.0,37.0,50.0,0.0,2.0,601.0,89.0,1.0,,,207.0,21.0,791.0,8.0,396.0,,0.0,23.0,29.0,19.0,,1.0,,18.0,1.0,13.0,4.0,3.0,3.0,,1.5311,8.0,2.0,,2.0,1.0,1.0,,1.0,,,,4.0,2.0,2.0,,31.0,3.0,3.0,0.0,,,6.0,1.0,1.0,2.0,3.0,5.0,1.0,7.0,6.0,15.0,40.0,4.0,,,,1.0,1.4559,1.0,,1.0,1.0,,,,,,,,,,,,,,,,
95658,Harry Maguire,Defender,Manchester United,1,England,2025-26,42.0,0.5209,1.0,,,55.0,23.0,19.0,118.0,851.0,16.0,79.0,1655.0,98.0,2.0,10.0,39.0,686.0,,25.654,2.0,5.0,105.0,19.0,22.0,273.0,,16.0,1.0,140.0,4.0,,296.0,62.0,23.0,,,259.0,17.0,61.0,59.0,1.0,16.0,812.0,129.0,1.0,,,239.0,47.0,1067.0,27.0,475.0,,3.0,63.0,38.0,22.0,,5.0,,27.0,2.0,17.0,1.0,3.0,4.0,,0.9806,11.0,,2.0,,3.0,1.0,,1.0,,4.0,,1.0,3.0,3.0,,20.0,,3.0,0.0,,,5.0,1.0,3.0,3.0,3.0,7.0,3.0,11.0,16.0,13.0,43.0,1.0,5.0,2.0,,6.0,1.1115,,,1.0,,2.0,1.0,,,,,,,,,,,,,,
221820,Lisandro Martínez,Defender,Manchester United,1,Argentina,2025-26,25.0,0.6006,1.0,,,42.0,18.0,13.0,95.0,939.0,39.0,21.0,1231.0,47.0,2.0,11.0,35.0,800.0,,18.5119,5.0,8.0,62.0,15.0,16.0,357.0,,2.0,0.0,72.0,5.0,,358.0,67.0,18.0,,,369.0,13.0,51.0,12.0,1.0,39.0,880.0,109.0,14.0,,,180.0,44.0,1109.0,24.0,476.0,,0.0,53.0,22.0,19.0,,4.0,,5.0,1.0,12.0,1.0,3.0,,,,2.0,3.0,,2.0,1.0,,,,2.0,5.0,,1.0,,,,9.0,,1.0,,,,7.0,2.0,1.0,4.0,1.0,2.0,1.0,12.0,9.0,12.0,44.0,4.0,1.0,,2.0,2.0,0.1503,1.0,,,,,,1.0,,,,,,,,,,,,,
222690,Tyrell Malacia,Defender,Manchester United U21,15988,Netherlands,2025-26,2.0,0.0023,0.0,,,,3.0,,2.0,13.0,,1.0,15.0,3.0,,,3.0,11.0,,1.3901,,,1.0,1.0,1.0,5.0,,,0.0,5.0,,,5.0,3.0,3.0,,,8.0,1.0,4.0,,0.0,,13.0,3.0,,,,,,23.0,,3.0,,0.0,2.0,,3.0,,,,,,1.0,,,,,,,,,,,,,,,3.0,,,,,,1.0,,,,,,2.0,,,1.0,,,,,,,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
596777,Patrick Dorgu,Defender,Manchester United,1,Denmark,2025-26,125.0,1.8536,0.0,,,109.0,26.0,15.0,121.0,505.0,,82.0,1445.0,149.0,1.0,44.0,105.0,377.0,,20.6979,23.0,1.0,32.0,20.0,87.0,199.0,,47.0,2.0,274.0,18.0,,114.0,77.0,26.0,,,233.0,19.0,192.0,44.0,0.0,,503.0,272.0,11.0,,,29.0,7.0,979.0,3.0,166.0,,5.0,12.0,31.0,48.0,,2.0,,70.0,,31.0,15.0,5.0,12.0,1.0,2.6206,21.0,3.0,4.0,8.0,42.0,4.0,7.0,2.0,1.0,11.0,1.0,15.0,7.0,7.0,,38.0,15.0,4.0,2.0,1.0,,17.0,28.0,42.0,50.0,4.0,9.0,15.0,3.0,23.0,15.0,163.0,52.0,5.0,1.0,1.0,12.0,2.3517,,,1.0,2.0,,1.0,,3.0,,,,,,,,,,,,
550864,Leny Yoro,Defender,Manchester United,1,France,2025-26,65.0,0.6326,0.0,,,75.0,32.0,18.0,114.0,987.0,5.0,78.0,1739.0,83.0,5.0,18.0,39.0,837.0,,29.4389,4.0,6.0,85.0,33.0,31.0,182.0,,5.0,0.0,148.0,10.0,,358.0,73.0,32.0,,,344.0,28.0,70.0,44.0,0.0,5.0,959.0,143.0,2.0,,,354.0,36.0,1240.0,20.0,530.0,,1.0,39.0,46.0,32.0,,1.0,,22.0,3.0,21.0,1.0,1.0,3.0,1.0,1.4737,8.0,1.0,,1.0,2.0,,2.0,,,14.0,,1.0,3.0,3.0,,34.0,5.0,1.0,,,,11.0,1.0,2.0,6.0,1.0,5.0,1.0,11.0,17.0,31.0,93.0,12.0,9.0,,,7.0,1.3853,,,,,1.0,3.0,,,,,,,,,,,,,,
106760,Luke Shaw,Defender,Manchester United,1,England,2025-26,135.0,1.9771,0.0,,,166.0,38.0,38.0,226.0,1712.0,32.0,118.0,3231.0,168.0,3.0,57.0,104.0,1427.0,,49.0516,15.0,7.0,95.0,45.0,81.0,669.0,,20.0,0.0,303.0,21.0,,650.0,107.0,38.0,,,712.0,42.0,185.0,64.0,0.0,32.0,1648.0,346.0,10.0,,,143.0,59.0,2329.0,26.0,783.0,,9.0,60.0,97.0,74.0,,4.0,,29.0,4.0,45.0,6.0,4.0,3.0,,0.7889,6.0,4.0,1.0,4.0,36.0,1.0,,0.0,1.0,,1.0,9.0,1.0,1.0,,54.0,30.0,3.0,1.0,1.0,,29.0,10.0,44.0,16.0,3.0,3.0,12.0,9.0,49.0,46.0,250.0,132.0,15.0,,1.0,24.0,0.7061,,,,1.0,,,,1.0,11.0,3.0,8.0,,,,,,,,,
606745,Ayden Heaven,Defender,Manchester United U21,15988,England,2025-26,25.0,0.1834,0.0,,,34.0,17.0,11.0,47.0,494.0,19.0,28.0,923.0,55.0,3.0,3.0,37.0,430.0,,13.616,1.0,1.0,60.0,15.0,15.0,153.0,,9.0,0.0,80.0,,,136.0,40.0,17.0,,,111.0,12.0,52.0,18.0,0.0,19.0,460.0,54.0,6.0,,,168.0,17.0,631.0,8.0,336.0,,2.0,13.0,16.0,22.0,,2.0,,8.0,,13.0,,1.0,,,,2.0,1.0,1.0,,1.0,,,,,6.0,,,,,,10.0,,1.0,,,,9.0,2.0,1.0,3.0,1.0,2.0,,11.0,7.0,1.0,37.0,,4.0,,,3.0,0.3454,,,,,,3.0,1.0,,,,,,,,,,,,,
