season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyMiss,penaltySave,penaltyWon,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest
2015-16,6767930,1,8,Chelsea,Home,518,17878,Cesc Fàbregas,cesc-fabregas,M,False,1.0,,2.0,26.0,19.0,44.0,,,7.0,,,,2.0,,,2.0,5.0,3.0,,,1.0,,,,,,1.0,,76.0,,,,,,,,,6.4,,,1.0,,1.0,4.0,,3.0,,35.0,20.0,51.0,1,,65.0,1.0,2.0,1.0
2015-16,6767930,1,8,Chelsea,Home,1205,1718,John Terry,john-terry,D,False,,,1.0,7.0,26.0,33.0,2.0,1.0,4.0,,,,,,,,3.0,6.0,,,1.0,,,,,,,,90.0,,1.0,,,,,,,6.6,,,,2.0,,,,1.0,,8.0,27.0,35.0,0,3.0,43.0,,2.0,
2015-16,6767930,1,8,Chelsea,Home,7311,28495,John Obi Mikel,john-obi-mikel,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2015-16,6767930,1,8,Chelsea,Home,9628,19419,Gary Cahill,gary-cahill,D,False,,,,5.0,20.0,25.0,2.0,4.0,6.0,,,,1.0,1.0,,,5.0,5.0,,,2.0,,,,,2.0,,,90.0,,2.0,,,,,,,6.6,,,,7.0,1.0,,,3.0,,11.0,24.0,35.0,0,,48.0,1.0,,1.0
2015-16,6767930,1,8,Chelsea,Home,13918,40349,Asmir Begović,asmir-begovic,G,True,,,4.0,3.0,2.0,5.0,,1.0,6.0,,,,,,,,,1.0,,,,,,1.0,,,,,36.0,,,,,,,,1.0,7.2,3.0,4.0,,1.0,,,,11.0,,10.0,2.0,12.0,0,,20.0,,,
2015-16,6767930,1,8,Chelsea,Home,16674,38419,Loïc Rémy,loic-remy,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2015-16,6767930,1,8,Chelsea,Home,21212,18507,Diego Costa,diego-costa,F,False,,,2.0,25.0,4.0,29.0,4.0,1.0,,,,,,,,2.0,13.0,4.0,,,1.0,,,,,,1.0,,90.0,1.0,,,,,,,,6.1,,,,1.0,7.0,1.0,,3.0,2.0,31.0,4.0,34.0,1,1.0,55.0,2.0,1.0,1.0
2015-16,6767930,1,8,Chelsea,Home,21555,41328,César Azpilicueta,cesar-azpilicueta,D,False,,,3.0,19.0,12.0,31.0,2.0,1.0,5.0,,,,,,,,4.0,5.0,,,2.0,,,,,5.0,,,90.0,,,,,,,,,7.0,,,,2.0,,,,7.0,,27.0,13.0,40.0,0,3.0,67.0,,1.0,
2015-16,6767930,1,8,Chelsea,Home,25233,41135,Branislav Ivanović,branislav-ivanovic,D,False,1.0,,,19.0,7.0,25.0,2.0,4.0,2.0,,,1.0,4.0,,,2.0,9.0,8.0,,,1.0,,,,,2.0,,,90.0,,2.0,,,,,,,6.3,,,2.0,,2.0,3.0,,,,29.0,9.0,35.0,3,2.0,60.0,,,2.0
2015-16,6767930,1,8,Chelsea,Home,25682,48847,Radamel Falcao,radamel-falcao,F,True,,,,2.0,1.0,3.0,,,,,,,,,,,1.0,,,,,,,,,,,,6.0,,,,,,,,,,,,1.0,,1.0,,,,,2.0,1.0,3.0,1,,5.0,,,
